列车类型	车次	始发站	终到站	到站时间	发车时间
快速	终K1047	漯河	上海	5:04	-
快速	终K1558	南宁	上海	5:23	-
直达特快	终Z378	西宁	上海	5:29	-
快速	终K292	成都	上海	5:35	-
高速动车	始G7072	上海	安庆	-	5:48
高速动车	始G7032	上海	南京	-	5:53
快速	终K359	银川	上海	5:56	-
快速	终K8484	阜阳	上海	6:03	-
动车组	终D308	西安北	上海	6:20	-
高速动车	始G7076	上海	安庆	-	6:20
动车组	终D312	兰州西	上海	6:26	-
快速	终K8431	淮北	上海	6:33	-
快速	终K154	郑州	上海	6:40	-
高速动车	始G7002	上海	南京	-	6:48
普快	终1461	北京	上海	7:00	-
高速动车	始G6	上海	北京南	-	7:00
高速动车	始G222	上海	青岛北	-	7:05
快速	终K284	成都	上海	7:07	-
高速动车	始G7034	上海	南京	-	7:10
高速动车	终G7215	昆山南	上海	7:15	-
高速动车	终G7213	苏州	上海	7:19	-
高速动车	终G7203	苏州	上海	7:25	-
高速动车	终G7029	南京	上海	7:30	-
高速动车	始G7080	上海	安庆	-	7:31
高速动车	终G7358	杭州	上海	7:37	-
高速动车	终G7211	常州	上海	7:42	-
动车组	终D709	北京南	上海	7:44	-
城际动车	终C3804	南通	上海	7:49	-
高速动车	终G7031	南京	上海	7:54	-
城际动车	始C3852	上海	南京	-	7:55
高速动车	始G7004	上海	南京	-	8:00
高速动车	始G7268	上海	淮南南	-	8:05
高速动车	始G7317	上海	黄山北	-	8:05
快速	终K8361	阜阳	上海	8:05	-
高速动车	终G7209	苏州	上海	8:07	-
高速动车	始G7036	上海	南京	-	8:10
直达特快	终Z94	西安	上海	8:11	-
高速动车	始G7232	上海	六安	-	8:15
高速动车	终G7033	常州	上海	8:18	-
城际动车	终C3808	南通	上海	8:20	-
高速动车	始G7206	上海	苏州	-	8:25
快速	终K8358	连云港东	上海	8:28	-
动车组	始D952	上海	成都东	-	8:30
高速动车	终G7035	南京	上海	8:35	-
高速动车	始G7084	上海	安庆	-	8:37
高速动车	终G7001	南京	上海	8:39	-
快速	始K290	上海	成都	-	8:45
城际动车	始C3856	上海	南京	-	8:51
直达特快	始Z376	上海	西宁	-	8:57
高速动车	终G7037	南京南	上海	8:58	-
快速	终K1101	安阳	上海	8:59	-
高速动车	始G7006	上海	南京	-	9:00
快速	终K233	石家庄	上海	9:05	-
高速动车	始G7038	上海	南京	-	9:08
高速动车	终G7039	南京	上海	9:15	-
高速动车	始G7202	上海	无锡	-	9:17
快速	始K360	上海	银川	-	9:23
高速动车	终G7274	芜湖	上海	9:30	-
城际动车	终C3893	泰州	上海	9:32	-
高速动车	终G7043	南京南	上海	9:35	-
高速动车	始G7319	上海	黄山北	-	9:38
高速动车	终G7003	南京	上海	9:39	-
高速动车	始G7040	上海	南京	-	9:53
城际动车	终C3854	南京	上海	9:54	-
城际动车	始C3860	上海	南京	-	9:56
高速动车	始G7008	上海	南京	-	10:00
直达特快	终Z198	太原	上海	10:00	-
高速动车	终G7205	苏州	上海	10:03	-
高速动车	始G7042	上海	南京	-	10:05
高速动车	终G7262	巢湖东	上海	10:13	-
快速	始K1556	上海	南宁	-	10:15
高速动车	终G7228	芜湖	上海	10:18	-
快速	终K462	平顶山	上海	10:19	-
城际动车	始C3864	上海	南京	-	10:22
高速动车	始G7236	上海	合肥南	-	10:28
往香港直通车	终Z100	红磡	上海	10:37	-
直达特快	终Z100	广州东	上海	10:37	-
高速动车	终G7005	南京	上海	10:39	-
高速动车	始G7060	上海	安庆	-	10:40
城际动车	终C3816	南通	上海	10:46	-
高速动车	终G7289	徐州东	上海	10:52	-
高速动车	始G7240	上海	六安	-	10:54
