列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K526	福州	南京	3:58	4:14
快速	终K1372	九江	上海南	4:15	-
快速	过K1805	银川	杭州	3:51	4:22
快速	过K528	广州	南京	4:06	4:28
快速	过K1511	聊城	金华	4:21	4:56
快速	过K335	长春	宁波	4:41	5:02
快速	终K752	信阳	上海南	5:28	-
城际动车	始C3001	上海南	金山卫	-	5:30
快速	终K80	昆明	上海南	5:35	-
快速	过K8354	连云港东	杭州	5:22	5:46
城际动车	始C3601	上海南	金山卫	-	6:08
特快	过T135	济南	宁波	5:48	6:16
城际动车	始C3205	上海南	金山卫	-	6:22
快速	终K288	南昌	上海南	6:27	-
动车组	始D3072	上海南	重庆北	-	6:27
快速	过K50	齐齐哈尔	杭州	5:58	6:33
城际动车	始C3003	上海南	金山卫	-	6:39
直达特快	终Z245	长沙	上海南	6:44	-
城际动车	终C3602	金山卫	上海南	7:00	-
快速	终K1187	九江	上海南	7:06	-
快速	始K833	上海南	贵阳	-	7:07
城际动车	始C3005	上海南	金山卫	-	7:13
城际动车	终C3604	金山卫	上海南	7:20	-
快速	过K1091	徐州	福州	6:50	7:21
城际动车	终C3002	金山卫	上海南	7:30	-
快速	始K751	上海南	信阳	-	7:31
城际动车	终C3004	金山卫	上海南	7:38	-
城际动车	始C3007	上海南	金山卫	-	7:45
城际动车	终C3006	金山卫	上海南	7:52	-
城际动车	始C3603	上海南	金山卫	-	7:53
快速	终K1128	襄州	上海南	7:58	-
城际动车	终C3642	车墩	上海南	8:05	-
直达特快	终Z25	武昌	上海南	8:12	-
特快	终T212	深圳	上海南	8:18	-
动车组	始D771	上海南	九江	-	8:18
城际动车	终C3606	金山卫	上海南	8:25	-
城际动车	始C3009	上海南	金山卫	-	8:26
快速	终K512	海口	上海南	8:32	-
城际动车	终C3640	金山卫	上海南	8:41	-
动车组	始D3022	上海南	武昌	-	8:44
特快	终T170	广州	上海南	8:47	-
快速	始K1185	上海南	九江	-	8:51
城际动车	终C3608	金山卫	上海南	8:59	-
城际动车	始C3011	上海南	金山卫	-	9:00
动车组	始D3060	上海南	汉口	-	9:05
动车组	终D5402	杭州	上海南	9:06	-
直达特快	终Z258	重庆北	上海南	9:12	-
城际动车	始C3013	上海南	金山卫	-	9:13
城际动车	终C3008	金山卫	上海南	9:20	-
城际动车	始C3605	上海南	金山卫	-	9:27
动车组	始D5403	上海南	杭州	-	9:32
动车组	始D3068	上海南	汉口	-	9:38
快速	过K470	赣州	无锡	9:26	9:52
城际动车	始C3015	上海南	金山卫	-	10:00
城际动车	终C3610	金山卫	上海南	10:07	-
城际动车	终C3010	金山卫	上海南	10:12	-
动车组	始D5483	上海南	开化	-	10:13
特快	终T78	南宁	上海南	10:18	-
直达特快	过Z284	包头	杭州	9:51	10:20
城际动车	始C3607	上海南	金山卫	-	10:26
城际动车	始C3609	上海南	金山卫	-	10:35
特快	始T169	上海南	广州	-	10:42
城际动车	终C3612	金山卫	上海南	10:49	-
城际动车	终C3012	金山卫	上海南	10:58	-
特快	终T102	深圳	上海南	11:05	-
城际动车	始C3017	上海南	金山卫	-	11:07
快速	终K124	十堰	上海南	11:18	-
城际动车	始C3611	上海南	金山卫	-	11:19
特快	始T77	上海南	南宁	-	11:25
特快	终T382	昆明	上海南	11:32	-
快速	终K576	永州	上海南	11:38	-
特快	始T211	上海南	深圳	-	11:41
城际动车	终C3614	金山卫	上海南	11:48	-
快速	始K1371	上海南	九江	-	11:49
快速	始K759	上海南	衡阳	-	12:01
城际动车	始C3613	上海南	金山卫	-	12:07
快速	终K760	衡阳	上海南	12:09	-
动车组	始D5407	上海南	杭州	-	12:13
快速	终K73	重庆北	上海南	12:15	-
城际动车	终C3616	金山卫	上海南	12:21	-
城际动车	终C3014	金山卫	上海南	12:28	-
快速	终K352	成都	上海南	12:34	-
快速	终K1108	南阳	上海南	12:40	-
快速	终K112	贵阳	上海南	12:46	-
城际动车	终C3016	金山卫	上海南	12:52	-
城际动车	始C3021	上海南	金山卫	-	12:56
动车组	终D5484	开化	上海南	13:04	-
城际动车	始C3615	上海南	金山卫	-	13:07
特快	始T101	上海南	深圳	-	13:13
快速	过K808	怀化	无锡	12:58	13:26
特快	终T82	南宁	上海南	13:27	-
城际动车	终C3618	金山卫	上海南	13:33	-
动车组	始D5409	上海南	杭州	-	13:34
快速	始K123	上海南	十堰	-	13:40
快速	终K254	荆门	上海南	13:47	-
城际动车	终C3018	金山卫	上海南	13:53	-
城际动车	始C3617	上海南	金山卫	-	14:00
动车组	终D5406	杭州	上海南	14:05	-
快速	始K1107	上海南	南阳	-	14:06
快速	始K575	上海南	永州	-	14:12
城际动车	终C3202	金山卫	上海南	14:25	-
快速	过K1806	杭州	银川	13:59	14:26
