列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K212	宁波	广州	23:56	0:01
快速	过K1669	九江	温州	0:06	0:10
快速	过K1585	武昌	温州	0:18	0:22
快速	过K469	无锡	赣州	0:23	0:27
快速	过K470	赣州	无锡	0:32	0:36
快速	过K326	广州	温州	1:00	1:05
快速	过K525	南京	福州	1:08	1:14
特快	过T212	深圳	上海南	1:25	1:29
快速	过K79	上海南	昆明	1:27	1:31
快速	过K807	无锡	怀化	2:43	2:48
快速	过K527	南京	广州	2:53	2:57
快速	过K511	上海南	海口	3:00	3:04
快速	过K352	成都	上海南	3:13	3:16
快速	过K1256	温州	成都东	3:18	3:22
快速	过K760	衡阳	上海南	3:24	3:28
快速	过K287	上海南	南昌	3:26	3:30
特快	过T102	深圳	上海南	4:38	4:43
快速	过K254	荆门	上海南	5:11	5:15
快速	过K112	贵阳	上海南	5:17	5:21
快速	过K1374	怀化	上海南	7:14	7:19
高速动车	始G5105	上饶	福州	-	7:23
特快	过T82	南宁	上海南	7:24	7:28
高速动车	始G5003	上饶	南昌	-	7:35
快速	过K942	贵阳	温州	7:37	7:41
特快	过T26	南宁	上海南	7:48	7:52
动车组	始D2325	上饶	深圳北	-	8:01
高速动车	过G1690	南平市	上海虹桥	8:20	8:22
高速动车	过G1672	福州	南京南	8:29	8:33
高速动车	过G302	福州	北京南	8:35	8:38
高速动车	过G1382	南昌	上海虹桥	8:41	8:43
快速	过K8713	玉山	南昌	8:40	8:45
快速	过K210	广州	宁波	8:49	8:53
高速动车	过G1756	福州	成都东	8:51	8:54
高速动车	过G1274	福州	沈阳南	9:00	9:03
高速动车	过G1492	南昌	南京南	9:05	9:07
高速动车	过G1321	上海虹桥	六盘水	9:07	9:09
高速动车	过G2185	杭州东	成都东	9:02	9:22
高速动车	过G1421	嘉兴南	玉溪	9:21	9:23
快速	过K496	六盘水	上海南	9:22	9:26
高速动车	过G5314	南昌	福州	9:24	9:26
高速动车	过G1383	上海虹桥	赣州西	9:34	9:36
高速动车	过G1384	南昌西	上海虹桥	9:32	9:37
高速动车	过G1403	杭州东	广州南	9:43	9:45
高速动车	过G1632	福州	上海虹桥	9:47	9:53
高速动车	过G1651	上海虹桥	厦门北	9:51	9:54
高速动车	过G1386	赣州西	上海虹桥	10:00	10:02
高速动车	过G1648	福州南	武汉	10:02	10:06
高速动车	过G1496	南昌西	南京南	10:05	10:07
高速动车	过G2365	上海虹桥	邵阳	9:58	10:08
高速动车	过G1371	上海虹桥	昆明南	10:13	10:15
直达特快	过Z288	昆明	宁波	10:16	10:19
高速动车	过G1416	宁波	长沙南	10:18	10:20
高速动车	过G1456	九江	杭州东	10:04	10:21
高速动车	过G2189	上海虹桥	成都东	10:23	10:25
高速动车	过G1698	福州	昆明南	10:22	10:27
高速动车	过G3184	南昌西	兰州西	9:59	10:30
高速动车	过G2046	厦门北	郑州东	10:33	10:35
高速动车	过G1667	南京南	厦门北	10:41	10:44
高速动车	过G1634	福州	上海虹桥	10:42	10:45
高速动车	过G2035	武汉	温州南	10:52	10:54
高速动车	过G1631	上海虹桥	福州	10:47	10:55
高速动车	过G322	厦门北	北京南	10:55	10:57
高速动车	始G1405	上饶	广州南	-	11:01
高速动车	过G1611	合肥南	厦门北	10:59	11:03
快速	过K8722	南昌	玉山	10:58	11:04
高速动车	过G1505	南京南	南宁东	11:05	11:07
高速动车	过G242	厦门	青岛	11:08	11:11
高速动车	过G1581	九江	常州北	11:12	11:14
高速动车	过G1669	徐州东	厦门北	11:19	11:21
高速动车	过G28	福州	北京南	11:21	11:23
高速动车	过G1337	上海虹桥	重庆西	11:22	11:24
高速动车	过G1379	南京南	昆明南	11:27	11:29
高速动车	过G1692	长沙南	厦门北	11:28	11:32
高速动车	过G330	福州	天津西	11:31	11:33
高速动车	过G2278	厦门北	成都东	11:39	11:41
高速动车	过G2318	长沙南	温州南	11:43	11:45
高速动车	过G1661	蚌埠南	龙岩	11:47	11:49
高速动车	过G1509	南京南	三明	11:58	12:00
高速动车	过G1655	上海虹桥	厦门北	12:03	12:06
高速动车	过G1619	阜阳西	南昌西	11:48	12:08
高速动车	过G1350	长沙南	上海虹桥	12:06	12:08
高速动车	过G1984	苍南	成都东	12:07	12:09
高速动车	过G1601	阜阳西	深圳北	12:13	12:16
高速动车	过G1377	南京南	昆明南	12:10	12:17
高速动车	过G1676	厦门	南京南	12:10	12:20
高速动车	过G2343	宁波	南宁东	12:22	12:24
高速动车	过G9874	厦门	景德镇北	12:22	12:27
高速动车	过G1665	徐州东	南昌西	12:39	12:41
高速动车	过G1603	南京南	深圳北	12:38	12:42
高速动车	过G1434	长沙南	宁波	12:36	12:42
快速	过K8721	玉山	南昌	12:40	12:47
高速动车	过G1501	上海虹桥	南宁东	12:45	12:47
高速动车	过G2348	长沙南	台州	12:47	12:49
高速动车	过G868	温州南	西安北	12:33	12:51
高速动车	过G345	济南西	福州	12:49	12:52
高速动车	过G2302	温州南	宜宾西	12:51	12:53
高速动车	过G1616	厦门	长沙南	12:51	12:53
高速动车	过G1332	贵阳北	杭州东	12:55	12:57
高速动车	过G1657	上海虹桥	厦门北	13:01	13:03
高速动车	过G860	福州	西安北	13:04	13:06
高速动车	过G1905	郑州东	福州	13:06	13:08
高速动车	过G61	济南西	南昌西	13:11	13:13
高速动车	过G3141	合肥南	深圳北	13:11	13:13
高速动车	过G1352	长沙南	上海虹桥	13:18	13:20
动车组	过D6266	南昌	南昌	12:59	13:23
高速动车	过G1462	赣州西	杭州东	13:42	13:44
高速动车	过G1391	芜湖	昆明南	13:42	13:44
高速动车	过G1370	怀化南	上海虹桥	13:47	13:49
高速动车	过G2338	福州	南宁东	13:50	13:52
高速动车	过G2364	贵阳北	宁波	13:52	13:54
高速动车	过G2363	宁波	贵阳北	13:55	14:00
高速动车	过G1636	福州	上海虹桥	14:07	14:09
高速动车	过G1375	上海虹桥	昆明南	14:09	14:11
高速动车	过G2045	郑州东	厦门北	14:14	14:16
高速动车	过G1354	长沙南	上海虹桥	14:14	14:16
快速	过K944	温州	贵阳	14:17	14:21
高速动车	过G1451	杭州东	南昌西	14:19	14:21
高速动车	过G636	广州南	淮南南	14:05	14:23
高速动车	过G356	厦门北	北京南	14:26	14:28
高速动车	过G1484	贵阳北	南京南	14:26	14:28
高速动车	过G1333	上海虹桥	重庆西	14:27	14:29
高速动车	过G1638	福州	上海虹桥	14:36	14:38
快速	过K833	上海南	贵阳	14:40	14:44
高速动车	过G4208	长沙南	厦门	14:42	14:44
高速动车	过G9876	景德镇北	厦门	14:50	14:53
高速动车	过G2340	南宁	福州	14:56	14:58
高速动车	过G1390	南昌	上海虹桥	14:58	15:00
高速动车	过G1387	上海虹桥	南昌西	15:00	15:02
高速动车	过G1666	南昌西	徐州东	15:03	15:05
高速动车	过G1633	上海虹桥	福州	15:09	15:11
高速动车	过G2335	南京南	贵阳北	15:12	15:14
快速	过K1258	成都东	温州	15:11	15:15
高速动车	过G2301	宜宾西	温州南	15:15	15:17
高速动车	过G4206	厦门	长沙南	15:17	15:19
高速动车	过G1369	上海虹桥	怀化南	15:17	15:19
高速动车	过G1322	贵阳北	上海虹桥	15:31	15:33
快速	过K1078	宁波	重庆北	15:33	15:37
高速动车	过G1389	上海虹桥	南昌	15:35	15:37
高速动车	过G2334	贵阳北	宁海	15:37	15:39
快速	终K8720	鹰潭	上饶	15:46	-
高速动车	过G62	南昌西	济南西	15:45	15:47
高速动车	过G1620	南昌西	阜阳西	15:32	15:51
高速动车	过G2305	毕节	温州南	15:56	15:58
高速动车	过G27	北京南	福州	16:01	16:04
高速动车	过G870	西安北	温州南	15:46	16:05
高速动车	过G1602	深圳北	亳州南	16:07	16:12
高速动车	过G1362	长沙南	上海虹桥	16:12	16:14
高速动车	过G1493	南京南	南昌西	16:16	16:18
高速动车	过G2314	长沙南	温州南	16:17	16:23
高速动车	过G1329	上海虹桥	贵阳北	16:21	16:23
快速	过K1185	上海南	九江	16:21	16:25
高速动车	过G355	北京南	厦门北	16:23	16:26
高速动车	过G2195	成都东	上海虹桥	16:27	16:29
高速动车	过G1355	上海虹桥	长沙南	16:27	16:29
高速动车	过G1686	贵阳北	厦门北	16:29	16:31
高速动车	过G99	上海虹桥	广州南	16:33	16:35
高速动车	过G348	福州	济南西	16:37	16:39
高速动车	过G2036	温州南	宜昌东	16:38	16:40
高速动车	过G1614	长沙南	厦门	16:39	16:41
高速动车	过G1378	昆明南	南京南	16:40	16:42
特快	过T169	上海南	广州	16:38	16:43
高速动车	过G1663	龙岩	蚌埠南	16:45	16:48
快速	始K793	上饶	广州东	-	16:50
高速动车	过G1906	福州	郑州东	16:54	16:57
高速动车	过G1388	南昌西	上海虹桥	16:55	16:57
高速动车	过G100	广州南	上海虹桥	17:00	17:02
高速动车	过G2316	温州南	长沙南	17:03	17:05
快速	过K834	贵阳	上海南	17:02	17:06
高速动车	过G244	青岛	厦门	17:07	17:09
高速动车	过G1675	南京南	厦门北	17:12	17:14
高速动车	过G1380	昆明南	南京南	17:12	17:14
高速动车	过G635	淮南南	广州南	16:56	17:19
高速动车	过G1635	上海虹桥	福州	17:17	17:21
高速动车	过G1654	厦门北	上海虹桥	17:20	17:25
高速动车	过G2336	贵阳北	南京南	17:31	17:33
高速动车	过G1495	南京南	南昌	17:33	17:35
高速动车	过G329	天津西	福州	17:34	17:36
高速动车	过G2344	南宁东	宁波	17:39	17:41
高速动车	过G33	北京南	南昌西	17:41	17:43
特快	过T211	上海南	深圳	17:42	17:45
高速动车	过G1656	厦门北	上海虹桥	17:46	17:48
高速动车	过G1305	上海虹桥	广州南	17:46	17:48
动车组	过D6268	南昌	南昌	17:24	17:48
高速动车	过G323	北京南	厦门北	17:46	17:49
高速动车	过G1461	杭州东	赣州西	17:51	17:53
快速	过K848	宁波	贵阳	17:53	17:57
高速动车	过G1755	成都东	福州南	17:54	17:58
高速动车	过G1604	深圳北	南京南	17:56	18:00
高速动车	过G1335	重庆西	上海虹桥	17:59	18:01
高速动车	过G1502	南宁东	上海虹桥	18:08	18:10
高速动车	过G301	北京南	福州南	18:11	18:14
高速动车	过G1392	昆明南	芜湖	18:12	18:17
高速动车	过G1359	上海虹桥	长沙南	18:15	18:17
高速动车	过G1418	长沙南	宁波	18:22	18:24
高速动车	过G2277	成都东	厦门北	18:23	18:25
高速动车	过G1328	六盘水	上海虹桥	18:27	18:29
高速动车	过G1637	上海虹桥	福州	18:29	18:32
高速动车	过G1670	厦门北	徐州东	18:33	18:35
高速动车	过G1983	成都东	苍南	18:32	18:38
高速动车	过G1647	武汉	福州	18:36	18:39
高速动车	过G1612	厦门北	合肥南	18:47	18:49
高速动车	过G1504	南宁东	南京南	18:48	18:54
快速	过K846	贵阳	宁波	18:56	19:00
高速动车	终G1402	广州南	上饶	19:00	-
高速动车	过G1302	广州南	南通	19:04	19:06
高速动车	过G1374	昆明南	上海虹桥	19:12	19:14
高速动车	过G1668	厦门北	南京南	19:13	19:16
高速动车	过G1583	常州北	九江	19:18	19:20
高速动车	过G1394	南昌	上海虹桥	19:23	19:25
特快	过T101	上海南	深圳	19:22	19:26
高速动车	过G1361	上海虹桥	长沙南	19:28	19:30
高速动车	过G2191	成都东	上海虹桥	19:29	19:31
高速动车	过G1694	厦门北	长沙南	19:27	19:31
高速动车	过G1272	沈阳南	福州	19:30	19:32
高速动车	过G1640	福州	上海虹桥	19:36	19:39
快速	过K759	上海南	衡阳	19:37	19:41
高速动车	过G2386	厦门北	杭州东	19:42	19:44
高速动车	过G1677	南京南	福州	19:43	19:46
高速动车	过G1376	昆明南	上海虹桥	19:45	19:47
高速动车	过G1432	宁波	长沙南	19:46	19:48
高速动车	过G2187	成都东	杭州东	19:25	19:50
高速动车	过G1506	南宁东	南京南	19:51	19:53
高速动车	过G1385	上海虹桥	赣州西	19:51	19:53
