列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	过D5342	运城北	太原南	7:14	7:16
动车组	始D2002	临汾西	北京西	-	7:40
动车组	终D5351	太原南	临汾西	7:51	-
动车组	过D5314	运城北	太原南	8:09	8:11
动车组	过D2501	太原南	西安北	8:17	8:19
动车组	过D1901	太原南	成都东	8:38	8:41
动车组	始D5352	临汾西	太原南	-	8:49
动车组	过D5313	太原南	运城北	8:55	8:57
动车组	过D2004	运城北	北京西	9:02	9:04
动车组	过D2507	太原南	西安北	9:34	9:36
动车组	过D2502	西安北	太原南	9:48	9:50
动车组	过D5317	太原南	永济北	10:06	10:09
动车组	过D2504	西安北	太原南	10:20	10:22
动车组	过D5319	太原南	运城北	10:22	10:24
动车组	过D2513	太原南	西安北	10:46	10:48
高速动车	过G1954	运城北	嘉兴南	10:51	10:53
高速动车	过G2624	运城北	青岛北	11:29	11:31
动车组	过D2583	大同南	西安北	11:59	12:02
动车组	过D1638	运城北	青岛	12:14	12:16
高速动车	过G616	永济北	北京西	12:38	12:40
高速动车	过G627	北京西	运城北	12:50	12:53
动车组	过D2512	西安北	太原南	13:12	13:14
动车组	过D1963	太原南	重庆西	13:25	13:28
动车组	过D5372	运城北	大同南	13:27	13:30
动车组	过D2566	兰州西	太原南	14:03	14:05
动车组	过D2516	西安北	太原南	14:14	14:17
动车组	过D2519	太原南	西安北	14:18	14:20
动车组	过D1904	成都东	太原南	14:30	14:33
动车组	过D1644	济南西	运城北	14:58	15:00
高速动车	过G628	运城北	北京西	15:09	15:11
高速动车	过G605	北京西	永济北	15:20	15:22
动车组	过D2520	西安北	太原南	15:23	15:25
动车组	过D1953	重庆西	太原南	15:39	15:42
动车组	过D1636	青岛	运城北	16:13	16:15
动车组	过D2565	太原南	兰州西	16:34	16:36
动车组	过D2524	西安北	太原南	16:49	16:51
动车组	过D1905	太原南	成都东	17:37	17:39
动车组	过D5378	运城北	大同南	17:39	17:42
动车组	过D5329	太原南	运城北	18:07	18:10
动车组	过D5320	永济北	太原南	18:13	18:15
动车组	过D2003	北京西	运城北	18:22	18:24
高速动车	过G2622	青岛北	运城北	18:37	18:39
高速动车	过G1952	嘉兴南	运城北	19:00	19:02
动车组	过D5324	运城北	太原南	19:13	19:15
动车组	过D2571	太原南	宝鸡南	19:29	19:31
动车组	过D5326	运城北	太原南	19:45	19:47
高速动车	过G2078	威海	运城北	20:10	20:12
动车组	过D2531	太原南	西安北	20:28	20:30
动车组	过D5328	运城北	太原南	20:36	20:38
动车组	终D2005	北京西	临汾西	20:44	-
动车组	过D1906	成都东	太原南	21:31	21:33
动车组	过D5343	太原南	运城北	21:55	21:57
动车组	过D5375	大同南	运城北	22:11	22:13
