列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	始D7634	丹东	沈阳	-	6:23
动车组	始D7604	丹东	沈阳	-	6:36
高速动车	始G398	丹东	北京南	-	7:00
高速动车	过G8103	东港北	吉林	7:05	7:19
快速	终K27	北京	丹东	7:35	-
动车组	终D7641	沈阳	丹东	7:38	-
动车组	始D7742	丹东	大连	-	7:58
动车组	始D7642	丹东	沈阳	-	8:00
动车组	终D7603	沈阳	丹东	8:02	-
动车组	始D7606	丹东	沈阳	-	8:29
高速动车	终G8104	长春	丹东	8:52	-
动车组	终D7607	沈阳	丹东	9:07	-
高速动车	始G788	丹东	齐齐哈尔南	-	9:12
动车组	过D7741	大连	沈阳	9:08	9:20
动车组	始D7610	丹东	沈阳北	-	9:35
动车组	过D7731	沈阳	大连	9:29	9:41
动车组	终D7711	大连北	丹东	9:51	-
动车组	终D7605	沈阳	丹东	9:58	-
动车组	终D7611	沈阳	丹东	10:09	-
动车组	始D7712	丹东	大连北	-	10:13
动车组	始D7612	丹东	沈阳	-	10:35
动车组	终D7613	沈阳北	丹东	10:50	-
动车组	过D7737	大连北	沈阳	10:43	10:55
高速动车	始G1230	丹东	上海虹桥	-	11:11
动车组	终D7663	沈阳	丹东	11:24	-
动车组	始D7664	丹东	沈阳	-	11:55
动车组	终D7615	沈阳	丹东	11:59	-
动车组	始D7616	丹东	沈阳	-	12:26
动车组	终D7619	沈阳北	丹东	13:06	-
普快	终4318	通化	丹东	13:26	-
动车组	始D7620	丹东	沈阳	-	13:28
高速动车	终G8181	辽宁朝阳	丹东	13:30	-
动车组	过D7743	沈阳	大连北	13:24	13:36
高速动车	始G8182	丹东	辽宁朝阳	-	13:50
高速动车	终G8078	延吉西	丹东	13:58	-
动车组	过D7757	大连	沈阳	13:49	14:01
动车组	终D7623	沈阳	丹东	14:11	-
高速动车	始G8076	丹东	延吉西	-	14:21
动车组	始D7624	丹东	沈阳北	-	14:36
动车组	过D7751	沈阳	大连	14:33	14:45
动车组	过D7733	大连	沈阳	14:44	14:56
普快	始4320	丹东	通化	-	14:56
动车组	终D7665	沈阳	丹东	15:12	-
高速动车	终G8228	赤峰	丹东	15:21	-
动车组	始D7666	丹东	沈阳	-	15:33
高速动车	始G8226	丹东	赤峰	-	15:41
动车组	终D7713	大连北	丹东	15:43	-
高速动车	终G395	北京南	丹东	15:46	-
动车组	始D7720	丹东	大连	-	16:02
高速动车	终G8108	吉林	丹东	16:03	-
高速动车	始G396	丹东	北京南	-	16:07
动车组	终D7625	沈阳	丹东	16:17	-
高速动车	始G8106	丹东	吉林	-	16:32
动车组	终D7629	沈阳	丹东	16:56	-
动车组	始D7626	丹东	沈阳	-	17:12
城际动车	始C1138	丹东	沈阳	-	17:24
动车组	过D7755	沈阳	大连	17:20	17:32
动车组	终D7633	沈阳北	丹东	18:14	-
快速	始K28	丹东	北京	-	18:18
动车组	过D7747	沈阳	大连	18:25	18:37
动车组	终D7635	沈阳	丹东	18:48	-
动车组	始D7636	丹东	沈阳	-	19:07
动车组	过D7749	大连北	沈阳	19:14	19:26
高速动车	终G1232	上海虹桥	丹东	19:27	-
高速动车	终G397	北京南	丹东	20:18	-
动车组	终D7753	大连	丹东	20:22	-
高速动车	终G786	齐齐哈尔南	丹东	20:36	-
动车组	始D7640	丹东	沈阳	-	20:40
