列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K302	广州	徐州	0:36	0:44
快速	过K94	南通	深圳东	0:29	0:46
特快	过T219	广州东	合肥	0:42	0:50
快速	过K34	深圳	苏州	1:00	1:11
快速	过K134	深圳西	兰州	1:06	1:12
快速	过K36	苏州	深圳	1:48	1:54
快速	过K782	上海	萍乡	2:17	2:22
快速	过K32	洛阳	福州	2:24	2:30
动车组	过D745	北京西	厦门北	3:13	3:16
快速	过K1220	宁波	南昌	3:14	3:32
快速	过K1191	南京	南宁	3:29	3:39
快速	过K253	上海南	荆门	3:37	3:41
快速	过K1127	上海南	襄州	3:34	3:45
快速	过K1030	东莞东	合肥	3:44	3:50
快速	过K30	福州	洛阳	3:56	4:02
特快	过T155	广州东	汉口	4:11	4:17
快速	过K729	广州东	大同	4:20	4:26
快速	过K1282	深圳东	济南	4:30	4:36
快速	过K1328	苏州	南昌	4:44	4:50
快速	过K1453	北京西	赣州	4:59	5:03
快速	过K136	南通	昆明	5:14	5:20
动车组	过D739	北京西	三明北	5:26	5:29
快速	过K1312	深圳东	西宁	5:26	5:32
动车组	过D733	北京西	吉安	5:32	5:35
快速	过K677	徐州	广州东	6:03	6:09
快速	过K824	深圳东	信阳	6:05	6:11
动车组	过D737	北京西	南昌	6:24	6:27
快速	过K744	厦门北	郑州	6:30	6:36
快速	终K1670	温州	九江	6:43	-
快速	终K116	深圳	九江	6:49	-
动车组	始D6341	九江	南昌	-	6:51
快速	过K92	深圳东	南通	7:08	7:14
直达特快	过Z186	深圳	沈阳北	7:18	7:28
动车组	过D6262	南昌	婺源	7:56	7:58
动车组	始D6525	九江	厦门	-	8:01
快速	过K614	连云港东	南昌	8:00	8:07
快速	终K1020	深圳东	九江	8:09	-
高速动车	始G1456	九江	杭州东	-	8:10
快速	过K728	哈尔滨西	昆明	8:06	8:12
快速	过K85	广州	景德镇北	7:38	8:18
快速	过K568	齐齐哈尔	东莞东	8:31	8:35
高速动车	始G1581	九江	常州北	-	8:53
特快	过T396	青岛	深圳	9:02	9:06
动车组	始D6505	九江	福州	-	9:17
高速动车	始G633	九江	深圳北	-	9:28
快速	过K571	北京西	厦门北	9:31	9:35
动车组	过D6251	景德镇北	南昌	9:39	9:45
快速	过K1192	南宁	南京	10:18	10:24
动车组	过D6266	南昌	南昌	10:29	10:33
直达特快	过Z114	哈尔滨西	海口	10:45	10:48
快速	始K8725	九江	定南	-	11:06
动车组	过D6254	南昌	景德镇北	11:15	11:22
动车组	过D3398	汉口	杭州东	11:35	11:40
动车组	过D6261	婺源	南昌	11:41	11:43
高速动车	过G2382	南昌西	杭州东	11:43	11:46
快速	过K806	重庆西	福州	11:46	11:53
快速	过K1136	青岛	南宁	11:57	12:01
动车组	过D3283	景德镇北	武汉	11:59	12:03
快速	过K876	昆明	烟台	12:08	12:12
高速动车	过G2389	杭州东	西安北	12:08	12:12
快速	过K1561	合肥	南宁	12:08	12:14
高速动车	过G1648	福州南	武汉	12:16	12:20
动车组	终D6348	南昌	九江	12:21	-
直达特快	过Z386	三亚	长春	12:19	12:23
快速	过K424	成都	宁波	12:25	12:31
普客	终6025	麻城	九江	12:41	-
快速	过K244	厦门北	西安	12:37	12:43
动车组	始D6349	九江	南昌	-	12:48
直达特快	过Z102	长春	厦门北	12:54	12:57
快速	过K1138	南宁	青岛	12:53	12:57
快速	过K242	西安	厦门北	13:14	13:18
普客	始6026	九江	麻城	-	13:25
高速动车	过G870	西安北	温州南	13:33	13:37
快速	过K878	烟台	昆明	13:39	13:43
动车组	过D6256	南昌	景德镇北	14:03	14:07
快速	过K731	大同	广州东	14:08	14:12
快速	过K105	北京西	深圳	14:25	14:29
快速	过K448	西安	深圳	14:35	14:38
高速动车	过G2390	西安北	杭州东	14:34	14:38
高速动车	终G1480	长沙南	九江	14:45	-
