列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K474	昆明	北京	0:01	0:09
快速	过K9503	昭通	贵阳	23:50	0:16
直达特快	过Z290	宁波	昆明	0:13	0:19
快速	过K491	济南	昆明	0:20	0:28
快速	过K726	昆明	哈尔滨西	0:27	0:33
快速	过K1502	昆明	乌鲁木齐	0:46	0:55
快速	过K853	昭通	昆明	1:16	1:38
快速	过K2288	长春	昆明	1:37	1:45
快速	过K79	上海南	昆明	1:46	1:54
快速	过K692	昆明	呼和浩特	2:08	2:23
快速	过K691	呼和浩特	昆明	3:20	3:30
直达特快	过Z53	北京西	昆明	6:40	6:46
高速动车	始G2954	六盘水	广州南	-	7:01
快速	过K136	南通	昆明	6:55	7:05
高速动车	终G5341	贵阳北	六盘水	7:31	-
高速动车	始G5342	六盘水	贵阳北	-	7:51
快速	过K473	北京	昆明	7:52	8:02
快速	过K728	哈尔滨西	昆明	9:03	9:10
快速	终K9369	贵阳	六盘水	9:27	-
高速动车	终G5343	贵阳北	六盘水	9:55	-
快速	始K496	六盘水	上海南	-	10:07
高速动车	始G1328	六盘水	上海虹桥	-	10:15
直达特快	过Z54	昆明	北京西	10:33	10:37
快速	过K9581	贵阳	草海	10:46	10:52
高速动车	终G5345	贵阳北	六盘水	10:52	-
城际动车	终C6031	贵阳北	六盘水	11:16	-
高速动车	始G2996	六盘水	铜仁	-	11:18
快速	过K9515	贵阳	昭通	11:07	11:19
快速	过K876	昆明	烟台	11:12	11:24
城际动车	始C6032	六盘水	重庆西	-	11:46
直达特快	过Z288	昆明	宁波	13:40	13:46
普快	过5647	昭通	贵阳	14:05	14:16
城际动车	终C5973	成都南	六盘水	14:21	-
快速	过K9583	草海	贵阳	14:26	14:33
城际动车	始C5988	六盘水	成都东	-	14:42
快速	过K854	昆明	昭通	14:17	14:43
普客	终6083	威舍	六盘水	15:14	-
快速	过K9585	贵阳	草海	15:01	15:15
快速	过K878	烟台	昆明	15:33	15:53
普客	始6081	六盘水	威舍	-	16:15
快速	过K9501	贵阳	昭通	16:30	16:45
快速	过K492	昆明	济南	16:55	17:02
普快	过5645	贵阳	昭通	17:00	17:09
高速动车	终G1321	上海虹桥	六盘水	17:10	-
高速动车	始G5344	六盘水	贵阳北	-	17:31
快速	过K9517	昭通	贵阳	17:43	17:52
高速动车	终G2995	铜仁	六盘水	18:56	-
快速	过K9587	草海	贵阳	19:02	19:08
高速动车	始G5346	六盘水	贵阳北	-	19:16
直达特快	过Z161	北京西	昆明	19:33	19:36
快速	过K1504	乌鲁木齐	昆明	19:26	19:43
城际动车	终C6033	重庆西	六盘水	19:59	-
城际动车	始C6034	六盘水	贵阳北	-	20:20
高速动车	终G5347	贵阳北	六盘水	20:30	-
高速动车	始G5348	六盘水	贵阳北	-	20:50
高速动车	终G2956	广州南	六盘水	23:08	-
快速	过K2286	昆明	长春	22:53	23:10
快速	过K138	昆明	南通	23:12	23:18
快速	过K80	昆明	上海南	23:26	23:37
直达特快	过Z162	昆明	北京西	23:39	23:44
