列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K454	喀什	成都	23:48	0:04
快速	过K680	乌鲁木齐	重庆	0:30	0:45
快速	过K544	伊宁	重庆	0:37	0:56
快速	过K6671	陇南	嘉峪关	0:54	1:08
快速	过K1060	格尔木	成都	1:00	1:17
直达特快	过Z274	西宁	青岛	1:07	1:24
快速	过K369	敦煌	西安	1:14	1:32
直达特快	过Z378	西宁	上海	1:24	1:44
快速	过K1615	银川	成都	1:43	1:58
快速	过K1616	成都	银川	3:40	3:55
快速	过K452	成都	喀什	3:54	4:11
快速	过K980	齐齐哈尔	西宁	4:00	4:25
快速	过K679	重庆	乌鲁木齐	4:41	4:56
快速	过K888	天津	兰州西	4:52	5:10
城际动车	始C8531	兰州	中川机场	-	5:19
快速	过K543	重庆	伊宁	5:33	5:48
快速	终K134	深圳西	兰州	5:54	-
城际动车	始C8511	兰州	中川机场	-	5:58
普客	始6068	兰州	广元	-	6:12
快速	过K2632	成都	西宁	6:10	6:26
快速	终K9662	嘉峪关	兰州	6:38	-
快速	过K6672	嘉峪关	陇南	6:26	6:43
快速	过K177	郑州	西宁	6:28	6:43
城际动车	始C8501	兰州	中川机场	-	7:00
动车组	始D762	兰州	成都东	-	7:03
特快	终T6602	嘉峪关	兰州	7:07	-
快速	过K815	银川	西宁	6:52	7:07
动车组	始D8892	兰州	岷县	-	7:11
特快	过T269	西安	喀什	6:59	7:14
城际动车	终C8532	中川机场	兰州	7:19	-
普客	始7510	兰州	干塘	-	7:21
旅游	终Y669	敦煌	兰州	7:31	-
特快	过T175	北京西	西宁	7:31	7:39
动车组	始D8882	兰州	陇南	-	7:41
直达特快	始Z6205	兰州	嘉峪关	-	7:46
直达特快	终Z55	北京西	兰州	7:48	-
快速	终K2616	成都	兰州	7:54	-
城际动车	终C8512	中川机场	兰州	7:59	-
快速	过K2058	成都	乌鲁木齐	7:38	8:06
快速	始K2618	兰州	成都	-	8:09
快速	终K308	温州	兰州	8:11	-
快速	过K778	兰州西	东莞东	7:52	8:16
城际动车	始C8513	兰州	中川机场	-	8:17
快速	过K1312	深圳东	西宁	8:03	8:23
快速	始K420	兰州	扬州	-	8:35
特快	始T6611	兰州	金昌	-	8:36
快速	始K6971	兰州	金昌	-	8:45
快速	终K226	广州	兰州	8:45	-
动车组	始D754	兰州	重庆北	-	8:55
快速	过K886	兰州西	天津	8:39	9:02
特快	过T270	喀什	西安	8:46	9:09
快速	终K9669	敦煌	兰州	9:12	-
普快	过2635	呼和浩特	兰州西	8:54	9:14
快速	终K9663	长庆桥	兰州	9:18	-
直达特快	过Z322	成都	拉萨	9:10	9:26
直达特快	过Z223	重庆西	拉萨	9:10	9:26
快速	过K1058	成都	格尔木	9:25	9:41
城际动车	终C8514	中川机场	兰州	10:01	-
普客	始7561	兰州	兰州新区	-	10:04
普客	始7502	兰州	陇西	-	10:04
直达特快	始Z6207	兰州	张掖	-	10:12
动车组	过D766	西宁	成都东	10:10	10:18
城际动车	始C8515	兰州	中川机场	-	10:21
特快	终T296	乌鲁木齐	兰州	10:25	-
动车组	始D8886	兰州	陇南	-	10:25
快速	始K9673	兰州	武威	-	10:32
快速	过K596	乌鲁木齐	杭州	10:17	10:33
直达特快	过Z376	上海	西宁	10:27	10:42
直达特快	终Z129	北京西	兰州	10:42	-
直达特快	过Z106	乌鲁木齐	济南	10:33	10:50
直达特快	过Z232	乌鲁木齐	深圳	10:40	10:57
特快	始T356	兰州	长庆桥	-	11:04
直达特快	过Z311	呼和浩特	西宁	10:52	11:15
动车组	终D8891	岷县	兰州	11:15	-
特快	始T118	兰州	上海	-	11:16
