列车类型	车次	始发站	终到站	到站时间	发车时间
快速	终K888	天津	兰州西	5:22	-
城际动车	过C8531	兰州	中川机场	5:29	5:31
快速	过K543	重庆	伊宁	6:00	6:02
城际动车	过C8511	兰州	中川机场	6:08	6:12
快速	过K6672	嘉峪关	陇南	6:08	6:14
快速	过K9662	嘉峪关	兰州	6:23	6:26
动车组	始D2686	兰州西	西安北	-	6:37
快速	过K2632	成都	西宁	6:38	6:42
动车组	始D2680	兰州西	西安北	-	6:50
特快	过T6602	嘉峪关	兰州	6:53	6:55
快速	过K177	郑州	西宁	6:55	6:57
动车组	始D2741	兰州西	嘉峪关南	-	7:04
动车组	始D8920	兰州西	天水南	-	7:05
城际动车	过C8532	中川机场	兰州	7:07	7:09
高速动车	始G2686	兰州西	威海	-	7:10
城际动车	过C8501	兰州	中川机场	7:10	7:14
旅游	过Y669	敦煌	兰州	7:17	7:19
快速	过K815	银川	西宁	7:19	7:21
特快	过T269	西安	喀什	7:26	7:28
动车组	始D2743	兰州西	嘉峪关南	-	7:36
高速动车	始G1904	兰州西	福州	-	7:37
快速	始K778	兰州西	东莞东	-	7:40
动车组	始D2652	兰州西	西安北	-	7:42
城际动车	过C8512	中川机场	兰州	7:47	7:49
动车组	始D2690	兰州西	西安北	-	7:58
直达特快	过Z6205	兰州	嘉峪关	7:58	8:00
动车组	始D2749	兰州西	敦煌	-	8:01
高速动车	始G4298	兰州西	杭州东	-	8:03
高速动车	始G834	兰州西	广州南	-	8:07
高速动车	始G1714	兰州西	天津西	-	8:24
快速	始K886	兰州西	天津	-	8:27
高速动车	始G3166	兰州西	上海虹桥	-	8:29
动车组	始D2654	兰州西	西安北	-	8:34
高速动车	始G642	兰州西	南昌西	-	8:39
动车组	终D8925	天水南	兰州西	8:43	-
动车组	始D2566	兰州西	太原南	-	8:47
动车组	始D55	兰州西	乌鲁木齐	-	8:52
城际动车	终C8602	中川机场	兰州西	8:55	-
高速动车	始G3186	兰州西	南昌西	-	9:01
高速动车	始G1840	兰州西	青岛北	-	9:05
动车组	始D2656	兰州西	西安北	-	9:09
快速	过K6971	兰州	金昌	8:57	9:14
动车组	始D2658	兰州西	西安北	-	9:15
动车组	过D2736	西宁	西安北	9:14	9:20
城际动车	始C8601	兰州西	中川机场	-	9:23
动车组	始D8912	兰州西	天水南	-	9:24
普快	终2635	呼和浩特	兰州西	9:26	-
城际动车	始C8603	兰州西	中川机场	-	9:45
高速动车	始G430	兰州西	北京西	-	9:49
动车组	过D2688	西宁	西安北	9:56	10:03
快速	始K6655	兰州西	武威	-	10:12
动车组	过D2649	西安北	西宁	10:06	10:12
高速动车	始G2096	兰州西	青岛北	-	10:19
普客	过7561	兰州	兰州新区	10:16	10:19
直达特快	过Z6207	兰州	张掖	10:24	10:26
高速动车	始G846	兰州西	广州南	-	10:34
城际动车	过C8515	兰州	中川机场	10:31	10:35
动车组	终D8919	天水南	兰州西	10:44	-
高速动车	始G1972	兰州西	上海虹桥	-	10:49
动车组	过D2671	西安北	嘉峪关南	10:50	10:56
动车组	过D2570	西宁	太原南	10:50	10:58
普快	始2636	兰州西	呼和浩特	-	10:59
动车组	过D2701	西安北	乌鲁木齐	10:57	11:03
城际动车	过C8502	中川机场	兰州	11:04	11:06
高速动车	始G3182	兰州西	上海虹桥	-	11:11
动车组	始D2668	兰州西	西安北	-	11:17
动车组	过D2651	西安北	西宁	11:14	11:20
动车组	过D2685	西安北	西宁	11:42	11:48
城际动车	过C8503	兰州	中川机场	11:46	11:48
城际动车	终C8604	中川机场	兰州西	11:50	-
快速	终K6678	长征	兰州西	11:54	-
动车组	终D2653	西安北	兰州西	11:58	-
高速动车	始G1876	兰州西	杭州东	-	11:59
动车组	始D2711	兰州西	乌鲁木齐	-	12:04
动车组	始D2662	兰州西	西安北	-	12:18
高速动车	终G2025	郑州东	兰州西	12:27	-
动车组	过D2682	张掖西	西安北	12:24	12:30
城际动车	过C8516	中川机场	兰州	12:40	12:44
动车组	终D310	上海	兰州西	12:48	-
城际动车	始C8605	兰州西	中川机场	-	12:49
高速动车	始G1834	兰州西	济南西	-	12:58
动车组	过D2650	西宁	西安北	12:57	13:07
动车组	过D2672	嘉峪关南	西安北	13:08	13:15
动车组	过D8913	天水南	中川机场	13:06	13:17
动车组	终D773	广元	兰州西	13:19	-
动车组	过D2687	西安北	嘉峪关南	13:19	13:25
城际动车	过C8517	兰州	中川机场	13:26	13:28
动车组	终D2679	西安北	兰州西	13:30	-
高速动车	终G437	北京西	兰州西	13:38	-
动车组	过D2737	西安北	敦煌	13:35	13:41
直达特快	过Z292	汉口	乌鲁木齐	13:40	13:43
动车组	过D2692	西宁	西安北	13:37	13:43
普客	过7562	兰州新区	兰州	13:44	13:47
城际动车	过C8504	中川机场	兰州	13:52	13:56
动车组	始D2678	兰州西	西安北	-	14:13
高速动车	终G2021	郑州东	兰州西	14:17	-
动车组	终D8881	陇南	兰州西	14:20	-
动车组	始D8890	兰州西	姚渡	-	14:24
高速动车	始G438	兰州西	北京西	-	14:28
城际动车	终C8606	中川机场	兰州西	14:28	-
动车组	过D2696	嘉峪关南	西安北	14:22	14:31
城际动车	过C8505	兰州	中川机场	14:33	14:35
动车组	终D2655	西安北	兰州西	14:41	-
普客	过7563	兰州	兰州新区	14:42	14:44
动车组	过D2660	西宁	西安北	14:39	14:45
动车组	终D2567	太原南	兰州西	14:46	-
高速动车	始G2022	兰州西	郑州东	-	14:49
动车组	终D2746	玉门	兰州西	14:50	-
快速	过K178	西宁	郑州	14:51	14:54
动车组	始D2568	兰州西	太原南	-	15:01
动车组	始D2664	兰州西	西安北	-	15:06
动车组	过D8914	中川机场	天水南	14:57	15:09
动车组	终D2657	西安北	兰州西	15:09	-
动车组	始D2757	兰州西	嘉峪关南	-	15:10
动车组	始D752	兰州西	重庆北	-	15:12
动车组	过D2661	西安北	西宁	15:04	15:17
城际动车	过C8518	中川机场	兰州	15:19	15:21
快速	始K6676	兰州西	长征	-	15:27
动车组	始D2666	兰州西	西安北	-	15:28
动车组	过D2694	西宁	西安北	15:23	15:32
城际动车	始C8607	兰州西	中川机场	-	15:38
高速动车	终G1833	济南西	兰州西	15:49	-
动车组	终D2659	西安北	兰州西	16:01	-
动车组	过D2739	敦煌	西安北	16:00	16:06
高速动车	始G2026	兰州西	郑州东	-	16:16
普客	过7506	武威南	兰州	16:21	16:24
动车组	过D2689	西安北	西宁	16:19	16:25
动车组	过D2735	西安北	西宁	16:26	16:32
动车组	始D2676	兰州西	西安北	-	16:32
高速动车	终G1970	上海虹桥	兰州西	16:41	-
城际动车	过C8506	中川机场	兰州	16:40	16:44
动车组	终D2742	嘉峪关南	兰州西	16:59	-
动车组	过D2673	西安北	嘉峪关南	16:54	17:00
快速	过K9667	兰州	敦煌	16:49	17:01
动车组	始D312	兰州西	上海	-	17:15
动车组	始D2751	兰州西	玉门	-	17:20
高速动车	终G1874	杭州东	兰州西	17:27	-
动车组	终D2759	敦煌	兰州西	17:29	-
城际动车	过C8507	兰州	中川机场	17:25	17:29
城际动车	终C8608	中川机场	兰州西	17:31	-
普客	过7505	兰州	武威南	17:36	17:38
动车组	过D2674	嘉峪关南	西安北	17:36	17:45
动车组	始D8924	兰州西	天水南	-	17:50
高速动车	终G640	南昌西	兰州西	17:58	-
城际动车	过C8520	中川机场	兰州	18:00	18:04
高速动车	终G3180	上海虹桥	兰州西	18:11	-
快速	过K6658	武威	天水	18:07	18:15
动车组	终D2667	西安北	兰州西	18:28	-
城际动车	始C8609	兰州西	中川机场	-	18:29
普客	过7564	兰州新区	兰州	18:39	18:41
动车组	终D8915	天水南	兰州西	18:49	-
高速动车	终G1842	青岛北	兰州西	18:55	-
城际动车	过C8521	兰州	中川机场	18:54	18:56
动车组	过D2670	西宁	西安北	18:58	19:05
直达特快	过Z105	济南	乌鲁木齐	19:06	19:09
动车组	终D56	乌鲁木齐	兰州西	19:15	-
特快	过T6613	兰州	金昌	19:13	19:16
动车组	过D2695	西安北	西宁	19:09	19:16
高速动车	终G96	广州南	兰州西	19:21	-
动车组	始D8922	兰州西	天水南	-	19:21
动车组	终D2681	西安北	兰州西	19:34	-
城际动车	过C8508	中川机场	兰州	19:30	19:34
高速动车	终G1713	天津西	兰州西	19:39	-
动车组	过D2698	西宁	西安北	19:34	19:40
快速	终K9674	武威	兰州西	19:41	-
高速动车	终G429	北京西	兰州西	19:52	-
动车组	始D8916	兰州西	天水南	-	19:56
城际动车	终C8610	中川机场	兰州西	20:05	-
城际动车	过C8509	兰州	中川机场	20:11	20:13
动车组	过D2708	乌鲁木齐	西安北	20:19	20:25
动车组	过D2697	西安北	西宁	20:21	20:27
城际动车	始C8611	兰州西	中川机场	-	20:35
动车组	过D2699	西安北	西宁	20:32	20:38
快速	过K367	西安	敦煌	20:35	20:47
动车组	过D2569	太原南	西宁	20:40	20:47
动车组	终D8923	天水南	兰州西	21:15	-
动车组	终D2677	西安北	兰州西	21:19	-
快速	过K1583	重庆	乌鲁木齐	21:18	21:20
高速动车	终G3164	上海虹桥	兰州西	21:25	-
特快	过T6616	金昌	兰州	21:24	21:27
动车组	终D2693	西安北	兰州西	21:36	-
城际动车	过C8523	兰州	中川机场	21:33	21:37
高速动车	终G1902	福州	兰州西	21:41	-
动车组	始D8918	兰州西	天水南	-	21:43
动车组	终D2750	嘉峪关南	兰州西	21:43	-
动车组	终D2565	太原南	兰州西	21:46	-
快速	终K777	东莞东	兰州西	21:47	-
城际动车	过C8510	中川机场	兰州	21:47	21:51
动车组	终D2663	西安北	兰州西	21:57	-
高速动车	终G4296	杭州东	兰州西	22:04	-
特快	过T6601	兰州	嘉峪关	22:02	22:05
快速	过K816	西宁	银川	21:56	22:07
快速	过K9661	兰州	嘉峪关	22:12	22:14
快速	终K6656	武威	兰州西	22:17	-
高速动车	终G3184	南昌西	兰州西	22:20	-
动车组	终D2706	乌鲁木齐	兰州西	22:30	-
动车组	终D2665	西安北	兰州西	22:34	-
城际动车	过C8534	中川机场	兰州	22:25	22:38
高速动车	终G2094	青岛北	兰州西	22:39	-
直达特快	过Z6208	张掖	兰州	22:40	22:45
动车组	终D2712	乌鲁木齐	兰州西	22:47	-
快速	过K1310	西宁	深圳东	22:48	22:52
动车组	终D8921	天水南	兰州西	22:57	-
动车组	终D2691	西安北	兰州西	23:03	-
快速	始K858	兰州西	成都	-	23:08
高速动车	终G2684	威海	兰州西	23:10	-
城际动车	过C8524	中川机场	兰州	23:10	23:15
动车组	终D8917	天水南	兰州西	23:18	-
直达特快	过Z6206	嘉峪关	兰州	23:24	23:29
动车组	终D2675	西安北	兰州西	23:32	-
高速动车	终G844	广州南	兰州西	23:53	-
