列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	终G8622	重庆西	内江北	7:25	-
高速动车	过G8543	成都东	沙坪坝	8:05	8:07
高速动车	始G8725	内江北	万州北	-	8:13
高速动车	过G1755	成都东	福州南	8:17	8:19
高速动车	过G8541	成都东	沙坪坝	8:27	8:29
高速动车	过G8542	沙坪坝	成都东	8:37	8:39
动车组	过D1779	绵阳	北海	8:43	8:45
高速动车	过G1836	重庆西	青岛	8:51	8:53
高速动车	过G1983	成都东	苍南	9:08	9:10
高速动车	过G574	重庆西	北京西	9:32	9:34
高速动车	过G8653	江油	贵阳北	9:55	9:57
高速动车	过G1976	重庆西	上海虹桥	10:01	10:04
高速动车	过G8548	沙坪坝	成都东	10:08	10:10
高速动车	过G2680	重庆西	盐城	10:14	10:16
高速动车	过G2885	成都东	昆明南	10:26	10:28
高速动车	过G8501	成都东	重庆北	10:40	10:43
高速动车	过G8546	沙坪坝	成都东	10:46	10:48
高速动车	过G1832	重庆西	济南西	11:07	11:09
城际动车	过C6014	重庆西	重庆西	11:27	11:30
高速动车	过G1710	重庆西	天津西	11:39	11:41
高速动车	过G8705	成都东	万州北	11:44	11:46
高速动车	过G8616	隆昌北	成都东	11:47	11:49
高速动车	过G2216	重庆西	郑州东	11:56	11:58
高速动车	过G8567	成都东	沙坪坝	12:33	12:35
城际动车	过C6004	重庆北	成都东	12:18	12:38
高速动车	过G8529	成都东	重庆北	12:40	12:42
高速动车	过G8754	重庆北	峨眉山	12:46	12:48
高速动车	过G8507	成都东	重庆北	13:03	13:06
高速动车	过G8550	沙坪坝	成都东	13:30	13:32
高速动车	过G8596	重庆西	成都东	13:43	13:46
动车组	过D1851	广元	广州	14:16	14:18
高速动车	过G2161	长沙南	成都东	14:41	14:43
高速动车	过G8568	沙坪坝	成都东	15:06	15:08
动车组	过D1833	成都东	广州南	15:06	15:15
高速动车	过G8713	成都东	万州北	15:31	15:34
城际动车	过C6026	贵阳北	沙坪坝	16:13	16:20
动车组	过D1849	广州	广元	16:12	16:21
动车组	过D1782	南宁东	成都东	16:32	16:34
高速动车	过G8513	成都东	重庆北	16:57	16:59
高速动车	过G8660	贵阳北	成都东	17:21	17:23
高速动车	过G8752	重庆北	德阳	17:40	17:43
城际动车	过C6005	成都东	贵阳北	17:26	17:45
高速动车	过G8672	贵阳北	贵阳北	18:00	18:02
高速动车	过G8560	沙坪坝	成都东	18:21	18:23
高速动车	过G8756	峨眉山	沙坪坝	18:31	18:36
高速动车	过G2890	昆明南	成都东	19:01	19:03
高速动车	过G1709	天津西	重庆西	19:01	19:03
动车组	过D1780	北海	绵阳	19:12	19:15
高速动车	过G8520	重庆北	成都东	19:22	19:24
高速动车	过G571	北京西	重庆西	19:41	19:43
城际动车	过C6028	沙坪坝	宜宾西	19:46	19:48
动车组	过D1822	广州南	成都东	19:55	20:04
高速动车	过G2870	昆明南	成都东	20:27	20:29
高速动车	过G1984	苍南	成都东	21:20	21:22
高速动车	过G8587	成都东	重庆西	21:39	21:41
高速动车	过G8559	成都东	沙坪坝	21:49	21:54
高速动车	过G2882	昆明南	成都东	21:54	21:56
高速动车	过G2682	盐城	重庆西	22:16	22:18
