列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K1673	呼和浩特	西安	23:58	0:08
快速	过K195	呼和浩特东	成都	0:16	0:24
快速	过K1577	太原	乌海西	0:30	0:50
快速	终K1565	大连	包头	1:05	-
普快	过2636	兰州西	呼和浩特	4:11	4:21
快速	过K1686	西安	乌海西	4:23	4:39
快速	过K1674	西安	呼和浩特	5:01	5:09
快速	过K1578	乌海西	太原	4:59	5:19
快速	终K1115	北京西	包头	5:32	-
动车组	始D6770	包头	乌兰察布	-	6:22
快速	过K7912	额济纳	呼和浩特	6:21	6:31
直达特快	始Z284	包头	杭州	-	6:45
快速	过K43	敦煌	北京	6:49	6:59
快速	过K692	昆明	呼和浩特	7:02	7:12
高速动车	始G2482	包头	北京北	-	7:29
快速	终K895	赤峰南	包头	7:30	-
动车组	终D6751	呼和浩特东	包头	7:39	-
快速	过K656	杭州	呼和浩特	7:32	7:42
快速	过K7931	包头东	包头东	7:47	7:55
动车组	始D6752	包头	呼和浩特东	-	8:00
普客	始6056	包头	大同	-	8:10
直达特快	过Z179	北京西	乌鲁木齐	7:59	8:19
高速动车	始G2484	包头	清河	-	8:20
特快	终T4201	锡林浩特	包头	8:24	-
快速	过K7903	包头东	白云鄂博	8:26	8:40
直达特快	始Z338	包头	南宁	-	8:55
快速	过K573	北京西	东胜西	8:38	8:58
快速	过K41	北京	敦煌	8:55	9:05
快速	终K600	广州	包头	9:20	-
普客	过6851	包头东	乌海西	9:15	9:27
快速	始K620	包头	大同	-	9:43
普客	过6859	包头东	乌审旗	9:53	9:59
快速	过K7909	呼和浩特	乌海西	9:54	10:02
动车组	终D6753	呼和浩特东	包头	10:02	-
直达特快	始Z6541	包头	临河	-	10:29
动车组	始D6754	包头	呼和浩特东	-	10:31
直达特快	始Z352	包头	青岛	-	10:40
快速	过K655	呼和浩特	杭州	10:56	11:06
动车组	终D6769	乌兰察布	包头	11:07	-
动车组	终D6755	呼和浩特东	包头	11:19	-
普客	过6854	白云鄂博	包头东	11:18	11:24
动车组	始D6756	包头	呼和浩特东	-	11:34
动车组	始D6758	包头	呼和浩特东	-	11:46
快速	始K7901	包头	乌海西	-	11:52
直达特快	过Z312	西宁	呼和浩特	11:47	11:55
快速	过K888	天津	兰州西	11:52	12:02
