列车类型	车次	始发站	终到站	到站时间	发车时间
市郊动车	始S515	北京北	怀柔北	-	6:32
市郊动车	始S501	北京北	古北口	-	6:58
高速动车	始G2403	北京北	呼和浩特东	-	7:15
高速动车	始G2407	北京北	呼和浩特东	-	8:00
高速动车	始G2503	北京北	大同南	-	8:10
高速动车	终G8882	延庆	北京北	8:14	-
高速动车	始G2481	北京北	包头	-	8:18
高速动车	始G8811	北京北	太子城	-	8:30
高速动车	终G7872	张家口	北京北	8:30	-
市郊动车	终S512	怀柔北	北京北	8:38	-
高速动车	始G8883	北京北	延庆	-	8:51
高速动车	始G2409	北京北	呼和浩特东	-	9:09
市郊动车	始S511	北京北	怀柔北	-	10:04
高速动车	终G2504	大同南	北京北	10:05	-
高速动车	终G2408	呼和浩特东	北京北	10:12	-
高速动车	始G2509	北京北	大同南	-	10:32
高速动车	终G2482	包头	北京北	10:49	-
高速动车	始G2415	北京北	呼和浩特东	-	10:51
高速动车	终G8812	太子城	北京北	11:09	-
高速动车	始G2419	北京北	呼和浩特东	-	11:18
高速动车	始G8813	北京北	太子城	-	11:35
市郊动车	终S516	怀柔北	北京北	11:45	-
市郊动车	终S502	古北口	北京北	12:30	-
市郊动车	始S503	北京北	古北口	-	14:20
高速动车	终G2418	呼和浩特东	北京北	15:08	-
高速动车	始G2487	北京北	包头	-	15:39
市郊动车	始S517	北京北	怀柔北	-	16:23
高速动车	终G2424	呼和浩特东	北京北	16:58	-
高速动车	终G2486	包头	北京北	17:04	-
高速动车	始G2435	北京北	呼和浩特东	-	17:20
高速动车	终G8816	太子城	北京北	17:30	-
高速动车	终G7878	张家口	北京北	17:37	-
高速动车	始G2489	北京北	包头	-	17:50
高速动车	终G2516	大同南	北京北	17:52	-
市郊动车	终S514	怀柔北	北京北	17:59	-
高速动车	始G8817	北京北	太子城	-	18:01
高速动车	终G8888	延庆	北京北	18:09	-
高速动车	始G7879	北京北	张家口	-	18:10
市郊动车	始S513	北京北	怀柔北	-	18:16
高速动车	始G8889	北京北	延庆	-	18:25
高速动车	终G2432	呼和浩特东	北京北	18:32	-
高速动车	始G2521	北京北	大同南	-	18:40
高速动车	终G2518	大同南	北京北	19:00	-
高速动车	始G7881	北京北	张家口	-	19:05
高速动车	始G2523	北京北	大同南	-	19:39
市郊动车	终S504	古北口	北京北	19:52	-
市郊动车	终S518	怀柔北	北京北	20:12	-
高速动车	终G2520	大同南	北京北	20:24	-
高速动车	终G2490	包头	北京北	21:43	-
高速动车	终G8820	太子城	北京北	22:57	-
