列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	终D8301	南宁东	北海	8:08	-
动车组	始D3708	北海	广州南	-	8:10
动车组	终D8303	南宁东	北海	8:25	-
动车组	始D1780	北海	绵阳	-	8:27
动车组	始D8402	北海	桂林	-	8:36
动车组	始D3944	北海	大理	-	8:48
动车组	始D3704	北海	广州南	-	8:55
动车组	终D8305	南宁	北海	9:02	-
动车组	始D3712	北海	广州南	-	9:22
动车组	终D8307	南宁东	北海	9:24	-
特快	始T8712	北海	防城港北	-	9:27
动车组	始D8404	北海	桂林	-	9:44
高速动车	始G530	北海	北京西	-	9:50
动车组	终D8251	柳州	北海	10:05	-
动车组	始D8406	北海	柳州	-	10:24
动车组	终D8309	南宁东	北海	10:31	-
动车组	始D3956	北海	大理	-	10:54
动车组	终D8253	柳州	北海	11:03	-
动车组	始D8408	北海	桂林北	-	11:34
动车组	终D8432	梧州南	北海	11:46	-
动车组	终D8401	桂林北	北海	12:05	-
动车组	始D8368	北海	百色	-	12:10
动车组	始D8494	北海	三江南	-	12:26
动车组	终D8403	桂林北	北海	12:33	-
特快	终T8714	防城港北	北海	13:18	-
动车组	始D3568	北海	重庆西	-	13:18
动车组	终D3706	广州南	北海	13:43	-
动车组	终D8491	三江南	北海	13:48	-
动车组	始D3720	北海	广州南	-	14:02
动车组	终D3710	广州南	北海	14:09	-
动车组	始D8302	北海	南宁东	-	14:12
动车组	终D3561	贵阳北	北海	14:23	-
动车组	始D3724	北海	广州南	-	14:41
动车组	始D3570	北海	贵阳北	-	14:49
特快	始T8716	北海	防城港北	-	14:55
动车组	终D3714	广州南	北海	15:11	-
动车组	终D3719	广州	北海	15:28	-
动车组	始D3728	北海	广州南	-	15:34
动车组	始D3732	北海	广州	-	15:50
动车组	终D8405	桂林	北海	15:58	-
动车组	终D3563	重庆西	北海	16:21	-
动车组	始D8304	北海	南宁东	-	16:23
动车组	终D3722	广州南	北海	16:36	-
动车组	始D8410	北海	桂林北	-	16:40
动车组	始D3736	北海	广州南	-	16:59
动车组	终D9661	柳州	北海	17:08	-
动车组	终D3726	广州南	北海	17:19	-
动车组	始D3740	北海	广州南	-	17:44
高速动车	终G2918	深圳北	北海	17:45	-
动车组	终D8313	南宁东	北海	17:51	-
动车组	始D8412	北海	桂林	-	17:53
动车组	终D3730	广州南	北海	18:01	-
高速动车	始G2920	北海	深圳北	-	18:12
动车组	始D8414	北海	柳州	-	18:18
特快	终T8718	防城港北	北海	18:27	-
动车组	始D8416	北海	桂林	-	18:33
动车组	终D3938	大理	北海	18:35	-
动车组	始D8308	北海	南宁东	-	18:55
动车组	终D1779	绵阳	北海	19:00	-
动车组	终D8407	桂林	北海	19:15	-
动车组	始D8312	北海	南宁东	-	19:22
动车组	终D8315	南宁东	北海	19:33	-
动车组	始D8418	北海	柳州	-	19:37
动车组	终D3734	广州南	北海	19:47	-
动车组	始D8434	北海	梧州南	-	19:56
动车组	始D8310	北海	南宁东	-	20:08
动车组	终D3738	广州南	北海	20:19	-
动车组	终D3950	大理	北海	20:33	-
动车组	终D8257	柳州	北海	20:42	-
高速动车	终G529	北京西	北海	21:00	-
动车组	始D8316	北海	南宁东	-	21:02
动车组	始D8420	北海	柳州	-	21:07
动车组	终D3742	广州南	北海	21:29	-
动车组	终D8411	桂林北	北海	21:35	-
