列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	始G6818	十堰东	汉口	-	8:30
高速动车	始G1590	十堰东	北京西	-	9:33
高速动车	终G6831	汉口	十堰东	10:22	-
高速动车	终G6817	汉口	十堰东	10:27	-
高速动车	始G6832	十堰东	汉口	-	10:43
高速动车	始G6808	十堰东	汉口	-	11:00
高速动车	终G6813	汉口	十堰东	11:37	-
高速动车	始G6814	十堰东	汉口	-	11:57
高速动车	终G6815	汉口	十堰东	12:04	-
高速动车	终G6819	汉口	十堰东	12:29	-
高速动车	始G1042	十堰东	深圳北	-	12:34
高速动车	始G6820	十堰东	汉口	-	12:50
高速动车	终G3213	郑州东	十堰东	13:18	-
高速动车	终G6807	汉口	十堰东	13:38	-
高速动车	始G3214	十堰东	郑州东	-	13:40
高速动车	始G6828	十堰东	汉口	-	14:00
高速动车	终G3230	上海虹桥	十堰东	14:46	-
高速动车	始G3232	十堰东	上海虹桥	-	15:06
高速动车	终G6823	汉口	十堰东	15:36	-
高速动车	终G6827	汉口	十堰东	15:57	-
高速动车	始G6824	十堰东	汉口	-	16:00
高速动车	始G6810	十堰东	汉口	-	16:18
高速动车	终G6821	汉口	十堰东	18:15	-
高速动车	始G6822	十堰东	汉口	-	18:30
高速动车	终G6809	汉口	十堰东	18:30	-
高速动车	终G1040	深圳北	十堰东	18:41	-
高速动车	始G6838	十堰东	汉口	-	19:00
高速动车	终G3211	郑州东	十堰东	19:07	-
高速动车	始G3212	十堰东	郑州东	-	19:30
高速动车	终G6829	汉口	十堰东	19:49	-
高速动车	始G6830	十堰东	汉口	-	20:10
高速动车	终G1589	北京西	十堰东	20:25	-
高速动车	终G6837	汉口	十堰东	20:57	-
