列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	过G3198	西安北	杭州东	7:58	8:00
高速动车	过G2002	西安北	郑州东	8:29	8:31
高速动车	过G2025	郑州东	兰州西	8:35	8:37
高速动车	过G2678	西安北	连云港	8:36	8:38
动车组	过D310	上海	兰州西	9:00	9:02
高速动车	过G2052	西安北	威海	9:05	9:07
高速动车	过G1896	西安北	温州南	9:13	9:19
动车组	过D306	上海	西安北	9:18	9:20
高速动车	过G3154	西安北	上海虹桥	9:25	9:27
高速动车	过G3162	西安北	杭州东	9:35	9:37
高速动车	过G2001	郑州	西安北	9:38	9:40
高速动车	过G2003	郑州东	西安北	10:00	10:02
高速动车	过G2203	郑州东	成都东	10:09	10:11
高速动车	过G2686	兰州西	威海	10:58	11:00
高速动车	过G2213	安阳东	成都东	11:12	11:14
高速动车	过G824	西安北	深圳北	11:31	11:33
高速动车	过G2205	商丘	成都东	11:31	11:33
高速动车	过G660	西安北	北京西	11:37	11:39
高速动车	过G4298	兰州西	杭州东	11:42	11:44
高速动车	过G1294	西安北	大连北	11:55	11:57
高速动车	过G834	兰州西	广州南	12:00	12:02
高速动车	过G651	北京西	西安北	12:05	12:07
高速动车	过G1714	兰州西	天津西	12:05	12:07
高速动车	过G3166	兰州西	上海虹桥	12:11	12:13
高速动车	过G642	兰州西	南昌西	12:28	12:30
高速动车	过G862	西安北	福州	12:33	12:35
高速动车	过G1831	济南西	重庆西	12:29	12:36
高速动车	过G3186	兰州西	南昌西	12:39	12:41
高速动车	过G2204	成都东	郑州东	12:44	12:46
高速动车	过G1970	上海虹桥	兰州西	12:47	12:49
高速动车	过G1840	兰州西	青岛北	12:49	12:51
高速动车	过G2215	郑州东	重庆西	12:52	12:54
高速动车	过G1926	西安北	上海虹桥	12:55	12:57
高速动车	过G838	西安北	广州南	13:02	13:04
高速动车	过G653	北京西	西安北	13:06	13:08
高速动车	过G1886	南京南	重庆西	13:18	13:20
高速动车	过G828	西安北	深圳北	13:15	13:21
高速动车	过G671	北京西	宝鸡南	13:23	13:25
高速动车	过G1282	成都东	沈阳北	13:36	13:38
高速动车	过G1709	天津西	重庆西	13:42	13:44
高速动车	过G430	兰州西	北京西	13:47	13:49
高速动车	过G1874	杭州东	兰州西	13:48	13:50
高速动车	过G842	西安北	深圳北	13:54	14:00
高速动车	过G1974	上海虹桥	重庆西	13:54	14:05
高速动车	过G2096	兰州西	青岛北	14:05	14:07
高速动车	过G640	南昌西	兰州西	14:10	14:12
高速动车	过G1884	西安北	金华南	14:10	14:12
高速动车	过G1836	重庆西	青岛	14:15	14:17
高速动车	过G3180	上海虹桥	兰州西	14:24	14:26
高速动车	过G571	北京西	重庆西	14:29	14:31
高速动车	过G1972	兰州西	上海虹桥	14:34	14:36
高速动车	过G574	重庆西	北京西	14:39	14:41
高速动车	过G3182	兰州西	上海虹桥	14:51	14:53
高速动车	过G655	北京西	西安北	15:01	15:03
高速动车	过G2088	成都东	烟台	15:03	15:05
高速动车	过G664	西安北	北京西	15:09	15:11
高速动车	过G1842	青岛北	兰州西	15:10	15:12
高速动车	过G1702	成都东	秦皇岛	15:14	15:16
高速动车	过G1882	金华南	西安北	15:16	15:18
高速动车	过G308	成都东	北京西	15:25	15:27
高速动车	过G832	广州南	西安北	15:34	15:36
高速动车	过G1713	天津西	兰州西	15:40	15:42
高速动车	过G1976	重庆西	上海虹桥	15:38	15:45
高速动车	过G858	西安北	武汉	15:48	15:50
高速动车	过G429	北京西	兰州西	15:53	15:55
高速动车	过G1876	兰州西	杭州东	15:53	15:55
高速动车	过G1920	上海虹桥	西安北	15:59	16:05
高速动车	过G666	西安北	北京西	16:33	16:35
高速动车	过G667	北京西	西安北	16:34	16:36
高速动车	过G2682	盐城	重庆西	16:39	16:41
高速动车	过G1284	沈阳北	成都东	16:49	16:51
高速动车	过G1880	西安北	合肥南	16:57	16:59
高速动车	过G659	北京西	西安北	17:01	17:03
高速动车	过G1710	重庆西	天津西	17:03	17:05
高速动车	过G1832	重庆西	济南西	17:15	17:17
高速动车	过G2216	重庆西	郑州东	17:36	17:38
高速动车	过G2206	重庆西	徐州东	17:48	17:50
高速动车	过G674	宝鸡南	北京西	18:00	18:02
高速动车	过G668	西安北	北京西	18:06	18:08
高速动车	过G4296	杭州东	兰州西	18:08	18:10
高速动车	过G1924	上海虹桥	西安北	18:17	18:19
高速动车	过G2208	成都东	郑州东	18:18	18:20
高速动车	过G1894	温州南	西安北	18:22	18:24
高速动车	过G3184	南昌西	兰州西	18:27	18:29
高速动车	过G670	西安北	北京西	18:37	18:39
高速动车	过G818	深圳北	西安北	18:41	18:43
高速动车	过G2094	青岛北	兰州西	18:46	18:48
高速动车	过G2389	杭州东	西安北	18:51	18:53
高速动车	过G2022	兰州西	郑州东	18:47	18:55
高速动车	过G2210	成都东	郑州东	19:49	19:51
高速动车	过G2026	兰州西	郑州东	20:01	20:03
高速动车	过G1932	上海虹桥	西安北	20:06	20:08
高速动车	过G1846	荣成	西安北	20:11	20:13
动车组	过D308	西安北	上海	20:17	20:24
高速动车	过G2004	西安北	郑州东	20:35	20:37
高速动车	过G2296	厦门北	西安北	21:36	21:38
高速动车	过G1711	天津西	西安北	21:41	21:43
高速动车	过G2677	连云港	西安北	21:46	21:48
