列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	过D710	上海	北京南	23:56	0:02
直达特快	过Z178	哈尔滨西	杭州	23:57	0:03
普快	过1228	上海	阜新南	0:23	0:29
动车组	过D782	杭州	青岛北	0:29	0:38
快速	过K1511	聊城	金华	0:39	0:46
快速	过K282	上海	成都	0:41	0:49
快速	过K1091	徐州	福州	0:45	0:52
快速	过K8354	连云港东	杭州	0:51	0:58
快速	过K102	温州	北京	0:52	0:58
快速	过K335	长春	宁波	0:57	1:04
快速	过K1047	漯河	上海	1:03	1:11
特快	过T135	济南	宁波	1:15	1:21
快速	过K8402	苏州	阜阳	1:17	1:25
快速	过K1558	南宁	上海	1:08	1:30
快速	过K336	宁波	长春	1:23	1:31
快速	过K645	北京	福州	1:22	1:33
快速	过K8482	上海	阜阳	1:29	1:37
快速	过K50	齐齐哈尔	杭州	1:31	1:38
快速	过K8352	杭州	连云港东	1:35	1:43
直达特快	过Z378	西宁	上海	1:37	1:45
动车组	过D310	上海	兰州西	1:41	1:49
快速	过K292	成都	上海	1:43	1:51
动车组	过D306	上海	西安北	1:47	1:55
快速	过K8431	淮北	上海	1:50	1:58
快速	过K552	温州	牡丹江	2:03	2:12
快速	过K359	银川	上海	2:04	2:12
快速	过K8484	阜阳	上海	2:10	2:18
快速	过K1048	上海	漯河	2:09	2:18
特快	过T136	宁波	济南	2:24	2:32
快速	过K1092	福州	徐州	2:36	2:43
快速	过K154	郑州	上海	2:43	2:50
普快	过1461	北京	上海	2:56	3:03
快速	过K8432	上海	徐州	2:58	3:06
快速	过K8361	阜阳	上海	2:52	3:10
快速	过K8366	上海	亳州	3:04	3:12
快速	过K8358	连云港东	上海	3:12	3:20
快速	过K8362	上海	阜阳	3:10	3:27
快速	过K1506	上海	周口	3:26	3:34
动车组	过D308	西安北	上海	3:28	3:34
动车组	过D312	兰州西	上海	3:34	3:40
快速	过K8428	上海	淮北	3:35	3:46
快速	过K233	石家庄	上海	3:18	3:47
快速	过K284	成都	上海	3:44	3:53
快速	过K1101	安阳	上海	4:20	4:28
快速	过K1149	新乡	昆山	4:26	4:34
动车组	过D781	青岛北	杭州	4:39	4:45
动车组	过D717	北京	杭州	4:46	4:52
动车组	过D701	北京	上海虹桥	4:52	4:58
动车组	过D709	北京南	上海	5:10	5:16
快速	过K462	平顶山	上海	5:25	5:31
高速动车	始G7029	南京	上海	-	5:36
直达特快	过Z284	包头	杭州	5:31	5:37
高速动车	始G7031	南京	上海	-	6:00
高速动车	始G7101	南京	上海虹桥	-	6:12
城际动车	始C3854	南京	上海	-	6:15
快速	过K174	日照	上海	6:21	6:27
高速动车	始G7035	南京	上海	-	6:30
特快	过T238	重庆西	昆山	6:16	6:35
动车组	始D2281	南京	深圳北	-	6:37
高速动车	始G7001	南京	上海	-	7:00
特快	始T151	南京	广州	-	7:02
动车组	始D5458	南京	杭州南	-	7:02
快速	过K784	萍乡	上海	6:34	7:05
快速	过K138	昆明	南通	6:54	7:10
高速动车	始G7313	南京	黄山北	-	7:10
高速动车	始G7039	南京	上海	-	7:15
快速	过K348	温州	沈阳北	7:09	7:17
直达特快	过Z198	太原	上海	7:12	7:20
直达特快	过Z88	西安	杭州	7:18	7:26
高速动车	始G7389	南京	衢州	-	7:33
快速	过K1326	南昌	苏州	7:18	7:35
快速	过K736	洛阳	上海	7:26	7:41
特快	过T109	北京	上海	7:43	7:50
高速动车	终G7032	上海	南京	7:53	-
高速动车	始G7003	南京	上海	-	8:00
动车组	始D5436	南京	启东	-	8:07
动车组	始D3135	南京	赣州	-	8:09
快速	终K526	福州	南京	8:10	-
特快	始T7772	南京	盐城	-	8:13
快速	终K528	广州	南京	8:16	-
快速	始K8392	南京	如东	-	8:23
高速动车	终G7002	上海	南京	8:41	-
城际动车	终C3782	南通	南京	8:47	-
动车组	始D5424	南京	启东	-	8:50
直达特快	过Z166	拉萨	上海	8:53	9:00
高速动车	始G7005	南京	上海	-	9:00
直达特快	过Z42	乌鲁木齐	上海	8:59	9:06
高速动车	始G7107	南京	上海虹桥	-	9:10
城际动车	终C3762	南通	南京	9:11	-
直达特快	过Z267	呼和浩特	上海	9:05	9:12
城际动车	始C3858	南京	上海	-	9:15
高速动车	终G7034	上海	南京	9:19	-
快速	过K34	深圳	苏州	8:55	9:20
高速动车	终G7102	上海虹桥	南京	9:26	-
特快	过T131	大连	上海	9:20	9:28
高速动车	始G7045	南京	上海	-	9:28
城际动车	终C3786	南通	南京	9:29	-
高速动车	终G7004	上海	南京	9:40	-
快速	过K559	延安	上海	9:38	9:45
快速	过K849	保定	上海	9:44	9:51
高速动车	始G7109	南京	上海虹桥	-	9:55
直达特快	过Z254	西安	上海	9:53	10:00
高速动车	始G7007	南京	上海	-	10:00
城际动车	始C3768	南京	南通	-	10:00
直达特快	过Z174	哈尔滨西	上海	9:59	10:06
快速	过K1158	成都	上海	9:36	10:12
高速动车	始G7047	南京	上海	-	10:12
高速动车	终G7036	上海	南京	10:14	-
快速	过K2665	临汾	苏州	10:08	10:18
动车组	终D5422	启东	南京	10:23	-
高速动车	始G7161	南京	上海虹桥	-	10:24
特快	过T118	兰州	上海	10:14	10:25
高速动车	始G7111	南京	上海虹桥	-	10:29
