列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	始D3239	南京南	厦门北	-	6:14
高速动车	始G7037	南京南	上海	-	6:40
高速动车	始G7129	南京南	上海虹桥	-	6:48
高速动车	始G7625	南京南	温州南	-	6:50
高速动车	始G1667	南京南	厦门北	-	6:57
动车组	始D5641	南京南	芜湖	-	7:00
高速动车	始G1509	南京南	三明	-	7:00
高速动车	始G7043	南京南	上海	-	7:12
高速动车	始G7505	南京南	宁波	-	7:13
动车组	始D2373	南京南	成都东	-	7:16
高速动车	过G204	宜兴	北京南	7:10	7:16
高速动车	始G7641	南京南	苍南	-	7:17
高速动车	始G7103	南京南	上海虹桥	-	7:19
高速动车	始G7643	南京南	丽水	-	7:22
高速动车	始G1113	南京南	广州南	-	7:24
高速动车	过G7274	芜湖	上海	7:19	7:24
高速动车	始G1505	南京南	南宁东	-	7:27
动车组	终D5646	马鞍山东	南京南	7:30	-
高速动车	始G7349	南京南	温州南	-	7:30
高速动车	过G1786	上海虹桥	武汉	7:29	7:34
高速动车	过G456	上海虹桥	荣成	7:32	7:34
高速动车	始G1379	南京南	昆明南	-	7:36
高速动车	始G1377	南京南	昆明南	-	7:39
高速动车	过G1970	上海虹桥	兰州西	7:37	7:39
高速动车	始G7393	南京南	上海虹桥	-	7:43
高速动车	过G1802	上海虹桥	郑州东	7:42	7:44
高速动车	过G102	上海虹桥	北京南	7:46	7:48
高速动车	过G7434	合肥南	温州南	7:44	7:48
动车组	始D3295	南京南	龙岩	-	7:51
高速动车	过G7072	上海	安庆	7:50	7:54
高速动车	过G104	上海虹桥	北京南	7:59	8:02
高速动车	始G1886	南京南	重庆西	-	8:07
高速动车	过G3180	上海虹桥	兰州西	8:04	8:07
高速动车	过G7612	合肥南	苍南	8:04	8:07
高速动车	过G7228	芜湖	上海	8:06	8:10
高速动车	始G7711	南京南	宣城	-	8:10
高速动车	过G7665	徐州东	温州南	8:07	8:11
高速动车	过G6	上海	北京南	8:11	8:13
高速动车	始G7507	南京南	宁波	-	8:16
高速动车	终G7422	宣城	南京南	8:17	-
动车组	终D5648	合肥南	南京南	8:19	-
高速动车	始G1503	南京南	南宁东	-	8:25
高速动车	过G222	上海	青岛北	8:23	8:25
高速动车	过G1661	蚌埠南	龙岩	8:24	8:30
高速动车	过G1772	上海虹桥	长沙南	8:29	8:32
高速动车	过G34	杭州东	北京南	8:30	8:33
高速动车	过G7258	合肥南	上海	8:31	8:34
高速动车	过G7076	上海	安庆	8:34	8:36
动车组	过D352	上海虹桥	成都东	8:30	8:37
高速动车	过G106	上海虹桥	北京南	8:34	8:37
高速动车	始G1603	南京南	深圳北	-	8:40
高速动车	过G1862	杭州东	太原南	8:38	8:41
动车组	过D2254	宜兴	成都东	8:34	8:42
动车组	终D5642	芜湖	南京南	8:45	-
高速动车	过G7589	徐州东	宁波	8:34	8:46
高速动车	过G7611	徐州东	宁波	8:40	8:46
高速动车	始G1545	南京南	南宁东	-	8:47
高速动车	过G1974	上海虹桥	重庆西	8:47	8:49
动车组	过D636	上海虹桥	成都东	8:46	8:52
高速动车	始G7581	南京南	温州南	-	8:52
高速动车	始G1539	南京南	昆明南	-	8:57
高速动车	过G7627	徐州东	苍南	8:49	8:57
高速动车	过G20	杭州东	北京南	8:56	8:58
高速动车	过G7262	巢湖东	上海	8:54	8:58
高速动车	始G7423	南京南	宣城	-	8:58
高速动车	过G7150	安庆	上海虹桥	8:57	9:01
高速动车	过G1665	徐州东	南昌西	8:54	9:02
高速动车	过G598	上海虹桥	汉口	8:58	9:02
高速动车	过G8	上海虹桥	北京南	9:00	9:02
高速动车	过G108	上海虹桥	北京南	9:04	9:06
动车组	始D5601	南京南	安庆	-	9:07
高速动车	过G3230	上海虹桥	十堰东	9:02	9:07
高速动车	过G7289	徐州东	上海	9:02	9:07
高速动车	过G3110	杭州	郑州东	9:06	9:12
高速动车	过G110	嘉兴南	北京南	9:14	9:16
动车组	过D3072	上海南	重庆北	9:10	9:17
高速动车	过G7170	池州	上海虹桥	9:14	9:17
高速动车	过G120	上海虹桥	北京南	9:18	9:21
高速动车	过G2668	杭州东	烟台	9:22	9:25
高速动车	过G7599	徐州东	苍南	9:23	9:26
高速动车	过G7458	合肥南	千岛湖	9:21	9:27
高速动车	过G1232	上海虹桥	丹东	9:25	9:30
高速动车	始G579	南京南	长沙南	-	9:32
高速动车	过G7185	亳州南	上海虹桥	9:26	9:32
高速动车	过G112	上海虹桥	北京南	9:29	9:35
高速动车	过G1952	嘉兴南	运城北	9:34	9:37
高速动车	过G7294	淮北	上海	9:34	9:37
高速动车	过G7477	阜阳西	丽水	9:31	9:38
高速动车	过G7594	安庆	温州南	9:36	9:41
高速动车	过G7787	界首南	上海虹桥	9:36	9:41
高速动车	过G7080	上海	安庆	9:42	9:45
高速动车	过G360	上海虹桥	西安北	9:44	9:46
高速动车	过G114	上海虹桥	北京南	9:48	9:50
动车组	过D2198	汉口	宁波	9:46	9:51
动车组	过D2222	杭州东	成都东	9:47	9:52
