列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	过G2340	南宁	福州	6:16	6:19
动车组	始D8301	南宁东	北海	-	6:48
动车组	始D8303	南宁东	北海	-	7:05
动车组	始D1782	南宁东	成都东	-	7:06
动车组	始D3933	南宁东	大理	-	7:13
动车组	始D3603	南宁东	广州南	-	7:21
高速动车	始G2066	南宁东	济南东	-	7:26
动车组	始D8361	南宁东	百色	-	7:30
动车组	过D8305	南宁	北海	7:27	7:35
动车组	始D3605	南宁东	广州南	-	7:36
动车组	过D8202	南宁	桂林	7:36	7:39
动车组	始D3607	南宁东	广州南	-	7:43
高速动车	始G1546	南宁东	南京南	-	7:44
动车组	过D3937	柳州	大理	7:45	7:48
动车组	始D3609	南宁东	广州南	-	7:55
动车组	始D8307	南宁东	北海	-	7:57
动车组	始D8341	南宁东	防城港北	-	8:13
动车组	始D8492	南宁东	三江南	-	8:18
动车组	终D8436	贵港	南宁东	8:19	-
快速	过K9322	南宁	博白	8:15	8:21
动车组	始D3613	南宁东	广州南	-	8:21
高速动车	始G422	南宁东	北京西	-	8:23
高速动车	始G2911	南宁东	深圳北	-	8:33
高速动车	始G2344	南宁东	宁波	-	8:36
高速动车	始G2856	南宁东	西安北	-	8:41
动车组	过D8251	柳州	北海	8:24	8:45
动车组	始D3617	南宁东	广州南	-	8:49
动车组	过D8204	南宁	桂林	8:55	8:58
动车组	始D201	南宁东	广州南	-	9:00
高速动车	始G424	南宁东	石家庄	-	9:04
动车组	始D8309	南宁东	北海	-	9:04
高速动车	始G1502	南宁东	上海虹桥	-	9:13
动车组	始D3619	南宁东	广州南	-	9:22
动车组	始D1786	南宁东	成都东	-	9:24
动车组	始D8268	南宁东	贺州	-	9:29
动车组	终D8376	玉林	南宁东	9:31	-
动车组	过D3941	桂林北	丽江	9:27	9:31
动车组	始D3621	南宁东	广州南	-	9:35
动车组	过D8253	柳州	北海	9:16	9:36
动车组	始D3679	南宁东	广州	-	9:44
动车组	始D8379	南宁东	陆川	-	9:50
动车组	过D3708	北海	广州南	9:36	9:55
动车组	过D3784	百色	广州南	9:57	10:01
动车组	过D8451	桂林北	防城港北	9:46	10:06
高速动车	始G1504	南宁东	南京南	-	10:08
动车组	过D3944	北海	大理	10:08	10:10
动车组	始D8381	南宁东	玉林	-	10:12
动车组	过D3788	百色	广州南	10:14	10:17
动车组	过D8432	梧州南	北海	10:06	10:26
动车组	过D3802	广州南	大理	10:23	10:27
动车组	终D8382	陆川	南宁东	10:35	-
动车组	过D8401	桂林北	北海	10:17	10:38
动车组	过D8461	桂林北	百色	10:33	10:39
动车组	过D1780	北海	绵阳	10:35	10:41
高速动车	终G2912	深圳北	南宁东	10:43	-
动车组	过D3704	北海	广州南	10:23	10:45
动车组	过D8402	北海	桂林	10:47	10:52
动车组	终D8344	防城港北	南宁东	10:55	-
动车组	始D8383	南宁东	玉林	-	10:56
动车组	过D8462	百色	柳州	10:53	10:57
动车组	终D8201	桂林北	南宁东	11:00	-
动车组	终D3602	广州南	南宁东	11:01	-
高速动车	始G1506	南宁东	南京南	-	11:02
动车组	过D3712	北海	广州南	10:42	11:02
动车组	过D8403	桂林北	北海	10:46	11:05
动车组	过D3949	桂林北	大理	11:05	11:08
直达特快	过Z6	南宁	北京西	11:05	11:11
动车组	过D3810	广州南	大理	11:07	11:13
高速动车	始G417	南宁东	福田	-	11:14
动车组	始D8345	南宁东	防城港北	-	11:19
动车组	过D3792	百色	广州南	11:16	11:19
动车组	终D3604	广州南	南宁东	11:19	-
动车组	终D3606	广州南	南宁东	11:24	-
动车组	始D3623	南宁东	广州南	-	11:27
动车组	始D3625	南宁东	广州南	-	11:38
高速动车	过G530	北海	北京西	11:42	11:46
动车组	始D3627	南宁东	广州南	-	11:48
动车组	终D202	广州南	南宁东	11:51	-
高速动车	始G2913	南宁东	深圳北	-	11:53
动车组	始D8206	南宁东	桂林北	-	11:55
动车组	过D3804	昆明南	广州南	12:01	12:04
动车组	过D8404	北海	桂林	12:03	12:07
动车组	终D3608	珠海	南宁东	12:10	-
动车组	始D203	南宁东	广州南	-	12:13
动车组	终D8262	贺州	南宁东	12:18	-
动车组	过D3818	广州南	大理	12:20	12:22
动车组	过D3706	广州南	北海	12:05	12:23
