列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K1586	温州	武昌	23:57	0:06
快速	过K1556	上海	南宁	23:46	0:11
动车组	过D728	深圳	北京西	0:12	0:20
快速	过K352	成都	上海南	0:20	0:29
直达特快	过Z332	深圳东	成都东	0:19	0:42
快速	过K742	郑州	厦门北	0:40	0:48
快速	过K491	济南	昆明	0:59	1:20
快速	过K1284	济南	深圳东	1:08	1:30
快速	过K1310	西宁	深圳东	1:25	1:36
特快	过T156	汉口	广州东	1:19	1:42
快速	过K30	福州	洛阳	1:32	1:48
快速	过K304	连云港东	广州	1:37	1:55
快速	过K253	上海南	荆门	1:56	2:11
快速	过K254	荆门	上海南	2:09	2:17
快速	过K94	南通	深圳东	2:03	2:23
快速	过K351	上海南	成都	2:13	2:25
快速	过K1282	深圳东	济南	2:22	2:39
快速	过K1670	温州	九江	5:16	5:26
快速	过K116	深圳	九江	5:22	5:32
快速	终K1220	宁波	南昌	5:34	-
快速	过K92	深圳东	南通	5:28	5:51
快速	过K800	汕头	武昌	5:50	6:07
快速	终K1328	苏州	南昌	6:25	-
快速	过K1256	温州	成都东	6:14	6:25
快速	终K287	上海南	南昌	6:27	-
快速	过K782	上海	萍乡	6:10	6:30
快速	过K1020	深圳东	九江	6:06	6:31
特快	终T172	广州东	南昌	6:49	-
动车组	始D6262	南昌	婺源	-	6:53
快速	终K442	广州东	南昌	6:56	-
快速	过K1453	北京西	赣州	6:38	6:59
快速	终K1278	包头	南昌	7:08	-
特快	终T167	北京西	南昌	7:15	-
高速动车	始G1382	南昌	上海虹桥	-	7:23
快速	始K8722	南昌	玉山	-	7:30
动车组	终D737	北京西	南昌	7:34	-
快速	过K677	徐州	广州东	7:26	7:36
动车组	始D6501	南昌	福州	-	7:47
动车组	终D6341	九江	南昌	7:58	-
高速动车	始G1492	南昌	南京南	-	8:01
高速动车	始G5314	南昌	福州	-	8:08
高速动车	始G5035	南昌	赣州西	-	8:19
快速	始K8730	南昌	景德镇	-	8:31
动车组	始D2236	南昌	成都东	-	8:40
快速	过K1192	南宁	南京	8:50	9:02
动车组	过D6525	九江	厦门	9:02	9:07
高速动车	终G5003	上饶	南昌	9:08	-
动车组	始D6266	南昌	南昌	-	9:10
快速	终K614	连云港东	南昌	9:24	-
快速	始K1665	南昌	广州东	-	9:25
快速	过K876	昆明	烟台	9:00	9:34
高速动车	始G9805	南昌	赣州西	-	9:54
高速动车	终G9808	赣州西	南昌	9:56	-
高速动车	过G1581	九江	常州北	9:54	10:00
快速	过K728	哈尔滨西	昆明	9:45	10:07
动车组	始D6254	南昌	景德镇北	-	10:13
快速	过K568	齐齐哈尔	东莞东	10:03	10:22
快速	终K8732	萍乡	南昌	10:27	-
动车组	过D6505	九江	福州	10:25	10:30
特快	终T145	北京	南昌	10:35	-
动车组	终D6251	景德镇北	南昌	10:41	-
特快	过T396	青岛	深圳	10:19	10:43
快速	始K1276	南昌	包头	-	10:48
直达特快	过Z386	三亚	长春	10:41	10:56
动车组	始D6348	南昌	九江	-	11:14
快速	过K244	厦门北	西安	10:56	11:20
动车组	始D6561	南昌	厦门	-	11:25
快速	过K1138	南宁	青岛	11:03	11:26
快速	过K571	北京西	厦门北	11:06	11:31
快速	过K1258	成都东	温州	10:51	11:37
动车组	终D6292	吉安	南昌	11:56	-
快速	始K787	南昌	成都东	-	12:00
快速	终K8713	玉山	南昌	12:05	-
