列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K1052	青岛北	温州	1:57	2:15
快速	过K892	杭州	大同	1:54	2:20
特快	过T238	重庆西	昆山	2:13	2:28
快速	过K1071	北京西	宿松	1:50	2:32
特快	过T328	郑州	宁波	2:20	2:40
快速	过K614	连云港东	南昌	2:27	2:41
快速	过K8564	宁波	亳州	2:30	2:49
快速	过K166	宁波	洛阳	2:37	3:00
快速	过K1109	北京西	黄山	2:45	3:00
快速	过K656	杭州	呼和浩特	2:52	3:15
快速	过K1396	温州	太原	3:10	3:25
快速	过K1108	南阳	上海南	3:12	3:32
快速	过K8500	宁波	阜阳	3:30	3:43
快速	过K1238	温州	郑州	3:37	3:50
快速	过K675	广州东	徐州	4:10	4:23
快速	过K1263	石家庄	杭州	4:08	4:23
快速	过K1438	宁波	平顶山	4:17	4:31
快速	终K1562	南宁	合肥	4:59	-
快速	过K608	西安	杭州	4:43	5:01
快速	过K468	西安	宁波	4:50	5:08
特快	终T219	广州东	合肥	5:36	-
快速	过K1158	成都	上海	5:28	5:46
快速	过K168	洛阳	宁波	5:49	6:07
快速	过K1154	重庆西	杭州	6:10	6:32
快速	过K891	大同	杭州	6:17	6:40
快速	始K1561	合肥	南宁	-	6:41
特快	终T35	北京	合肥	7:30	-
快速	过K2275	新乡	杭州	7:06	7:30
快速	过K8362	上海	阜阳	7:11	7:33
直达特快	终Z225	北京	合肥	7:40	-
快速	过K308	温州	兰州	7:32	7:45
高速动车	过G7262	巢湖东	上海	7:46	8:03
高速动车	过G1741	徐州东	长沙南	8:02	8:17
快速	始K8422	合肥	淮北	-	8:34
高速动车	过G7185	亳州南	上海虹桥	8:32	8:35
高速动车	过G7477	阜阳西	丽水	8:37	8:40
高速动车	过G7787	界首南	上海虹桥	8:42	8:45
快速	始K8360	合肥	淮北	-	8:48
高速动车	过G7221	阜阳西	上海	8:55	9:00
高速动车	过G7681	阜阳西	温州南	9:00	9:06
高速动车	过G266	六安	北京南	8:48	9:07
高速动车	过G1763	周口东	上海虹桥	9:05	9:11
高速动车	过G3180	上海虹桥	兰州西	9:04	9:12
快速	终K1030	东莞东	合肥	9:22	-
高速动车	过G7412	淮北	六安	9:10	9:25
快速	过K8412	芜湖	连云港东	9:26	9:41
高速动车	过G7755	亳州南	杭州东	9:39	9:43
快速	终K8527	芜湖	合肥	9:45	-
高速动车	过G7181	亳州南	上海虹桥	9:58	10:04
高速动车	过G3110	杭州	郑州东	10:04	10:08
高速动车	过G3105	新乡东	杭州东	10:17	10:20
高速动车	过G1952	嘉兴南	运城北	10:29	10:36
高速动车	过G1801	郑州东	上海虹桥	10:36	10:41
快速	始K8598	合肥	淮北	-	10:45
动车组	过D5591	阜阳西	上海	10:49	10:53
高速动车	过G7268	上海	淮南南	10:59	11:05
快速	始K1029	合肥	东莞东	-	11:25
高速动车	过G7669	亳州南	温州南	11:30	11:33
快速	终K8452	宿松	合肥	11:48	-
高速动车	过G1746	长沙南	淮南南	11:42	12:03
高速动车	过G261	北京南	六安	11:43	12:07
快速	始K8451	合肥	宿松	-	12:13
高速动车	过G3164	上海虹桥	兰州西	12:11	12:17
快速	过K655	呼和浩特	杭州	12:04	12:24
高速动车	过G7372	江山	界首南	12:26	12:30
高速动车	过G2807	石家庄	宁波	12:24	12:30
快速	过K596	乌鲁木齐	杭州	12:28	12:43
特快	终T244	齐齐哈尔	合肥	12:55	-
快速	过K92	深圳东	南通	12:17	12:57
快速	过K1398	太原	温州	12:41	13:02
高速动车	过G7571	淮南南	平阳	13:06	13:10
高速动车	过G7796	温州南	阜阳西	13:12	13:15
高速动车	过G2811	石家庄	上海虹桥	13:22	13:26
快速	过K1050	温州	青岛北	13:32	13:53
快速	终K8418	连云港东	合肥	13:57	-
特快	始T221	合肥	广州东	-	14:00
高速动车	过G1748	广州南	蚌埠南	13:45	14:00
快速	过K2908	西安	温州	13:50	14:04
快速	过K392	杭州	西宁	13:56	14:11
高速动车	过G7751	亳州南	杭州东	14:09	14:15
快速	终K8409	淮北	合肥	14:17	-
高速动车	过G7572	平阳	淮南南	14:12	14:20
高速动车	过G3154	西安北	上海虹桥	14:21	14:26
高速动车	过G3152	上海虹桥	西安北	14:28	14:34
高速动车	过G1956	上海虹桥	太原南	14:40	14:44
高速动车	过G3254	南阳东	上海虹桥	14:41	14:51
快速	终K8414	连云港东	合肥	15:04	-
高速动车	过G7756	杭州东	亳州南	15:04	15:08
快速	始K8586	合肥	淮北	-	15:14
高速动车	过G1958	太原南	上海虹桥	15:11	15:18
高速动车	过G7182	上海虹桥	界首南	15:51	15:55
快速	始K8596	合肥	淮北	-	16:00
高速动车	过G7267	淮南南	上海	16:04	16:12
高速动车	过G7164	上海虹桥	亳州南	16:09	16:15
快速	始K8525	合肥	芜湖	-	16:16
高速动车	过G7795	阜阳西	温州南	16:19	16:26
高速动车	过G2808	宁波	石家庄	16:24	16:30
高速动车	过G1747	蚌埠南	广州南	16:24	16:42
高速动车	过G3252	上海虹桥	南阳东	16:50	16:53
高速动车	过G1742	长沙南	徐州东	16:34	16:58
高速动车	过G3166	兰州西	上海虹桥	17:07	17:12
高速动车	过G7276	上海	阜阳西	17:08	17:13
快速	过K1264	杭州	石家庄	17:01	17:18
高速动车	过G7186	上海虹桥	亳州南	17:16	17:18
特快	始T242	合肥	齐齐哈尔	-	17:26
高速动车	过G7478	丽水	阜阳西	17:32	17:35
快速	过K606	杭州	西安	17:38	18:00
特快	始T36	合肥	北京	-	18:20
高速动车	过G3106	杭州东	新乡东	18:27	18:34
快速	过K594	杭州	乌鲁木齐	18:09	18:35
特快	过T236	昆山	重庆西	18:18	18:42
高速动车	过G7686	温州南	阜阳西	18:41	18:45
高速动车	过G2812	上海虹桥	石家庄	18:46	18:50
