列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K7333	大连	延吉	5:18	5:33
高速动车	始G8004	吉林	大连	-	6:10
城际动车	过C1001	长春	延吉西	6:18	6:22
城际动车	始C1202	吉林	长春	-	6:26
普快	始4343	吉林	图们北	-	6:33
城际动车	过C1003	长春	珲春	7:06	7:09
直达特快	终Z117	北京	吉林	7:24	-
城际动车	过C1005	长春西	延吉西	7:23	7:26
动车组	始D126	吉林	哈尔滨西	-	7:29
城际动车	过C1007	长春	延吉西	7:34	7:39
普快	始4341	吉林	山河屯	-	7:43
城际动车	过C1002	延吉西	长春	7:42	7:45
城际动车	终C1203	长春西	吉林	7:53	-
城际动车	过C1240	蛟河西	长春	7:52	7:56
快速	过K336	宁波	长春	7:33	8:01
高速动车	始G238	吉林	北京南	-	8:02
城际动车	终C1243	长春	吉林	8:02	-
城际动车	始C1206	吉林	长春	-	8:18
城际动车	过C1205	长春	蛟河西	8:23	8:25
快速	过K215	北京	延吉	8:20	8:30
城际动车	过C1009	长春西	珲春	8:34	8:37
动车组	终D132	哈尔滨西	吉林	8:44	-
高速动车	始G8008	吉林	大连北	-	8:48
高速动车	过G8128	珲春	大连	8:59	9:02
动车组	始D138	吉林	牡丹江	-	9:09
高速动车	终G8033	沈阳北	吉林	9:21	-
高速动车	过G1266	延吉西	青岛北	9:30	9:33
城际动车	过C1208	蛟河西	长春	9:37	9:40
高速动车	始G1234	吉林	上海虹桥	-	9:47
城际动车	过C1011	长春	延吉西	9:46	9:49
城际动车	终C1241	长春	吉林	9:57	-
快速	始K1572	吉林	重庆西	-	9:58
高速动车	过G8078	延吉西	丹东	9:59	10:02
城际动车	过C1013	长春	珲春	10:10	10:13
城际动车	终C1249	长春西	吉林	10:17	-
动车组	始D74	吉林	北京	-	10:20
城际动车	过C1045	长春西	延吉西	10:29	10:32
城际动车	终C1209	长春	吉林	10:42	-
高速动车	始G240	吉林	北京南	-	10:47
城际动车	始C1212	吉林	长春	-	11:00
城际动车	过C1015	长春	珲春	11:04	11:07
城际动车	过C1042	珲春	长春	11:05	11:08
高速动车	终G8103	东港北	吉林	11:15	-
动车组	过D118	延吉西	哈尔滨西	11:20	11:24
动车组	过D112	齐齐哈尔南	珲春	11:28	11:32
高速动车	终G8003	大连北	吉林	11:34	-
城际动车	过C1006	延吉西	长春	11:39	11:42
城际动车	终C1211	长春	吉林	11:45	-
城际动车	始C1252	吉林	长春	-	12:01
高速动车	过G8125	大连北	珲春	12:00	12:03
动车组	终D124	哈尔滨西	吉林	12:11	-
高速动车	始G8108	吉林	丹东	-	12:14
城际动车	过C1008	珲春	长春	12:22	12:25
高速动车	始G8022	吉林	大连	-	12:36
城际动车	终C1213	长春	吉林	12:37	-
动车组	始D130	吉林	齐齐哈尔南	-	12:57
城际动车	过C1043	长春	珲春	12:58	13:01
城际动车	终C1215	长春	吉林	13:15	-
城际动车	始C1216	吉林	长春	-	13:19
城际动车	过C1017	长春	延吉西	13:28	13:31
快速	始K1986	吉林	南通	-	13:33
高速动车	终G8007	大连	吉林	13:39	-
城际动车	始C1218	吉林	长春	-	13:45
快速	终K1574	重庆西	吉林	13:48	-
城际动车	过C1012	珲春	长春	13:56	14:00
城际动车	终C1217	长春	吉林	14:03	-
高速动车	始G8016	吉林	大连北	-	14:06
快速	始K1056	吉林	青岛北	-	14:19
城际动车	过C1010	延吉西	长春西	14:17	14:20
城际动车	始C1220	吉林	长春	-	14:27
城际动车	过C1019	长春	延吉西	14:24	14:27
高速动车	终G8009	大连北	吉林	14:35	-
动车组	过D21	北京	珲春	14:48	14:52
高速动车	终G383	北京南	吉林	14:55	-
高速动车	始G8018	吉林	大连	-	14:58
城际动车	过C1219	长春	蛟河西	15:07	15:10
动车组	过D22	珲春	北京	15:12	15:15
高速动车	终G8011	大连	吉林	15:22	-
普快	终4344	图们北	吉林	15:31	-
城际动车	过C1046	延吉西	长春	15:29	15:33
城际动车	终C1221	长春	吉林	15:35	-
高速动车	始G8020	吉林	大连北	-	15:45
城际动车	过C1023	长春	珲春	15:48	15:51
高速动车	始G384	吉林	北京南	-	16:02
快速	终K1984	南通	吉林	16:04	-
动车组	过D116	哈尔滨西	延吉西	16:06	16:09
城际动车	过C1020	珲春	长春	16:07	16:10
高速动车	终G8013	大连北	吉林	16:19	-
城际动车	始C1224	吉林	长春	-	16:21
城际动车	过C1222	蛟河西	长春	16:29	16:32
城际动车	终C1223	长春	吉林	16:38	-
高速动车	过G1268	青岛北	延吉西	16:48	16:51
普快	终4342	山河屯	吉林	16:51	-
城际动车	始C1226	吉林	长春	-	16:57
城际动车	过C1021	长春西	延吉西	17:06	17:09
高速动车	始G8024	吉林	大连北	-	17:18
城际动车	过C1016	延吉西	长春	17:23	17:28
城际动车	过C1047	长春	延吉西	17:29	17:33
动车组	过D114	珲春	齐齐哈尔南	17:33	17:37
高速动车	终G8015	大连北	吉林	17:39	-
快速	过K216	延吉	北京	17:37	17:47
动车组	终D136	牡丹江	吉林	17:49	-
高速动车	过G8076	丹东	延吉西	18:06	18:09
高速动车	过G8126	珲春	大连北	18:12	18:16
城际动车	过C1025	长春	延吉西	18:14	18:19
城际动车	终C1227	长春	吉林	18:25	-
城际动车	过C1018	延吉西	长春	18:24	18:27
城际动车	过C1041	长春	延吉西	18:35	18:38
动车组	始D134	吉林	佳木斯	-	18:44
城际动车	过C1040	珲春	长春	18:47	18:50
高速动车	过G8127	大连	珲春	18:48	18:51
城际动车	始C1230	吉林	长春	-	18:59
城际动车	终C1229	长春	吉林	19:01	-
快速	过K335	长春	宁波	18:44	19:12
高速动车	终G8017	大连	吉林	19:19	-
城际动车	始C1232	吉林	长春	-	19:31
高速动车	始G8032	吉林	沈阳北	-	19:41
城际动车	过C1022	珲春	长春西	20:07	20:10
城际动车	过C1027	长春	延吉西	20:13	20:16
高速动车	终G8106	丹东	吉林	20:18	-
高速动车	终G237	北京南	吉林	20:26	-
高速动车	终G8019	大连北	吉林	20:32	-
快速	终K1054	青岛北	吉林	20:39	-
高速动车	终G1236	上海虹桥	吉林	20:54	-
城际动车	过C1026	珲春	长春西	21:00	21:03
城际动车	终C1233	长春	吉林	21:09	-
快速	过K7334	延吉	大连	21:03	21:21
直达特快	始Z118	吉林	北京	-	21:30
动车组	终D73	北京	吉林	21:34	-
城际动车	过C1048	延吉西	长春西	21:39	21:42
动车组	终D128	齐齐哈尔南	吉林	21:45	-
城际动车	过C1028	延吉西	长春	22:03	22:07
高速动车	终G239	北京南	吉林	22:42	-
