列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K895	赤峰南	包头	5:05	5:25
特快	过T4201	锡林浩特	包头	5:57	6:07
普快	终2636	兰州西	呼和浩特	6:14	-
快速	终K7922	锡林浩特	呼和浩特	6:17	-
动车组	过D6751	呼和浩特东	包头	6:27	6:29
快速	过K573	北京西	东胜西	6:27	6:42
快速	终K1674	西安	呼和浩特	6:57	-
快速	过K600	广州	包头	7:21	7:29
动车组	过D6770	包头	乌兰察布	7:28	7:31
快速	始K7909	呼和浩特	乌海西	-	7:54
快速	终K89	北京西	呼和浩特	7:55	-
动车组	过D6961	呼和浩特东	鄂尔多斯	8:09	8:11
快速	终K7912	额济纳	呼和浩特	8:18	-
高速动车	过G2482	包头	北京北	8:28	8:33
动车组	过D6753	呼和浩特东	包头	8:41	8:43
直达特快	过Z284	包头	杭州	8:48	8:56
动车组	过D6967	兴和北	鄂尔多斯	8:53	8:56
快速	始K655	呼和浩特	杭州	-	9:00
快速	终K692	昆明	呼和浩特	9:13	-
动车组	过D6752	包头	呼和浩特东	9:15	9:18
高速动车	过G2484	包头	清河	9:32	9:37
普客	始6856	呼和浩特	二连	-	9:42
动车组	过D6968	鄂尔多斯	乌兰察布	9:48	9:51
动车组	过D6769	乌兰察布	包头	9:59	10:01
快速	终K656	杭州	呼和浩特	10:02	-
动车组	过D6755	呼和浩特东	包头	10:11	10:13
直达特快	始Z267	呼和浩特	上海	-	10:15
快速	始K7905	呼和浩特	乌海西	-	10:36
快速	终K2013	乌兰浩特	呼和浩特	10:39	-
直达特快	过Z338	包头	南宁	10:28	10:43
高速动车	过G2481	北京北	包头	11:02	11:07
动车组	过D6754	包头	呼和浩特东	11:39	11:42
普客	过6056	包头	大同	11:28	11:51
快速	过K620	包头	大同	11:58	12:06
动车组	过D6771	乌兰察布	包头	12:15	12:17
直达特快	过Z352	包头	青岛	12:12	12:22
特快	始T6307	呼和浩特	乌海西	-	12:27
快速	始K7920	呼和浩特	锡林浩特	-	12:30
动车组	过D6962	鄂尔多斯	呼和浩特东	12:27	12:30
动车组	过D6756	包头	呼和浩特东	12:40	12:43
动车组	过D6757	呼和浩特东	包头	12:43	12:45
动车组	过D6758	包头	呼和浩特东	12:58	13:01
动车组	过D6970	鄂尔多斯	兴和北	13:16	13:19
动车组	过D6759	呼和浩特东	包头	13:21	13:24
直达特快	终Z312	西宁	呼和浩特	13:30	-
动车组	过D6761	呼和浩特东	包头	13:35	13:37
直达特快	过Z350	青岛	包头	13:12	13:42
快速	始K7907	呼和浩特	东胜西	-	13:52
快速	过K196	成都	呼和浩特东	13:56	14:04
普客	过6055	大同	包头	13:57	14:10
高速动车	过G2486	包头	北京北	14:16	14:21
动车组	过D6763	呼和浩特东	包头	14:30	14:34
直达特快	始Z6543	呼和浩特	临河	-	14:46
快速	终K7908	东胜西	呼和浩特	14:55	-
快速	过K1382	包头	哈尔滨西	14:39	14:56
动车组	过D6772	包头	乌兰察布	14:56	14:59
快速	过K1566	包头	大连	14:47	15:10
高速动车	过G2485	清河	包头	15:16	15:21
动车组	过D6760	包头	呼和浩特东	15:32	15:35
普快	始2635	呼和浩特	兰州西	-	15:54
快速	终K7910	乌海西	呼和浩特	16:00	-
动车组	过D6762	包头	呼和浩特东	16:02	16:05
动车组	过D6773	兴和北	包头	16:15	16:17
动车组	过D6963	呼和浩特东	鄂尔多斯	16:26	16:28
动车组	过D6764	包头	呼和浩特东	16:29	16:31
特快	终T6308	乌海西	呼和浩特	16:57	-
动车组	过D6965	呼和浩特东	鄂尔多斯	16:57	17:00
动车组	过D6765	呼和浩特东	包头	17:10	17:13
直达特快	始Z311	呼和浩特	西宁	-	17:16
动车组	过D6774	包头	乌兰察布	17:16	17:19
快速	过K7918	锡林浩特	包头	17:28	17:42
快速	始K2014	呼和浩特	乌兰浩特	-	17:42
动车组	过D6775	乌兰察布	包头	17:59	18:02
快速	始K691	呼和浩特	昆明	-	18:04
直达特快	终Z268	上海	呼和浩特	18:24	-
快速	过K896	包头	赤峰南	18:16	18:25
高速动车	过G2487	北京北	包头	18:22	18:27
快速	过K1276	南昌	包头	18:22	18:34
普客	终6858	二连	呼和浩特	18:43	-
快速	过K598	包头	广州	18:50	18:58
高速动车	过G2490	包头	北京北	18:55	19:00
快速	过K1384	哈尔滨西	包头	18:57	19:05
动车组	过D6776	包头	兴和北	19:15	19:18
快速	始K7911	呼和浩特	额济纳	-	19:20
动车组	过D6969	乌兰察布	鄂尔多斯	19:32	19:35
快速	终K7906	乌海西	呼和浩特	19:49	-
高速动车	过G2489	北京北	包头	20:07	20:12
动车组	过D6766	包头	呼和浩特东	20:11	20:15
快速	过K619	大同	包头	20:06	20:26
动车组	过D6964	鄂尔多斯	呼和浩特东	20:34	20:37
直达特快	过Z282	杭州	包头	20:41	20:49
动车组	过D6768	包头	呼和浩特东	20:50	20:53
快速	过K7916	包头	锡林浩特	20:49	20:58
动车组	过D6966	鄂尔多斯	呼和浩特东	21:06	21:10
直达特快	过Z336	南宁	包头	20:49	21:11
普快	终4654	二连	呼和浩特	21:23	-
动车组	过D6767	呼和浩特东	包头	21:34	21:36
直达特快	终Z6544	临河	呼和浩特	21:42	-
