列车类型	车次	始发站	终到站	到站时间	发车时间
直达特快	过Z180	乌鲁木齐	北京西	0:19	0:40
快速	过K886	兰州西	天津	0:46	1:07
特快	过T4201	锡林浩特	包头	5:35	5:43
快速	过K7922	锡林浩特	呼和浩特	5:55	6:01
快速	过K573	北京西	东胜西	6:03	6:13
动车组	始D6778	呼和浩特东	兴和北	-	6:17
动车组	始D6751	呼和浩特东	包头	-	6:18
直达特快	过Z179	北京西	乌鲁木齐	6:12	6:22
快速	过K41	北京	敦煌	6:35	6:55
高速动车	始G2402	呼和浩特东	清河	-	7:04
快速	过K600	广州	包头	6:52	7:07
动车组	始D2798	呼和浩特东	太原南	-	7:09
高速动车	始G2404	呼和浩特东	清河	-	7:17
快速	过K89	北京西	呼和浩特	7:33	7:41
动车组	过D6770	包头	乌兰察布	7:40	7:45
高速动车	始G2406	呼和浩特东	清河	-	7:54
高速动车	始G2408	呼和浩特东	北京北	-	8:00
动车组	始D6961	呼和浩特东	鄂尔多斯	-	8:00
动车组	始D6753	呼和浩特东	包头	-	8:32
动车组	过D6967	兴和北	鄂尔多斯	8:39	8:44
直达特快	过Z284	包头	杭州	9:08	9:26
动车组	终D6752	包头	呼和浩特东	9:27	-
快速	过K888	天津	兰州西	9:08	9:28
快速	过K43	敦煌	北京	9:15	9:48
动车组	过D6769	乌兰察布	包头	9:45	9:50
高速动车	终G2403	北京北	呼和浩特东	10:01	-
动车组	始D6755	呼和浩特东	包头	-	10:02
普客	过6856	呼和浩特	二连	9:54	10:02
动车组	过D6968	鄂尔多斯	乌兰察布	10:00	10:08
普快	过2464	临汾	包头	9:51	10:11
高速动车	终G2407	北京北	呼和浩特东	10:13	-
高速动车	始G2412	呼和浩特东	清河	-	10:38
高速动车	始G2414	呼和浩特东	清河	-	10:55
高速动车	始G2416	呼和浩特东	清河	-	11:08
特快	过T302	长春	乌鲁木齐	11:04	11:14
高速动车	过G2483	清河	包头	11:38	11:43
动车组	终D6754	包头	呼和浩特东	11:51	-
高速动车	终G2409	北京北	呼和浩特东	11:55	-
动车组	过D6771	乌兰察布	包头	12:01	12:06
高速动车	始G2418	呼和浩特东	北京北	-	12:22
动车组	始D6757	呼和浩特东	包头	-	12:34
快速	过K55	大连	包头	12:15	12:36
动车组	终D6962	鄂尔多斯	呼和浩特东	12:39	-
高速动车	终G2411	清河	呼和浩特东	12:44	-
快速	过K7920	呼和浩特	锡林浩特	12:42	12:50
动车组	终D6756	包头	呼和浩特东	12:52	-
高速动车	终G2413	清河	呼和浩特东	12:57	-
动车组	终D6758	包头	呼和浩特东	13:10	-
动车组	始D6759	呼和浩特东	包头	-	13:12
高速动车	始G2420	呼和浩特东	清河	-	13:20
动车组	始D6761	呼和浩特东	包头	-	13:26
动车组	过D6970	鄂尔多斯	兴和北	13:28	13:33
高速动车	终G2415	北京北	呼和浩特东	13:44	-
高速动车	终G2417	清河	呼和浩特东	13:52	-
高速动车	始G2422	呼和浩特东	清河	-	13:54
动车组	终D2792	太原南	呼和浩特东	13:58	-
高速动车	终G2419	北京北	呼和浩特东	14:04	-
高速动车	始G2424	呼和浩特东	北京北	-	14:06
快速	终K196	成都	呼和浩特东	14:16	-
动车组	始D2794	呼和浩特东	太原南	-	14:18
动车组	始D6763	呼和浩特东	包头	-	14:21
高速动车	始G2426	呼和浩特东	清河	-	14:41
高速动车	终G2421	清河	呼和浩特东	14:45	-
高速动车	始G2428	呼和浩特东	清河	-	14:54
高速动车	终G2423	清河	呼和浩特东	15:03	-
动车组	过D6772	包头	乌兰察布	15:07	15:13
高速动车	过G2488	包头	清河	15:14	15:19
快速	过K996	海拉尔	成都	15:12	15:32
高速动车	始G2430	呼和浩特东	清河	-	15:43
动车组	终D6760	包头	呼和浩特东	15:44	-
高速动车	终G2425	清河	呼和浩特东	16:06	-
动车组	过D6773	兴和北	包头	15:59	16:06
动车组	终D6762	包头	呼和浩特东	16:14	-
动车组	始D6963	呼和浩特东	鄂尔多斯	-	16:17
高速动车	始G2432	呼和浩特东	北京北	-	16:20
动车组	终D6764	包头	呼和浩特东	16:40	-
高速动车	终G2429	清河	呼和浩特东	16:41	-
高速动车	始G2434	呼和浩特东	清河	-	16:46
动车组	始D6965	呼和浩特东	鄂尔多斯	-	16:48
动车组	始D6765	呼和浩特东	包头	-	17:01
高速动车	始G2436	呼和浩特东	清河	-	17:09
特快	过T304	乌鲁木齐	长春	16:58	17:11
快速	过K7918	锡林浩特	包头	16:48	17:14
动车组	过D6774	包头	乌兰察布	17:28	17:33
动车组	终D2796	太原南	呼和浩特东	17:40	-
动车组	过D6775	乌兰察布	包头	17:45	17:50
高速动车	始G2438	呼和浩特东	清河	-	17:52
直达特快	过Z184	临河	深圳东	18:00	18:08
