列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K1452	牡丹江	日照	1:35	1:50
特快	过T297	北京	牡丹江	2:01	2:11
特快	过T261	大连	鸡西	2:11	2:22
快速	过K7156	虎林	齐齐哈尔	4:40	4:52
快速	终K7032	黑河	哈尔滨	5:04	-
快速	终K7040	漠河	哈尔滨	5:50	-
动车组	过D7901	哈尔滨西	大庆西	5:52	5:54
快速	始K7229	哈尔滨	绥化	-	6:05
快速	终K7034	黑河	哈尔滨	6:10	-
动车组	过D8501	哈尔滨西	牡丹江	6:12	6:14
特快	过T17	北京	牡丹江	6:02	6:15
普客	始6247	哈尔滨	亚布力南	-	6:20
特快	过T129	大连	齐齐哈尔	6:09	6:24
动车组	过D7801	哈尔滨西	佳木斯	6:22	6:24
特快	过T47	北京	齐齐哈尔	6:18	6:33
普客	始6253	哈尔滨	绥化	-	6:37
快速	终K7066	抚远	哈尔滨	6:43	-
快速	过K7092	满洲里	哈尔滨东	6:33	6:44
快速	过K570	东莞东	齐齐哈尔	6:40	6:53
动车组	过D7803	哈尔滨西	佳木斯	7:03	7:10
动车组	过D6902	齐齐哈尔南	哈尔滨西	7:08	7:10
动车组	始D6901	哈尔滨	齐齐哈尔	-	7:12
动车组	始D8503	哈尔滨	绥芬河	-	7:20
动车组	过D8502	牡丹江	哈尔滨西	7:20	7:22
直达特快	终Z15	北京	哈尔滨	7:25	-
快速	始K7131	哈尔滨	佳木斯	-	7:25
特快	始T184	哈尔滨	汉口	-	7:30
动车组	过D7805	哈尔滨西	佳木斯	7:33	7:35
动车组	过D6904	齐齐哈尔	哈尔滨西	7:31	7:35
动车组	终D7802	佳木斯	哈尔滨	7:42	-
普客	始6282	哈尔滨	五常	-	7:42
动车组	终D6906	齐齐哈尔南	哈尔滨	7:45	-
动车组	过D8505	哈尔滨西	牡丹江	7:44	7:46
快速	过K928	海拉尔	郑州	7:35	7:50
快速	过K7251	双城堡	哈尔滨东	7:47	7:57
动车组	过D8507	哈尔滨西	牡丹江	8:02	8:04
动车组	始D7903	哈尔滨	大庆西	-	8:05
动车组	始D7807	哈尔滨	佳木斯	-	8:05
快速	过K552	温州	牡丹江	8:08	8:18
动车组	过D6903	哈尔滨西	齐齐哈尔	8:18	8:20
快速	终K7098	海拉尔	哈尔滨	8:25	-
动车组	终D7902	大庆西	哈尔滨	8:34	-
动车组	终D7804	佳木斯	哈尔滨	8:40	-
动车组	终D8504	牡丹江	哈尔滨	8:44	-
快速	终K546	成都	哈尔滨	8:46	-
动车组	终D7806	佳木斯	哈尔滨	8:55	-
动车组	始D6905	哈尔滨	齐齐哈尔	-	8:56
快速	始K7127	哈尔滨	伊春	-	8:58
高速动车	过G766	齐齐哈尔南	大连北	8:57	9:00
动车组	始D7809	哈尔滨	佳木斯	-	9:09
动车组	过D112	齐齐哈尔南	珲春	9:09	9:11
动车组	过D7905	哈尔滨西	大庆西	9:09	9:12
动车组	过D7811	哈尔滨西	佳木斯	9:21	9:23
动车组	始D8509	哈尔滨	牡丹江	-	9:25
快速	终K1526	邯郸	哈尔滨	9:26	-
快速	始K1528	哈尔滨	邯郸	-	9:32
动车组	终D6908	齐齐哈尔	哈尔滨	9:41	-
动车组	过D8506	绥芬河	哈尔滨西	9:47	9:50
快速	过K980	齐齐哈尔	西宁	9:37	9:52
动车组	始D7813	哈尔滨	佳木斯	-	9:55
动车组	始D6907	哈尔滨	齐齐哈尔	-	10:01
普快	过2624	满洲里	大连	9:52	10:07
动车组	终D8508	牡丹江	哈尔滨	10:28	-
动车组	终D7808	佳木斯	哈尔滨	10:28	-
动车组	终D7904	大庆西	哈尔滨	10:29	-
动车组	过D7954	佳木斯	齐齐哈尔	10:11	10:31
动车组	过D8511	哈尔滨西	牡丹江	10:30	10:32
动车组	终D6910	齐齐哈尔	哈尔滨	10:42	-
动车组	始D7907	哈尔滨	大庆西	-	10:50
动车组	始D7815	哈尔滨	佳木斯	-	10:50
特快	过T244	齐齐哈尔	合肥	10:37	10:52
动车组	始D6909	哈尔滨	齐齐哈尔南	-	11:02
高速动车	过G703	大连北	大庆东	11:11	11:14
快速	过K1304	海拉尔	北京	11:10	11:20
动车组	终D7810	佳木斯	哈尔滨	11:30	-
动车组	过D138	吉林	牡丹江	11:28	11:30
高速动车	过G768	齐齐哈尔	大连北	11:30	11:35
动车组	过D7958	绥芬河	齐齐哈尔	11:16	11:36
动车组	始D8513	哈尔滨	绥芬河	-	11:47
高速动车	过G1238	佳木斯	石家庄	11:50	11:53
动车组	终D7906	大庆西	哈尔滨	11:56	-
高速动车	过G714	绥芬河	大连北	12:00	12:02
动车组	终D6912	齐齐哈尔	哈尔滨	12:13	-
动车组	始D7817	哈尔滨	佳木斯	-	12:15
动车组	始D6911	哈尔滨	齐齐哈尔	-	12:16
快速	终K7042	漠河	哈尔滨	12:30	-
动车组	始D6913	哈尔滨	齐齐哈尔	-	12:33
动车组	终D6914	齐齐哈尔	哈尔滨	12:37	-
高速动车	过G752	佳木斯	沈阳北	12:39	12:44
动车组	终D7812	佳木斯	哈尔滨	12:49	-
高速动车	过G394	牡丹江	北京南	12:49	12:52
快速	始K7103	哈尔滨	加格达奇	-	12:53
动车组	始D6915	哈尔滨	齐齐哈尔	-	12:56
普客	终6281	五常	哈尔滨	13:02	-
高速动车	过G770	大庆东	大连北	13:05	13:08
动车组	始D7819	哈尔滨	佳木斯	-	13:09
动车组	终D7908	大庆西	哈尔滨	13:19	-
高速动车	过G718	佳木斯	大连北	13:23	13:26
动车组	终D8510	牡丹江	哈尔滨	13:27	-
动车组	过D6916	齐齐哈尔	哈尔滨西	13:36	13:38
动车组	始D7909	哈尔滨	大庆西	-	13:40
快速	过K7108	嫩江	佳木斯	13:15	13:41
高速动车	过G754	佳木斯	沈阳北	13:48	13:50
动车组	终D8512	绥芬河	哈尔滨	13:52	-
动车组	终D7814	佳木斯	哈尔滨	14:10	-
高速动车	过G711	大连北	齐齐哈尔南	14:19	14:21
动车组	始D8517	哈尔滨	绥芬河	-	14:25
动车组	始D7821	哈尔滨	佳木斯	-	14:30
动车组	过D6917	哈尔滨西	齐齐哈尔	14:30	14:33
动车组	过D30	齐齐哈尔南	北京	14:28	14:33
动车组	终D8514	牡丹江	哈尔滨	14:42	-
普客	始6284	哈尔滨	五常	-	14:45
快速	过K554	牡丹江	温州	14:23	14:46
快速	过K978	西宁	齐齐哈尔	14:32	14:47
动车组	过D29	北京	齐齐哈尔南	14:57	14:59
快速	过K7106	佳木斯	嫩江	14:33	15:00
动车组	终D7816	佳木斯	哈尔滨	15:00	-
动车组	终D8516	牡丹江	哈尔滨	15:04	-
动车组	过D7952	齐齐哈尔	佳木斯	14:44	15:04
动车组	始D8519	哈尔滨	牡丹江	-	15:06
快速	终K7128	伊春	哈尔滨	15:11	-
动车组	过D7818	佳木斯	哈尔滨西	15:21	15:23
动车组	过D136	牡丹江	吉林	15:33	15:35
快速	始K7252	哈尔滨	双城堡	-	15:37
动车组	始D7823	哈尔滨	佳木斯	-	15:37
动车组	过D7956	齐齐哈尔	绥芬河	15:27	15:47
动车组	终D6918	齐齐哈尔	哈尔滨	15:50	-
动车组	始D7825	哈尔滨	佳木斯	-	15:52
快速	终K7132	佳木斯	哈尔滨	16:05	-
快速	过K940	牡丹江	石家庄	15:44	16:06
动车组	始D6919	哈尔滨	齐齐哈尔	-	16:10
动车组	终D7910	大庆西	哈尔滨	16:15	-
特快	过T242	合肥	齐齐哈尔	16:05	16:25
快速	过K938	石家庄	牡丹江	16:16	16:27
高速动车	过G786	齐齐哈尔南	丹东	16:27	16:29
动车组	过D7827	哈尔滨西	佳木斯	16:43	16:45
快速	始K7065	哈尔滨	抚远	-	16:48
快速	终K7230	绥化	哈尔滨	16:55	-
动车组	终D6920	齐齐哈尔	哈尔滨	16:55	-
动车组	始D6921	哈尔滨	齐齐哈尔南	-	16:56
高速动车	过G717	大连北	绥芬河	16:55	16:58
普快	过2052	牡丹江	大连	16:48	17:08
快速	始K7039	哈尔滨	漠河	-	17:15
动车组	终D7820	佳木斯	哈尔滨	17:16	-
快速	终K7104	加格达奇	哈尔滨	17:20	-
快速	过K294	济南	齐齐哈尔	17:12	17:23
动车组	终D6922	齐齐哈尔	哈尔滨	17:27	-
