列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K7154	齐齐哈尔	虎林	23:31	0:10
快速	过K1394	佳木斯	烟台	1:40	2:05
快速	过K2209	大连	黑河	2:46	3:06
快速	过K339	北京	佳木斯	3:31	4:10
快速	过K929	大连	佳木斯	4:38	5:03
快速	终K7026	七台河	哈尔滨东	5:16	-
快速	终K7206	宝清	哈尔滨东	5:48	-
快速	终K7092	满洲里	哈尔滨东	6:59	-
普客	过6253	哈尔滨	绥化	7:00	7:33
快速	过K7288	密山	绥化	7:17	7:52
快速	过K7232	绥化	双城堡	7:30	7:55
快速	终K7251	双城堡	哈尔滨东	8:24	-
快速	过K552	温州	牡丹江	8:33	8:40
快速	终K5128	绥化	哈尔滨东	8:50	-
快速	终K7264	抚远	哈尔滨东	9:00	-
快速	过K383	北京	齐齐哈尔	8:42	9:14
快速	终K7148	海伦	哈尔滨东	9:31	-
普客	终6231	五常	哈尔滨东	9:38	-
快速	始K5127	哈尔滨东	绥化	-	10:20
快速	始K7053	哈尔滨东	龙镇	-	14:12
快速	过K489	天津	佳木斯	14:19	14:43
快速	终K7054	龙镇	哈尔滨东	14:53	-
快速	始K7147	哈尔滨东	海伦	-	15:59
普客	终6233	五常	哈尔滨东	16:25	-
快速	过K340	佳木斯	北京	16:29	17:04
普客	始6232	哈尔滨东	五常	-	17:16
快速	过K7231	双城堡	绥化	17:13	17:38
快速	始K7093	哈尔滨东	海拉尔	-	17:57
快速	过K930	佳木斯	大连	18:25	18:49
快速	始K7025	哈尔滨东	七台河	-	19:00
快速	过K381	齐齐哈尔	北京	18:38	19:00
普客	过6254	绥化	哈尔滨	18:47	19:33
快速	始K7091	哈尔滨东	满洲里	-	19:38
快速	过K2210	黑河	大连	19:53	20:16
快速	过K7286	绥化	密山	20:05	20:30
快速	始K7205	哈尔滨东	宝清	-	21:03
快速	始K7263	哈尔滨东	抚远	-	21:20
快速	过K889	盘锦	佳木斯	21:45	22:28
快速	过K890	佳木斯	盘锦	22:02	22:44
