列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	始D7901	哈尔滨西	大庆西	-	5:42
动车组	始D8501	哈尔滨西	牡丹江	-	6:02
动车组	始D7801	哈尔滨西	佳木斯	-	6:12
快速	过K7092	满洲里	哈尔滨东	6:19	6:21
动车组	始D132	哈尔滨西	吉林	-	6:42
直达特快	终Z236	广州东	哈尔滨西	6:49	-
动车组	始D7803	哈尔滨西	佳木斯	-	6:53
动车组	始D28	哈尔滨西	北京	-	6:56
快速	终K7058	满洲里	哈尔滨西	7:02	-
高速动车	始G372	哈尔滨西	北京南	-	7:10
直达特快	终Z17	北京	哈尔滨西	7:12	-
高速动车	始G704	哈尔滨西	大连北	-	7:19
动车组	终D6902	齐齐哈尔南	哈尔滨西	7:20	-
动车组	始D7805	哈尔滨西	佳木斯	-	7:23
动车组	终D8502	牡丹江	哈尔滨西	7:32	-
动车组	始D8505	哈尔滨西	牡丹江	-	7:34
动车组	终D6904	齐齐哈尔	哈尔滨西	7:45	-
快速	终K974	襄阳	哈尔滨西	7:48	-
动车组	始D8507	哈尔滨西	牡丹江	-	7:52
高速动车	始G706	哈尔滨西	大连北	-	7:54
高速动车	始G1206	哈尔滨西	青岛北	-	8:06
动车组	始D6903	哈尔滨西	齐齐哈尔	-	8:08
快速	过K383	北京	齐齐哈尔	8:06	8:18
高速动车	始G1202	哈尔滨西	上海虹桥	-	8:21
高速动车	始G48	哈尔滨西	大连北	-	8:30
动车组	过D119	长春	牡丹江	8:41	8:45
高速动车	始G1276	哈尔滨西	武汉	-	8:57
动车组	始D7905	哈尔滨西	大庆西	-	8:59
高速动车	始G708	哈尔滨西	大连北	-	9:04
快速	过K349	北京	佳木斯	8:27	9:08
动车组	始D7811	哈尔滨西	佳木斯	-	9:11
高速动车	过G766	齐齐哈尔南	大连北	9:10	9:15
动车组	过D112	齐齐哈尔南	珲春	9:21	9:25
动车组	终D126	吉林	哈尔滨西	9:44	-
动车组	过D26	佳木斯	北京	9:46	9:51
动车组	终D8506	绥芬河	哈尔滨西	10:00	-
动车组	始D124	哈尔滨西	吉林	-	10:08
高速动车	终G701	大连北	哈尔滨西	10:15	-
动车组	始D8511	哈尔滨西	牡丹江	-	10:20
高速动车	始G710	哈尔滨西	大连北	-	10:35
动车组	始D102	哈尔滨西	北京	-	10:43
直达特快	始Z158	哈尔滨西	泰州	-	10:51
直达特快	始Z114	哈尔滨西	海口	-	11:10
高速动车	始G1262	哈尔滨西	郑州东	-	11:16
动车组	过D138	吉林	牡丹江	11:14	11:18
高速动车	过G771	大连北	佳木斯	11:31	11:37
高速动车	终G705	大连北	哈尔滨西	11:42	-
快速	过K1304	海拉尔	北京	11:29	11:57
高速动车	始G712	哈尔滨西	大连北	-	12:00
高速动车	终G47	大连北	哈尔滨西	12:06	-
高速动车	过G1238	佳木斯	石家庄	12:03	12:10
快速	过K7042	漠河	哈尔滨	12:03	12:18
高速动车	过G714	绥芬河	大连北	12:12	12:19
动车组	过D120	牡丹江	长春	12:25	12:31
高速动车	过G707	大连北	牡丹江	12:42	12:45
直达特快	始Z174	哈尔滨西	上海	-	12:52
高速动车	终G763	盘锦	哈尔滨西	13:01	-
直达特快	始Z368	哈尔滨西	南京	-	13:05
快速	始K704	哈尔滨西	青岛北	-	13:13
高速动车	过G788	丹东	齐齐哈尔南	13:14	13:17
高速动车	始G50	哈尔滨西	大连北	-	13:21
高速动车	始G764	哈尔滨西	盘锦	-	13:29
动车组	终D118	延吉西	哈尔滨西	13:31	-
高速动车	过G718	佳木斯	大连北	13:36	13:40
高速动车	终G709	大连北	哈尔滨西	13:42	-
动车组	终D6916	齐齐哈尔	哈尔滨西	13:48	-
动车组	始D116	哈尔滨西	延吉西	-	13:54
高速动车	过G754	佳木斯	沈阳北	14:00	14:06
高速动车	过G711	大连北	齐齐哈尔南	14:06	14:09
动车组	始D6917	哈尔滨西	齐齐哈尔	-	14:20
高速动车	终G373	天津西	哈尔滨西	14:23	-
高速动车	始G720	哈尔滨西	大连北	-	14:25
高速动车	终G381	北京南	哈尔滨西	14:31	-
快速	始K976	哈尔滨西	襄阳	-	14:39
动车组	过D30	齐齐哈尔南	北京	14:43	14:47
动车组	过D29	北京	齐齐哈尔南	14:42	14:47
快速	终K726	昆明	哈尔滨西	14:49	-
快速	始K1062	哈尔滨西	重庆	-	15:03
动车组	过D130	吉林	齐齐哈尔南	15:05	15:13
快速	终K1382	包头	哈尔滨西	15:19	-
直达特快	终Z176	杭州	哈尔滨西	15:31	-
动车组	终D7818	佳木斯	哈尔滨西	15:33	-
直达特快	终Z366	南京	哈尔滨西	15:40	-
高速动车	始G724	哈尔滨西	大连北	-	15:42
动车组	过D136	牡丹江	吉林	15:45	15:50
快速	过K938	石家庄	牡丹江	15:50	16:04
动车组	过D121	长春	佳木斯	16:00	16:04
高速动车	始G382	哈尔滨西	北京南	-	16:09
高速动车	始G732	哈尔滨西	大连北	-	16:23
动车组	始D7827	哈尔滨西	佳木斯	-	16:33
快速	始K1384	哈尔滨西	包头	-	16:40
高速动车	过G786	齐齐哈尔南	丹东	16:39	16:42
高速动车	过G717	大连北	绥芬河	16:42	16:45
高速动车	过G772	佳木斯	大连北	16:46	16:49
直达特快	终Z157	泰州	哈尔滨西	16:55	-
高速动车	终G1208	青岛北	哈尔滨西	16:56	-
