列车类型	车次	始发站	终到站	到站时间	发车时间
旅游	过Y669	敦煌	兰州	23:57	0:05
直达特快	过Z230	深圳	乌鲁木齐	0:09	0:17
直达特快	过Z70	乌鲁木齐	北京西	0:17	0:25
特快	过T270	喀什	西安	0:30	0:39
直达特快	过Z179	北京西	乌鲁木齐	0:47	1:02
快速	过K596	乌鲁木齐	杭州	1:10	1:18
快速	过K1584	乌鲁木齐	重庆	1:21	1:32
特快	过T295	兰州	乌鲁木齐	1:32	1:40
旅游	过Y667	兰州	敦煌	1:40	1:49
直达特快	过Z105	济南	乌鲁木齐	2:16	2:24
特快	过T296	乌鲁木齐	兰州	2:26	2:34
快速	过K9667	兰州	敦煌	2:53	3:01
直达特快	过Z106	乌鲁木齐	济南	3:05	3:13
直达特快	过Z232	乌鲁木齐	深圳	3:14	3:22
快速	过K41	北京	敦煌	3:30	3:38
直达特快	过Z304	上海	伊宁	3:51	3:59
特快	过T308	乌鲁木齐	福州	4:21	4:29
直达特快	过Z42	乌鲁木齐	上海	4:29	4:37
快速	过K594	杭州	乌鲁木齐	4:42	4:50
快速	过K1502	昆明	乌鲁木齐	5:15	5:23
快速	过K367	西安	敦煌	5:30	5:38
直达特快	过Z180	乌鲁木齐	北京西	5:34	5:44
直达特快	过Z136	乌鲁木齐	广州	5:47	5:57
直达特快	过Z294	乌鲁木齐	汉口	6:00	6:08
普客	始7529	嘉峪关	镜铁山	-	6:25
特快	终T6601	兰州	嘉峪关	6:26	-
直达特快	过Z358	伊宁	济南	6:30	6:45
直达特快	过Z69	北京西	乌鲁木齐	6:42	6:50
特快	过T198	乌鲁木齐	郑州	6:51	6:59
直达特快	过Z306	伊宁	上海	7:12	7:20
特快	过T302	长春	乌鲁木齐	7:32	7:40
特快	过T284	乌鲁木齐	南宁	7:33	7:52
快速	终K9661	兰州	嘉峪关	8:10	-
普客	始7535	嘉峪关	敦煌	-	8:15
普客	始7508	嘉峪关	武威南	-	11:08
快速	终K6671	陇南	嘉峪关	11:35	-
快速	过K1538	乌鲁木齐	南京	11:56	12:06
快速	过K1352	乌鲁木齐	连云港东	11:56	12:06
快速	过K43	敦煌	北京	12:06	12:14
快速	过K2060	乌鲁木齐	成都	12:18	12:26
快速	过K176	乌鲁木齐	郑州	13:03	13:11
快速	过K452	成都	喀什	13:09	13:17
快速	过K680	乌鲁木齐	重庆	13:16	13:24
快速	过K1504	乌鲁木齐	昆明	13:24	13:32
快速	过K454	喀什	成都	13:32	13:40
快速	终K9677	敦煌	嘉峪关	13:47	-
快速	过K544	伊宁	重庆	13:40	13:50
快速	过K679	重庆	乌鲁木齐	14:20	14:28
快速	过K369	敦煌	西安	14:17	14:30
快速	过K543	重庆	伊宁	14:55	15:03
特快	过T269	西安	喀什	15:10	15:18
直达特快	终Z6205	兰州	嘉峪关	15:20	-
直达特快	始Z6206	嘉峪关	兰州	-	15:55
快速	过K2058	成都	乌鲁木齐	17:29	17:44
普客	终7530	镜铁山	嘉峪关	19:32	-
特快	过T197	郑州	乌鲁木齐	19:41	19:51
特快	过T282	南宁	乌鲁木齐	19:56	20:06
快速	始K6672	嘉峪关	陇南	-	20:11
普客	终7507	武威南	嘉峪关	20:38	-
快速	始K9662	嘉峪关	兰州	-	20:49
直达特快	过Z292	汉口	乌鲁木齐	20:54	21:09
特快	过T304	乌鲁木齐	长春	21:13	21:21
普客	终7537	敦煌	嘉峪关	21:35	-
特快	始T6602	嘉峪关	兰州	-	22:30
直达特快	过Z138	广州	乌鲁木齐	22:36	22:51
特快	过T306	福州	乌鲁木齐	23:02	23:13
快速	过K9669	敦煌	兰州	23:17	23:34
直达特快	过Z40	上海	乌鲁木齐	23:28	23:36
