列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	过G8002	长春	大连北	6:38	6:39
高速动车	过G8004	吉林	大连	7:36	7:38
高速动车	过G8033	沈阳北	吉林	7:57	7:59
动车组	过D24	长春西	北京	8:17	8:19
高速动车	过G372	哈尔滨西	北京南	8:40	8:42
高速动车	过G704	哈尔滨西	大连北	8:50	8:52
高速动车	过G706	哈尔滨西	大连北	9:11	9:18
高速动车	过G1292	长春西	长沙南	9:23	9:24
高速动车	过G8001	大连北	长春	9:28	9:30
高速动车	过G1212	长春西	上海虹桥	9:28	9:35
高速动车	过G703	大连北	大庆东	9:36	9:38
高速动车	过G771	大连北	佳木斯	9:42	9:44
高速动车	过G8103	东港北	吉林	9:59	10:01
高速动车	过G8008	吉林	大连北	10:08	10:10
高速动车	过G8003	大连北	吉林	10:09	10:11
高速动车	过G8128	珲春	大连	10:27	10:28
高速动车	过G1276	哈尔滨西	武汉	10:36	10:38
高速动车	过G708	哈尔滨西	大连北	10:43	10:45
高速动车	过G766	齐齐哈尔南	大连北	10:50	10:52
高速动车	过G707	大连北	牡丹江	10:54	10:56
高速动车	过G1266	延吉西	青岛北	10:56	10:58
高速动车	过G1234	吉林	上海虹桥	11:03	11:05
高速动车	过G8010	长春	大连	11:16	11:18
高速动车	过G8078	延吉西	丹东	11:25	11:27
高速动车	过G763	盘锦	哈尔滨西	11:27	11:29
高速动车	过G788	丹东	齐齐哈尔南	11:33	11:35
动车组	过D74	吉林	北京	11:41	11:43
高速动车	过G709	大连北	哈尔滨西	12:07	12:09
高速动车	过G1256	长春西	上海虹桥	12:19	12:21
高速动车	过G8007	大连	吉林	12:21	12:22
高速动车	过G711	大连北	齐齐哈尔南	12:26	12:27
动车组	过D29	北京	齐齐哈尔南	12:41	12:43
高速动车	过G373	天津西	哈尔滨西	12:55	12:57
高速动车	过G8009	大连北	吉林	13:02	13:11
高速动车	过G768	齐齐哈尔	大连北	13:13	13:15
动车组	过D21	北京	珲春	13:20	13:22
高速动车	过G712	哈尔滨西	大连北	13:24	13:26
高速动车	过G714	绥芬河	大连北	13:49	13:51
高速动车	过G8011	大连	吉林	14:06	14:08
高速动车	过G770	大庆东	大连北	14:38	14:47
高速动车	过G8013	大连北	吉林	14:54	14:56
高速动车	过G764	哈尔滨西	盘锦	15:05	15:07
高速动车	过G717	大连北	绥芬河	15:15	15:17
高速动车	过G718	佳木斯	大连北	15:19	15:21
高速动车	过G1268	青岛北	延吉西	15:23	15:25
高速动车	过G8016	吉林	大连北	15:25	15:27
高速动车	过G754	佳木斯	沈阳北	15:38	15:40
高速动车	过G1240	石家庄	佳木斯	16:02	16:04
高速动车	过G8015	大连北	吉林	16:16	16:18
高速动车	过G753	沈阳北	佳木斯	16:30	16:32
动车组	过D22	珲春	北京	16:38	16:40
动车组	过D25	北京	佳木斯	16:43	16:56
高速动车	过G8020	吉林	大连北	17:02	17:04
高速动车	过G733	大连北	佳木斯	17:11	17:12
高速动车	过G8127	大连	珲春	17:23	17:25
高速动车	过G384	吉林	北京南	17:30	17:32
高速动车	过G382	哈尔滨西	北京南	17:48	17:50
高速动车	过G1264	郑州东	哈尔滨西	17:48	17:50
高速动车	过G8017	大连	吉林	17:55	17:57
高速动车	过G732	哈尔滨西	大连北	18:01	18:03
高速动车	过G786	齐齐哈尔南	丹东	18:08	18:10
高速动车	过G772	佳木斯	大连北	18:14	18:16
高速动车	过G725	大连北	哈尔滨西	18:32	18:33
高速动车	过G374	哈尔滨西	天津西	18:34	18:36
高速动车	过G8024	吉林	大连北	18:48	18:50
高速动车	过G8106	丹东	吉林	19:00	19:01
高速动车	过G716	牡丹江	大连北	19:01	19:03
高速动车	过G8019	大连北	吉林	19:06	19:17
高速动车	过G727	大连北	哈尔滨西	19:21	19:23
高速动车	过G1236	上海虹桥	吉林	19:32	19:33
高速动车	过G8126	珲春	大连北	19:37	19:39
高速动车	过G767	大连北	哈尔滨西	19:42	19:43
高速动车	过G722	齐齐哈尔南	大连北	19:53	19:55
高速动车	过G728	哈尔滨西	大连北	19:58	20:00
动车组	过D73	北京	吉林	20:14	20:15
高速动车	过G1204	上海虹桥	哈尔滨西	20:22	20:24
高速动车	过G1290	长沙南	长春西	20:28	20:30
高速动车	过G769	大连北	哈尔滨西	20:37	20:44
高速动车	过G729	大连北	哈尔滨西	20:54	20:56
高速动车	过G8032	吉林	沈阳北	20:58	21:00
高速动车	过G1214	上海虹桥	长春西	21:06	21:08
动车组	过D23	北京	长春西	21:27	21:40
高速动车	过G1258	上海虹桥	长春西	21:49	21:51
高速动车	过G731	大连北	哈尔滨西	21:55	21:57
