列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	过G8128	珲春	大连	6:58	6:59
普快	始4344	图们北	吉林	-	7:18
城际动车	过C1037	敦化	珲春	7:51	7:53
城际动车	过C1042	珲春	长春	8:58	8:59
城际动车	过C1003	长春	珲春	9:14	9:16
城际动车	过C1008	珲春	长春	10:21	10:22
城际动车	过C1009	长春西	珲春	10:35	10:37
城际动车	过C1015	长春	珲春	13:05	13:07
动车组	过D22	珲春	北京	13:07	13:08
动车组	过D112	齐齐哈尔南	珲春	13:37	13:39
普快	终4343	吉林	图们北	14:12	-
高速动车	过G8125	大连北	珲春	14:11	14:13
城际动车	过C1043	长春	珲春	15:12	15:14
动车组	过D114	珲春	齐齐哈尔南	15:25	15:27
高速动车	过G8126	珲春	大连北	16:04	16:06
城际动车	过C1040	珲春	长春	16:33	16:35
动车组	过D21	北京	珲春	16:57	16:59
城际动车	过C1023	长春	珲春	17:50	17:52
城际动车	过C1022	珲春	长春西	18:05	18:07
城际动车	过C1026	珲春	长春西	18:58	19:00
高速动车	过	大连	珲春	20:50	20:52
	本站为本次列车经过站				
	G8127				
