列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K90	呼和浩特	北京西	1:25	1:39
快速	过K573	北京西	东胜西	2:45	2:57
快速	过K574	东胜西	北京西	2:52	3:03
快速	过K41	北京	敦煌	2:58	3:10
直达特快	过Z179	北京西	乌鲁木齐	3:12	3:22
快速	过K396	乌海西	北京	3:23	3:31
快速	过K600	广州	包头	3:34	3:46
直达特快	过Z180	乌鲁木齐	北京西	3:43	3:55
快速	过K1278	包头	南昌	3:54	4:06
快速	过K89	北京西	呼和浩特	4:19	4:27
快速	过K886	兰州西	天津	4:52	5:04
普快	过2464	临汾	包头	4:34	5:13
快速	终K729	广州东	大同	5:29	-
快速	过K888	天津	兰州西	5:48	6:02
快速	始K7807	大同	运城	-	6:20
普快	终2602	秦皇岛	大同	6:37	-
普客	始8188	大同	柴沟堡	-	7:16
快速	始K1365	大同	武昌	-	7:50
普客	始6055	大同	包头	-	8:20
快速	始K7801	大同	太原	-	8:32
快速	过K55	大连	包头	8:59	9:09
直达特快	过Z350	青岛	包头	9:35	9:43
快速	始K891	大同	杭州	-	12:00
直达特快	过Z284	包头	杭州	12:27	12:39
快速	终K7804	太原	大同	13:16	-
快速	过K43	敦煌	北京	13:15	13:26
直达特快	始Z7805	大同	太原	-	14:00
直达特快	过Z338	包头	南宁	13:45	14:00
快速	始K731	大同	广州东	-	14:20
快速	过K1276	南昌	包头	14:16	14:28
快速	始K7803	大同	太原	-	14:35
快速	终K7802	太原	大同	15:11	-
快速	终K672	宝鸡	大同	15:27	-
普客	始8823	大同	宁武	-	15:32
直达特快	过Z352	包头	青岛	15:29	15:39
快速	终K620	包头	大同	15:45	-
快速	始K696	大同	北京	-	16:30
快速	始K619	大同	包头	-	16:45
普快	始4641	大同	朔州	-	16:50
快速	过K395	北京	乌海西	17:01	17:09
快速	始K671	大同	宝鸡	-	17:10
直达特快	过Z282	杭州	包头	17:08	17:17
直达特快	过Z182	深圳东	包头	17:25	17:33
直达特快	过Z336	南宁	包头	17:33	17:43
普客	终8824	宁武	大同	17:58	-
普客	终6056	包头	大同	18:03	-
普客	终8187	柴沟堡	大同	18:36	-
快速	终K7808	运城	大同	20:12	-
直达特快	终Z7806	太原	大同	20:45	-
快速	终K892	杭州	大同	21:05	-
直达特快	过Z184	临河	深圳东	21:00	21:12
普快	过2604	朔州	秦皇岛	21:35	21:59
普快	过2462	包头	临汾	21:40	22:05
快速	过K962	临汾	沈阳北	21:45	22:13
快速	过K56	包头	大连	22:20	22:27
快速	过K598	包头	广州	22:52	23:03
