列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	过D6902	齐齐哈尔南	哈尔滨西	6:18	6:20
动车组	过D7901	哈尔滨西	大庆西	6:49	6:51
动车组	过D6906	齐齐哈尔南	哈尔滨	6:50	6:52
动车组	过D7902	大庆西	哈尔滨	7:35	7:36
高速动车	过G766	齐齐哈尔南	大连北	8:00	8:02
动车组	过D6901	哈尔滨	齐齐哈尔	8:01	8:03
动车组	过D112	齐齐哈尔南	珲春	8:19	8:21
动车组	过D6908	齐齐哈尔	哈尔滨	8:50	8:52
动车组	过D6903	哈尔滨西	齐齐哈尔	9:14	9:16
动车组	过D6910	齐齐哈尔	哈尔滨	9:42	9:44
动车组	过D6905	哈尔滨	齐齐哈尔	9:49	9:51
动车组	过D7905	哈尔滨西	大庆西	10:13	10:15
动车组	过D6907	哈尔滨	齐齐哈尔	10:44	10:46
动车组	过D7906	大庆西	哈尔滨	10:57	10:58
动车组	过D6912	齐齐哈尔	哈尔滨	11:28	11:30
动车组	过D6909	哈尔滨	齐齐哈尔南	11:50	11:52
高速动车	终G703	大连北	大庆东	12:02	-
高速动车	始G770	大庆东	大连北	-	12:22
动车组	过D7958	绥芬河	齐齐哈尔	12:30	12:32
动车组	过D6916	齐齐哈尔	哈尔滨西	12:41	12:43
动车组	过D6913	哈尔滨	齐齐哈尔	13:26	13:28
动车组	过D30	齐齐哈尔南	北京	13:31	13:33
高速动车	过G788	丹东	齐齐哈尔南	14:06	14:08
动车组	过D7956	齐齐哈尔	绥芬河	14:27	14:29
动车组	过D7909	哈尔滨	大庆西	14:38	14:40
动车组	过D6918	齐齐哈尔	哈尔滨	14:56	14:57
动车组	过D7910	大庆西	哈尔滨	15:20	15:21
动车组	过D6917	哈尔滨西	齐齐哈尔	15:28	15:29
高速动车	过G786	齐齐哈尔南	丹东	15:42	15:44
动车组	过D29	北京	齐齐哈尔南	15:53	15:55
动车组	过D6920	齐齐哈尔	哈尔滨	16:00	16:02
动车组	过D6922	齐齐哈尔	哈尔滨	16:26	16:28
动车组	过D6919	哈尔滨	齐齐哈尔	17:09	17:11
动车组	过D6924	齐齐哈尔	哈尔滨	17:40	17:41
动车组	过D6921	哈尔滨	齐齐哈尔南	17:51	17:53
动车组	过D6923	哈尔滨	齐齐哈尔	18:28	18:30
动车组	过D6925	哈尔滨	齐齐哈尔	18:50	18:52
动车组	过D6928	齐齐哈尔南	哈尔滨西	19:45	19:47
动车组	过D6927	哈尔滨	齐齐哈尔	19:49	19:51
直达特快	过Z84	齐齐哈尔	北京	19:47	19:52
高速动车	过G765	大连北	齐齐哈尔南	21:11	21:13
