列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K928	海拉尔	郑州	5:38	5:41
动车组	过D6904	齐齐哈尔	哈尔滨西	6:25	6:27
快速	过K48	杭州	齐齐哈尔	6:06	6:35
动车组	过D6906	齐齐哈尔南	哈尔滨	6:38	6:40
动车组	终D7901	哈尔滨西	大庆西	7:01	-
动车组	始D7902	大庆西	哈尔滨	-	7:25
快速	过K980	齐齐哈尔	西宁	7:41	7:45
特快	过T47	北京	齐齐哈尔	8:02	8:05
动车组	过D112	齐齐哈尔南	珲春	8:07	8:09
动车组	过D6901	哈尔滨	齐齐哈尔	8:13	8:15
特快	过T129	大连	齐齐哈尔	8:14	8:17
特快	过T244	齐齐哈尔	合肥	8:43	8:48
动车组	终D7903	哈尔滨	大庆西	9:04	-
快速	过K1304	海拉尔	北京	9:02	9:10
动车组	始D7904	大庆西	哈尔滨	-	9:24
动车组	过D6903	哈尔滨西	齐齐哈尔	9:26	9:28
动车组	过D6910	齐齐哈尔	哈尔滨	9:30	9:32
动车组	过D6905	哈尔滨	齐齐哈尔	10:01	10:03
动车组	终D7905	哈尔滨西	大庆西	10:25	-
高速动车	过G768	齐齐哈尔	大连北	10:38	10:41
动车组	始D7906	大庆西	哈尔滨	-	10:47
动车组	过D6912	齐齐哈尔	哈尔滨	11:16	11:18
动车组	过D7954	佳木斯	齐齐哈尔	11:35	11:37
动车组	过D6914	齐齐哈尔	哈尔滨	11:46	11:48
动车组	终D7907	哈尔滨	大庆西	11:49	-
动车组	始D7908	大庆西	哈尔滨	-	12:24
动车组	过D6911	哈尔滨	齐齐哈尔	13:05	13:07
动车组	过D7952	齐齐哈尔	佳木斯	13:36	13:38
动车组	过D6913	哈尔滨	齐齐哈尔	13:38	13:40
动车组	过D6915	哈尔滨	齐齐哈尔	13:50	13:52
快速	过K1230	齐齐哈尔	大连	14:03	14:28
动车组	过D6918	齐齐哈尔	哈尔滨	14:44	14:46
动车组	终D7909	哈尔滨	大庆西	14:50	-
动车组	始D7910	大庆西	哈尔滨	-	15:10
高速动车	过G711	大连北	齐齐哈尔南	15:22	15:24
动车组	过D6917	哈尔滨西	齐齐哈尔	15:39	15:41
动车组	过D6920	齐齐哈尔	哈尔滨	15:48	15:50
动车组	过D6922	齐齐哈尔	哈尔滨	16:14	16:16
动车组	过D130	吉林	齐齐哈尔南	16:20	16:22
快速	过K978	西宁	齐齐哈尔	16:27	16:31
高速动车	过G722	齐齐哈尔南	大连北	16:57	16:59
动车组	过D6919	哈尔滨	齐齐哈尔	17:21	17:23
动车组	过D6924	齐齐哈尔	哈尔滨	17:28	17:30
动车组	过D6921	哈尔滨	齐齐哈尔南	18:03	18:05
快速	过K50	齐齐哈尔	杭州	17:43	18:08
特快	过T242	合肥	齐齐哈尔	18:13	18:20
动车组	过D128	齐齐哈尔南	吉林	18:18	18:20
动车组	过D6923	哈尔滨	齐齐哈尔	18:40	18:42
特快	过T130	齐齐哈尔	大连	18:53	18:56
动车组	过D6925	哈尔滨	齐齐哈尔	19:02	19:04
动车组	过D6928	齐齐哈尔南	哈尔滨西	19:33	19:35
快速	过K1303	北京	海拉尔	19:47	19:50
动车组	过D6927	哈尔滨	齐齐哈尔	20:01	20:03
特快	过T48	齐齐哈尔	北京	20:02	20:05
快速	过K926	郑州	海拉尔	20:10	20:15
快速	过K7093	哈尔滨东	海拉尔	20:39	20:42
动车组	过D114	珲春	齐齐哈尔南	21:02	21:04
