列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K8318	青岛	菏泽	0:07	0:19
快速	过K285	北京	烟台	0:54	1:11
快速	过K1292	太原	烟台	3:18	3:27
快速	过K1215	石家庄	青岛北	4:20	4:35
快速	过K884	太原	青岛北	5:00	5:07
直达特快	过Z352	包头	青岛	5:21	5:31
快速	过K412	威海	北京	5:40	5:53
快速	过K411	北京	威海	6:07	6:20
快速	过K1132	宝鸡	烟台	6:35	6:41
快速	过K286	烟台	北京	6:26	6:44
快速	过K1056	吉林	青岛北	9:49	9:59
快速	过K8316	菏泽	青岛	9:55	10:10
快速	过K704	哈尔滨西	青岛北	10:07	10:18
快速	过K958	白城	青岛北	10:27	10:34
快速	过K1198	襄阳	青岛北	10:42	10:52
快速	过K1285	银川	青岛北	11:26	11:36
快速	过K972	通化	青岛北	11:45	11:58
快速	过K1216	青岛北	石家庄	14:26	14:36
快速	过K970	青岛北	通化	14:44	15:03
快速	过K1286	青岛北	银川	17:02	17:14
直达特快	始Z9257	大明湖	东营	-	17:36
直达特快	过Z350	青岛	包头	17:36	17:45
快速	过K8280	淄博	济南	20:13	20:15
动车组	过D1624	威海	石家庄	20:16	20:21
快速	过K956	青岛北	白城	22:19	22:39
快速	过K702	青岛北	哈尔滨西	23:04	23:17
快速	过K1054	青岛北	吉林	23:16	23:36
快速	过K882	青岛北	太原	23:34	23:47
