列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	始G701	大连北	哈尔滨西	-	5:49
高速动车	过G8041	大连	沈阳	5:55	5:57
高速动车	始G8001	大连北	长春	-	6:24
高速动车	始G703	大连北	大庆东	-	6:45
动车组	过D7741	大连	沈阳	6:46	6:48
高速动车	始G771	大连北	佳木斯	-	6:50
高速动车	始G8003	大连北	吉林	-	7:00
高速动车	始G705	大连北	哈尔滨西	-	7:28
动车组	始D7711	大连北	丹东	-	7:28
高速动车	始G8125	大连北	珲春	-	7:33
高速动车	始G707	大连北	牡丹江	-	7:49
高速动车	始G2625	大连北	武汉	-	8:13
高速动车	始G47	大连北	哈尔滨西	-	8:30
动车组	始D7737	大连北	沈阳	-	8:32
高速动车	始G8005	大连北	长春西	-	8:36
高速动车	终G8070	沈阳北	大连北	8:50	-
高速动车	始G1251	大连北	上海虹桥	-	8:53
高速动车	始G9967	大连北	赤峰	-	8:59
高速动车	始G3721	大连北	承德南	-	8:59
高速动车	终G8068	沈阳	大连北	9:08	-
高速动车	始G709	大连北	哈尔滨西	-	9:16
动车组	始D31	大连北	北京	-	9:21
高速动车	终G8002	长春	大连北	9:35	-
高速动车	始G711	大连北	齐齐哈尔南	-	9:47
高速动车	始G377	大连北	北京南	-	10:06
高速动车	始G1293	大连北	西安北	-	10:17
高速动车	始G8009	大连北	吉林	-	10:23
高速动车	过G8004	吉林	大连	10:28	10:31
动车组	始D35	大连北	北京	-	10:36
高速动车	终G8189	辽宁朝阳	大连北	10:51	-
高速动车	终G8006	长春	大连北	11:00	-
高速动车	始G8183	大连北	牛河梁	-	11:14
高速动车	终G704	哈尔滨西	大连北	11:39	-
高速动车	始G8013	大连北	吉林	-	11:46
高速动车	终G48	哈尔滨西	大连北	12:06	-
高速动车	始G717	大连北	绥芬河	-	12:10
高速动车	终G706	哈尔滨西	大连北	12:20	-
高速动车	终G8248	赤峰	大连北	12:30	-
高速动车	始G719	大连北	哈尔滨西	-	12:40
动车组	终D7712	丹东	大连北	12:48	-
高速动车	始G8247	大连北	赤峰	-	13:00
高速动车	终G8008	吉林	大连北	13:01	-
动车组	终D45	北京	大连北	13:08	-
动车组	始D7713	大连北	丹东	-	13:19
高速动车	终G387	北京南	大连北	13:27	-
高速动车	始G49	大连北	哈尔滨西	-	13:30
高速动车	始G8015	大连北	吉林	-	13:38
高速动车	终G708	哈尔滨西	大连北	13:46	-
高速动车	终G766	齐齐哈尔南	大连北	14:00	-
高速动车	始G733	大连北	佳木斯	-	14:12
动车组	始D43	大连北	北京	-	14:38
高速动车	终G391	临沂北	大连北	14:46	-
高速动车	终G710	哈尔滨西	大连北	14:53	-
高速动车	始G389	大连北	临沂北	-	15:03
高速动车	始G725	大连北	哈尔滨西	-	15:35
高速动车	终G8012	长春西	大连北	15:43	-
高速动车	始G765	大连北	齐齐哈尔南	-	15:47
动车组	终D41	北京	大连北	15:55	-
高速动车	终G768	齐齐哈尔	大连北	16:01	-
高速动车	始G8019	大连北	吉林	-	16:05
动车组	终D7743	沈阳	大连北	16:05	-
高速动车	终G712	哈尔滨西	大连北	16:14	-
高速动车	终G714	绥芬河	大连北	16:29	-
动车组	始D7749	大连北	沈阳	-	16:33
高速动车	始G727	大连北	哈尔滨西	-	16:34
高速动车	始G767	大连北	哈尔滨西	-	16:43
动车组	始D39	大连北	北京	-	16:50
高速动车	终G50	哈尔滨西	大连北	16:59	-
高速动车	始G385	大连北	北京南	-	17:07
高速动车	终G770	大庆东	大连北	17:15	-
动车组	过D7751	沈阳	大连	17:16	17:18
高速动车	始G769	大连北	哈尔滨西	-	17:45
高速动车	始G729	大连北	哈尔滨西	-	17:52
高速动车	终G718	佳木斯	大连北	18:06	-
动车组	过D7753	大连	丹东	18:14	18:16
高速动车	终G8016	吉林	大连北	18:23	-
高速动车	终G8058	沈阳	大连北	18:35	-
高速动车	终G2626	武汉	大连北	18:41	-
高速动车	始G8023	大连北	长春	-	18:44
高速动车	终G9968	赤峰	大连北	18:47	-
高速动车	终G3723	承德南	大连北	18:47	-
高速动车	终G720	哈尔滨西	大连北	18:54	-
高速动车	始G731	大连北	哈尔滨西	-	19:03
高速动车	始G8187	大连北	辽宁朝阳	-	19:09
高速动车	始G8069	大连北	沈阳北	-	19:25
高速动车	终G8185	牛河梁	大连北	19:35	-
高速动车	终G8184	建平	大连北	19:35	-
高速动车	终G8020	吉林	大连北	19:53	-
高速动车	终G724	哈尔滨西	大连北	20:14	-
高速动车	终G379	北京南	大连北	20:39	-
动车组	过D7747	沈阳	大连	20:42	20:47
动车组	终D33	北京	大连北	20:56	-
高速动车	终G732	哈尔滨西	大连北	21:08	-
高速动车	终G772	佳木斯	大连北	21:14	-
高速动车	终G8024	吉林	大连北	21:33	-
高速动车	终G1252	上海虹桥	大连北	21:56	-
高速动车	终G716	牡丹江	大连北	22:02	-
动车组	终D37	北京	大连北	22:09	-
高速动车	终G730	哈尔滨西	大连北	22:17	-
高速动车	终G1294	西安北	大连北	22:26	-
高速动车	终G8126	珲春	大连北	22:32	-
高速动车	终G722	齐齐哈尔南	大连北	22:47	-
高速动车	终G728	哈尔滨西	大连北	22:53	-
