列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K306	兰州	温州	1:32	1:38
快速	过K228	兰州	广州	1:40	1:46
快速	过K134	深圳西	兰州	1:41	1:47
快速	过K1538	乌鲁木齐	南京	1:50	1:54
快速	过K1352	乌鲁木齐	连云港东	1:50	1:54
快速	过K390	西宁	杭州	2:19	2:25
快速	过K177	郑州	西宁	2:28	2:34
快速	过K1042	兰州	宁波	2:33	2:39
特快	过T269	西安	喀什	2:39	2:45
快速	过K176	乌鲁木齐	郑州	2:48	2:54
快速	过K1312	深圳东	西宁	3:31	3:37
快速	过K308	温州	兰州	3:38	3:46
快速	过K1310	西宁	深圳东	3:44	3:50
快速	过K226	广州	兰州	4:13	4:19
快速	过K1028	兰州	青岛北	4:47	4:55
直达特快	过Z274	西宁	青岛	5:30	5:36
快速	过K369	敦煌	西安	6:08	6:14
直达特快	过Z378	西宁	上海	6:18	6:29
直达特快	过Z376	上海	西宁	6:35	6:41
直达特快	过Z129	北京西	兰州	6:48	6:54
直达特快	过Z151	北京西	西宁	7:07	7:13
特快	过T197	郑州	乌鲁木齐	7:31	7:37
特快	过T282	南宁	乌鲁木齐	7:40	7:45
快速	过K175	商丘	乌鲁木齐	7:51	7:57
直达特快	过Z126	厦门北	兰州	8:01	8:07
快速	始K6657	天水	武威	-	8:14
快速	过K392	杭州	西宁	8:13	8:22
快速	过K1616	成都	银川	8:29	8:36
直达特快	过Z292	汉口	乌鲁木齐	8:37	8:43
特快	过T112	杭州	兰州	8:59	9:04
普客	过7504	陇西	张家川	9:25	9:38
直达特快	过Z272	青岛	西宁	10:36	10:42
特快	过T306	福州	乌鲁木齐	10:43	10:51
直达特快	过Z138	广州	乌鲁木齐	11:00	11:06
快速	过K1026	青岛北	兰州	11:45	11:51
特快	过T116	上海	兰州	11:54	12:00
直达特快	过Z40	上海	乌鲁木齐	12:01	12:09
直达特快	过Z230	深圳	乌鲁木齐	12:42	12:48
快速	过K420	兰州	扬州	13:08	13:14
直达特快	过Z216	上海	兰州	13:03	13:18
特快	过T355	长庆桥	兰州	13:26	13:32
特快	过T270	喀什	西安	13:37	13:43
直达特快	过Z105	济南	乌鲁木齐	14:15	14:21
直达特快	过Z106	乌鲁木齐	济南	14:54	15:01
直达特快	过Z232	乌鲁木齐	深圳	15:01	15:07
快速	过K594	杭州	乌鲁木齐	15:04	15:10
普客	过7503	张家川	陇西	15:16	15:22
特快	过T356	兰州	长庆桥	15:24	15:30
特快	过T118	兰州	上海	15:40	15:46
快速	过K1040	宁波	兰州	15:43	15:49
快速	过K596	乌鲁木齐	杭州	15:33	15:53
快速	过K367	西安	敦煌	16:04	16:10
快速	过K419	扬州	兰州	16:11	16:17
直达特快	过Z42	乌鲁木齐	上海	16:14	16:20
直达特快	过Z304	上海	伊宁	16:17	16:24
特快	过T308	乌鲁木齐	福州	16:49	16:55
直达特快	过Z136	乌鲁木齐	广州	17:56	18:04
直达特快	过Z294	乌鲁木齐	汉口	18:09	18:15
特快	过T114	兰州	杭州	18:19	18:25
快速	过K132	兰州	深圳西	18:26	18:33
直达特快	过Z218	兰州	上海	18:52	19:00
直达特快	过Z128	兰州	厦门北	19:01	19:07
直达特快	过Z306	伊宁	上海	19:14	19:20
特快	过T198	乌鲁木齐	郑州	20:00	20:06
快速	过K178	西宁	郑州	20:09	20:15
特快	过T284	乌鲁木齐	南宁	20:27	20:33
直达特快	过Z152	西宁	北京西	21:23	21:29
直达特快	过Z130	兰州	北京西	21:31	21:37
快速	过K1615	银川	成都	21:50	21:56
快速	终K6658	武威	天水	23:20	-
