列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	始D8925	天水南	兰州西	-	7:07
动车组	过D2686	兰州西	西安北	8:06	8:09
动车组	过D2680	兰州西	西安北	8:12	8:14
动车组	终D8920	兰州西	天水南	8:33	-
高速动车	过G2686	兰州西	威海	8:41	8:43
动车组	过D2649	西安北	西宁	8:41	8:44
动车组	始D8919	天水南	兰州西	-	9:08
高速动车	过G1904	兰州西	福州	9:06	9:10
动车组	过D2652	兰州西	西安北	9:11	9:15
动车组	过D2690	兰州西	西安北	9:20	9:22
高速动车	过G4298	兰州西	杭州东	9:25	9:27
动车组	过D2671	西安北	嘉峪关南	9:26	9:28
动车组	过D2701	西安北	乌鲁木齐	9:39	9:41
高速动车	过G834	兰州西	广州南	9:38	9:44
高速动车	过G1714	兰州西	天津西	9:46	9:49
高速动车	过G3166	兰州西	上海虹桥	9:52	9:55
动车组	过D2651	西安北	西宁	9:55	9:58
动车组	过D2654	兰州西	西安北	9:57	10:01
动车组	过D2566	兰州西	太原南	10:03	10:06
高速动车	过G642	兰州西	南昌西	10:09	10:11
高速动车	过G3186	兰州西	南昌西	10:25	10:28
高速动车	过G1840	兰州西	青岛北	10:29	10:32
动车组	过D2653	西安北	兰州西	10:23	10:32
动车组	过D2656	兰州西	西安北	10:33	10:37
动车组	过D2658	兰州西	西安北	10:37	10:40
动车组	过D2736	西宁	西安北	10:49	10:52
高速动车	过G2025	郑州东	兰州西	11:00	11:03
动车组	终D8912	兰州西	天水南	11:05	-
动车组	始D8913	天水南	中川机场	-	11:20
高速动车	过G430	兰州西	北京西	11:17	11:25
动车组	过D310	上海	兰州西	11:22	11:26
动车组	过D2688	西宁	西安北	11:31	11:36
高速动车	过G2096	兰州西	青岛北	11:47	11:53
动车组	过D2687	西安北	嘉峪关南	11:55	11:57
高速动车	过G846	兰州西	广州南	12:02	12:05
动车组	过D2679	西安北	兰州西	12:05	12:07
高速动车	过G1972	兰州西	上海虹桥	12:11	12:13
动车组	过D2737	西安北	敦煌	12:10	12:13
动车组	过D2570	西宁	太原南	12:21	12:24
高速动车	过G3182	兰州西	上海虹桥	12:33	12:35
高速动车	过G2021	郑州东	兰州西	12:49	12:53
动车组	过D2668	兰州西	西安北	12:54	12:56
动车组	过D2655	西安北	兰州西	13:16	13:18
动车组	过D2567	太原南	兰州西	13:22	13:24
高速动车	过G1876	兰州西	杭州东	13:27	13:31
动车组	过D2661	西安北	西宁	13:33	13:36
动车组	过D2662	兰州西	西安北	13:46	13:48
动车组	过D2657	西安北	兰州西	13:51	13:53
动车组	过D2682	张掖西	西安北	13:59	14:02
高速动车	过G1833	济南西	兰州西	14:18	14:20
高速动车	过G1834	兰州西	济南西	14:20	14:23
动车组	过D2659	西安北	兰州西	14:30	14:33
动车组	过D2650	西宁	西安北	14:35	14:37
动车组	过D2672	嘉峪关南	西安北	14:46	14:49
动车组	过D2689	西安北	西宁	14:48	14:51
动车组	过D2735	西安北	西宁	14:59	15:02
动车组	过D2692	西宁	西安北	15:03	15:05
高速动车	过G1970	上海虹桥	兰州西	15:08	15:11
动车组	过D2673	西安北	嘉峪关南	15:30	15:32
动车组	过D2678	兰州西	西安北	15:46	15:50
动车组	过D2696	嘉峪关南	西安北	15:53	15:55
高速动车	过G1874	杭州东	兰州西	16:01	16:05
动车组	过D2660	西宁	西安北	16:08	16:10
高速动车	过G2022	兰州西	郑州东	16:17	16:21
动车组	过D2568	兰州西	太原南	16:23	16:26
动车组	过D2664	兰州西	西安北	16:29	16:31
高速动车	过G640	南昌西	兰州西	16:33	16:36
高速动车	过G3180	上海虹桥	兰州西	16:42	16:46
动车组	过D2666	兰州西	西安北	16:50	16:53
动车组	过D2667	西安北	兰州西	16:56	16:59
动车组	终D8914	中川机场	天水南	17:04	-
动车组	过D2694	西宁	西安北	17:01	17:04
动车组	始D8915	天水南	兰州西	-	17:20
高速动车	过G1842	青岛北	兰州西	17:24	17:27
动车组	过D2739	敦煌	西安北	17:28	17:30
动车组	过D2695	西安北	西宁	17:37	17:40
高速动车	过G2026	兰州西	郑州东	17:39	17:42
高速动车	过G96	广州南	兰州西	18:01	18:05
动车组	过D2681	西安北	兰州西	18:08	18:11
动车组	过D2676	兰州西	西安北	18:13	18:16
高速动车	过G1713	天津西	兰州西	18:14	18:17
高速动车	过G429	北京西	兰州西	18:21	18:24
动车组	过D312	兰州西	上海	18:37	18:40
动车组	过D2697	西安北	西宁	18:54	18:57
动车组	过D2699	西安北	西宁	19:06	19:10
动车组	过D2674	嘉峪关南	西安北	19:08	19:12
动车组	过D2569	太原南	西宁	19:11	19:15
动车组	终D8924	兰州西	天水南	19:25	-
动车组	始D8923	天水南	兰州西	-	19:45
动车组	过D2677	西安北	兰州西	19:54	19:57
高速动车	过G3164	上海虹桥	兰州西	19:59	20:02
动车组	过D2693	西安北	兰州西	20:04	20:07
高速动车	过G1902	福州	兰州西	20:09	20:13
动车组	过D2565	太原南	兰州西	20:19	20:23
动车组	过D2663	西安北	兰州西	20:24	20:27
动车组	过D2670	西宁	西安北	20:27	20:29
高速动车	过G4296	杭州东	兰州西	20:29	20:34
高速动车	过G3184	南昌西	兰州西	20:52	20:55
动车组	过D2698	西宁	西安北	21:02	21:05
动车组	终D8922	兰州西	天水南	21:10	-
动车组	过D2665	西安北	兰州西	21:06	21:10
高速动车	过G2094	青岛北	兰州西	21:14	21:17
动车组	始D8921	天水南	兰州西	-	21:28
动车组	终D8916	兰州西	天水南	21:32	-
动车组	过D2691	西安北	兰州西	21:30	21:34
动车组	过D2708	乌鲁木齐	西安北	21:41	21:43
高速动车	过G2684	威海	兰州西	21:36	21:45
动车组	始D8917	天水南	兰州西	-	21:50
动车组	过D2675	西安北	兰州西	22:13	22:16
高速动车	过G844	广州南	兰州西	22:39	22:41
动车组	终D8918	兰州西	天水南	23:19	-
