列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K294	济南	齐齐哈尔	0:15	0:23
快速	过K928	海拉尔	郑州	0:19	0:27
快速	过K1303	北京	海拉尔	0:24	0:34
快速	过K2388	长春	南宁	0:29	0:36
直达特快	过Z194	沈阳北	太原	0:42	0:49
直达特快	过Z368	哈尔滨西	南京	0:48	0:55
直达特快	过Z102	长春	厦门北	1:07	1:15
直达特快	过Z174	哈尔滨西	上海	1:13	1:21
快速	过K1984	南通	吉林	1:21	1:32
普快	过1230	阜新南	上海	1:29	1:38
快速	过K1572	吉林	重庆西	1:38	1:45
快速	过K1450	日照	牡丹江	1:37	1:51
快速	过K128	长春	咸阳	1:45	1:53
直达特快	过Z386	三亚	长春	1:45	2:00
快速	过K980	齐齐哈尔	西宁	2:04	2:14
快速	过K1528	哈尔滨	邯郸	1:51	2:21
快速	过K926	郑州	海拉尔	2:21	2:32
特快	过T244	齐齐哈尔	合肥	2:32	2:41
快速	过K388	沈阳北	成都	2:40	2:47
快速	过K716	郑州	大连	2:41	2:50
直达特快	过Z384	长春	三亚	2:47	2:55
特快	过T369	大连	广州	2:54	3:01
快速	过K956	青岛北	白城	2:50	3:06
直达特快	过Z188	沈阳北	深圳	3:00	3:12
直达特快	过Z366	南京	哈尔滨西	3:03	3:13
直达特快	过Z192	太原	沈阳北	3:25	3:34
直达特快	过Z104	厦门北	长春	3:36	3:42
特快	过T242	合肥	齐齐哈尔	3:51	3:57
特快	过T182	汉口	哈尔滨	3:58	4:09
快速	过K702	青岛北	哈尔滨西	4:05	4:16
快速	过K1054	青岛北	吉林	4:16	4:26
快速	过K1986	吉林	南通	4:00	4:32
直达特快	过Z176	杭州	哈尔滨西	4:23	4:33
快速	过K520	太原	秦皇岛	4:30	4:48
特快	过T132	上海	大连	5:06	5:12
快速	过K1304	海拉尔	北京	5:05	5:13
快速	过K1056	吉林	青岛北	5:16	5:22
快速	过K1392	烟台	佳木斯	5:18	5:31
快速	过K704	哈尔滨西	青岛北	5:26	5:34
快速	过K1064	重庆	哈尔滨西	5:28	5:41
快速	过K866	运城	唐山	5:40	5:49
快速	终K258	成都	天津	5:50	-
快速	过K958	白城	青岛北	5:42	5:50
直达特快	过Z112	海口	哈尔滨西	5:57	6:03
快速	过K346	沈阳北	温州	5:54	6:04
城际动车	始C2002	天津	北京南	-	6:05
快速	终K330	洛阳	天津	6:14	-
快速	过K554	牡丹江	温州	6:06	6:14
城际动车	始C2202	天津	北京南	-	6:16
快速	始K7709	天津	石家庄北	-	6:20
城际动车	过C2551	北京南	滨海	6:32	6:36
城际动车	始C2004	天津	北京南	-	6:38
城际动车	过C2553	北京南	滨海	6:37	6:41
快速	过K972	通化	青岛北	6:13	6:41
城际动车	始C2204	天津	北京南	-	6:43
快速	过K28	丹东	北京	6:49	6:55
城际动车	终C2201	北京南	天津	6:59	-
普快	过2604	朔州	秦皇岛	6:52	7:01
快速	终K214	西安	天津	7:01	-
快速	始K5203	天津	潞城	-	7:01
城际动车	过C2552	滨海	北京南	7:00	7:04
城际动车	终C2001	北京南	天津	7:13	-
城际动车	始C2206	天津	北京南	-	7:20
城际动车	过C2555	北京南	滨海	7:18	7:22
城际动车	终C2003	北京南	天津	7:23	-
直达特快	过Z172	上海	哈尔滨西	7:22	7:27
城际动车	终C2005	北京南	天津	7:28	-
市郊动车	始S902	天津	蓟州北	-	7:29
城际动车	始C2006	天津	北京南	-	7:38
城际动车	始C2008	天津	北京南	-	7:48
城际动车	过C2557	北京南	滨海	7:47	7:51
城际动车	终C2007	北京南	天津	7:52	-
快速	过K976	哈尔滨西	襄阳	7:43	7:52
城际动车	过C2554	滨海	北京南	7:49	7:53
城际动车	终C2009	北京南	天津	7:57	-
直达特快	过Z238	哈尔滨西	广州东	7:50	7:58
高速动车	过G373	天津西	哈尔滨西	8:00	8:03
城际动车	始C2010	天津	北京南	-	8:05
城际动车	始C2012	天津	北京南	-	8:10
城际动车	终C2203	北京南	天津	8:20	-
城际动车	始C2208	天津	北京南	-	8:23
特快	过T122	长春	广州	8:01	8:24
高速动车	过G219	北京南	沈阳南	8:35	8:37
快速	过K1062	哈尔滨西	重庆	8:19	8:37
城际动车	过C2556	滨海	北京南	8:38	8:42
高速动车	过G381	北京南	哈尔滨西	8:40	8:42
城际动车	过C2559	北京南	滨海	8:40	8:44
城际动车	始C2014	天津	北京南	-	8:47
城际动车	终C2011	北京南	天津	8:50	-
城际动车	终C2013	北京南	天津	8:55	-
城际动车	过C2558	滨海	北京南	8:53	8:57
快速	过K2288	长春	昆明	8:34	8:57
高速动车	过G1704	秦皇岛	成都东	8:58	9:01
城际动车	始C2016	天津	北京南	-	9:09
城际动车	始C2018	天津	北京南	-	9:14
城际动车	过C2561	北京南	滨海	9:12	9:16
城际动车	终C2015	北京南	天津	9:17	-
快速	过K940	牡丹江	石家庄	8:57	9:20
市郊动车	始S904	天津	蓟州北	-	9:27
城际动车	终C2205	北京南	天津	9:29	-
城际动车	始C2020	天津	北京南	-	9:36
城际动车	过C2563	北京南	滨海	9:34	9:37
城际动车	始C2022	天津	北京南	-	9:46
城际动车	终C2017	北京南	天津	9:53	-
城际动车	过C2560	滨海	北京南	9:51	9:55
城际动车	终C2019	北京南	天津	9:58	-
城际动车	过C2565	北京南	滨海	10:06	10:10
快速	过K216	延吉	北京	10:02	10:10
城际动车	始C2210	天津	北京南	-	10:12
城际动车	过C2567	北京南	滨海	10:16	10:20
快速	始K5208	天津	邯郸	-	10:27
城际动车	终C2207	北京南	天津	10:28	-
城际动车	始C2024	天津	北京南	-	10:30
城际动车	过C2562	滨海	北京南	10:31	10:35
城际动车	终C2021	北京南	天津	10:38	-
快速	过K350	佳木斯	北京	10:30	10:42
城际动车	终C2023	北京南	天津	10:43	-
城际动车	终C2025	北京南	天津	10:48	-
高速动车	始G292	天津	长沙南	-	10:49
城际动车	始C2026	天津	北京南	-	10:50
城际动车	过C2564	滨海	北京南	10:52	10:56
特快	过T40	齐齐哈尔	北京	10:49	10:57
直达特快	终Z208	长沙	天津	11:00	-
城际动车	始C2028	天津	北京南	-	11:02
城际动车	始C2030	天津	北京南	-	11:08
城际动车	过C2569	北京南	滨海	11:06	11:09
城际动车	始C2212	天津	北京南	-	11:13
城际动车	过C2571	北京南	滨海	11:16	11:20
快速	过K335	长春	宁波	11:15	11:30
城际动车	终C2209	北京南	天津	11:33	-
城际动车	终C2027	北京南	天津	11:38	-
城际动车	过C2566	滨海	北京南	11:37	11:41
城际动车	终C2029	北京南	天津	11:51	-
直达特快	过Z178	哈尔滨西	杭州	11:45	11:53
城际动车	始C2032	天津	北京南	-	11:58
城际动车	始C2034	天津	北京南	-	12:03
快速	过K2046	西安	沈阳北	11:56	12:04
快速	过K548	哈尔滨	成都	11:34	12:04
城际动车	始C2036	天津	北京南	-	12:08
城际动车	终C2302	滨海	天津	12:09	-
城际动车	过C2573	北京南	滨海	12:10	12:14
城际动车	终C2031	北京南	天津	12:15	-
快速	过K188	上海	沈阳北	12:09	12:15
快速	过K50	齐齐哈尔	杭州	12:04	12:19
快速	过K1301	北京	满洲里	12:15	12:23
城际动车	过C2575	北京南	滨海	12:27	12:31
城际动车	终C2033	北京南	天津	12:32	-
城际动车	始C2038	天津	北京南	-	12:33
特快	始T252	天津	广州	-	12:33
城际动车	过C2568	滨海	北京南	12:34	12:38
城际动车	终C2211	北京南	天津	12:47	-
城际动车	始C2214	天津	北京南	-	12:49
快速	过K728	哈尔滨西	昆明	12:44	12:50
特快	终T56	宝鸡	天津	12:58	-
城际动车	始C2301	天津	滨海	-	13:00
城际动车	过C2570	滨海	北京南	12:58	13:02
快速	过K48	杭州	齐齐哈尔	12:52	13:02
城际动车	始C2216	天津	北京南	-	13:07
城际动车	终C2035	北京南	天津	13:10	-
快速	过K296	齐齐哈尔	济南	13:06	13:14
城际动车	终C2037	北京南	天津	13:15	-
城际动车	过C2572	滨海	北京南	13:15	13:19
高速动车	过G1251	大连北	上海虹桥	13:18	13:22
城际动车	过C2577	北京南	滨海	13:27	13:31
高速动车	过G2626	武汉	大连北	13:39	13:42
城际动车	始C2040	天津	北京南	-	13:45
城际动车	终C2039	北京南	天津	13:47	-
城际动车	始C2218	天津	北京南	-	13:51
城际动车	终C2041	北京南	天津	13:52	-
动车组	过D6734	秦皇岛	石家庄	13:46	13:58
快速	过K568	齐齐哈尔	东莞东	13:43	13:58
特快	始T58	天津	宝鸡	-	14:04
城际动车	始C2042	天津	北京南	-	14:09
快速	终K886	兰州西	天津	14:12	-
城际动车	始C2044	天津	北京南	-	14:14
城际动车	过C2574	滨海	北京南	14:15	14:19
城际动车	过C2576	滨海	北京南	14:20	14:24
城际动车	过C2579	北京南	滨海	14:24	14:28
城际动车	终C2043	北京南	天津	14:32	-
快速	始K213	天津	西安	-	14:33
快速	过K570	东莞东	齐齐哈尔	14:28	14:36
高速动车	过G397	北京南	丹东	14:37	14:39
