列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	始D2537	太原南	西安北	-	6:28
动车组	始D5351	太原南	临汾西	-	6:33
高速动车	始G4113	太原南	桂林北	-	6:40
高速动车	始G602	太原南	北京西	-	6:42
高速动车	始G604	太原南	北京西	-	7:00
动车组	始D2501	太原南	西安北	-	7:00
直达特快	过Z268	上海	呼和浩特	7:05	7:17
动车组	始D1901	太原南	成都东	-	7:20
普快	过4611	太原	介休	7:20	7:22
动车组	始D5313	太原南	运城北	-	7:29
直达特快	过Z7835	太原	柳林南	7:29	7:33
动车组	始D5315	太原南	运城北	-	7:38
高速动车	始G2602	太原南	沈阳北	-	7:44
动车组	始D2567	太原南	兰州西	-	7:50
动车组	始D2505	太原南	西安北	-	8:00
高速动车	始G606	太原南	北京西	-	8:02
动车组	始D1955	太原南	重庆西	-	8:14
高速动车	始G2606	太原南	秦皇岛	-	8:15
高速动车	始G630	太原南	北京西	-	8:24
动车组	始D2507	太原南	西安北	-	8:25
动车组	始D5317	太原南	永济北	-	8:32
高速动车	始G92	太原南	北京西	-	8:33
动车组	始D5364	太原南	大同南	-	8:36
高速动车	过G681	原平西	北京西	8:07	8:41
动车组	始D5319	太原南	运城北	-	8:48
高速动车	始G1958	太原南	上海虹桥	-	8:49
动车组	终D5342	运城北	太原南	8:58	-
动车组	始D1634	太原南	青岛北	-	8:58
快速	过K672	宝鸡	大同	8:55	8:59
动车组	始D5321	太原南	运城北	-	9:05
直达特快	过Z56	兰州	北京西	9:00	9:06
动车组	始D2792	太原南	呼和浩特东	-	9:10
动车组	始D2513	太原南	西安北	-	9:19
动车组	过D2002	临汾西	北京西	9:14	9:27
快速	过K546	成都	哈尔滨	9:29	9:35
动车组	始D2561	太原南	宝鸡南	-	9:35
动车组	过D5366	运城北	大同南	9:29	9:37
动车组	过D5361	大同南	运城北	9:38	9:44
高速动车	过G2080	运城北	威海	9:39	9:45
动车组	终D5314	运城北	太原南	10:08	-
高速动车	终G601	北京西	太原南	10:15	-
动车组	始D1959	太原南	贵阳北	-	10:17
动车组	终D5352	临汾西	太原南	10:23	-
普快	过4644	柳林南	太原	10:19	10:25
动车组	终D5363	大同南	太原南	10:30	-
动车组	过D2583	大同南	西安北	10:17	10:32
动车组	始D5323	太原南	运城北	-	10:44
高速动车	始G698	太原南	长沙南	-	10:46
动车组	始D5368	太原南	大同南	-	10:55
高速动车	始G610	太原南	北京西	-	11:00
高速动车	终G91	北京西	太原南	11:07	-
动车组	过D2004	运城北	北京西	11:02	11:09
快速	过K1574	重庆西	吉林	11:11	11:22
高速动车	过G627	北京西	运城北	11:16	11:24
高速动车	始G612	太原南	北京西	-	11:38
动车组	终D2502	西安北	太原南	11:41	-
动车组	终D2798	呼和浩特东	太原南	11:53	-
动车组	终D2504	西安北	太原南	11:55	-
动车组	始D1963	太原南	重庆西	-	12:01
动车组	终D2572	宝鸡南	太原南	12:12	-
动车组	始D2563	太原南	宝鸡南	-	12:15
高速动车	始G2064	太原南	荣成	-	12:17
高速动车	过G1954	运城北	嘉兴南	12:19	12:26
动车组	始D2796	太原南	呼和浩特东	-	12:35
动车组	始D2519	太原南	西安北	-	12:37
高速动车	始G1864	太原南	杭州东	-	12:50
快速	过K7807	大同	运城	12:47	12:52
高速动车	终G603	北京西	太原南	12:55	-
动车组	过D2582	西安北	大同南	12:50	12:58
高速动车	过G2624	运城北	青岛北	12:57	13:08
动车组	终D2510	西安北	太原南	13:13	-
动车组	过D2581	大同南	西安北	13:04	13:16
动车组	终D2536	西安北	太原南	13:28	-
高速动车	始G614	太原南	北京西	-	13:32
动车组	过D1644	济南西	运城北	13:13	13:33
动车组	始D2569	太原南	西宁	-	13:40
动车组	终D5316	运城北	太原南	13:42	-
高速动车	过G605	北京西	永济北	13:24	13:47
动车组	过D1638	运城北	青岛	13:50	13:59
高速动车	终G607	北京西	太原南	14:07	-
动车组	始D5325	太原南	运城北	-	14:11
高速动车	终G2609	天津西	太原南	14:17	-
快速	过K7808	运城	大同	14:19	14:24
高速动车	终G609	北京西	太原南	14:25	-
动车组	过D5367	大同南	运城北	14:20	14:26
高速动车	过G616	永济北	北京西	14:21	14:29
动车组	终D2538	西安北	太原南	14:31	-
动车组	始D1903	太原南	成都东	-	14:33
高速动车	始G2610	太原南	天津西	-	14:43
动车组	终D2512	西安北	太原南	14:48	-
动车组	过D1636	青岛	运城北	14:41	14:48
高速动车	始G618	太原南	北京西	-	14:58
动车组	始D2565	太原南	兰州西	-	15:01
动车组	过D5372	运城北	大同南	14:56	15:11
动车组	终D1902	成都东	太原南	15:11	-
直达特快	过Z69	北京西	乌鲁木齐	15:11	15:17
动车组	始D2521	太原南	西安北	-	15:21
高速动车	始G620	太原南	北京西	-	15:24
动车组	终D2566	兰州西	太原南	15:31	-
快速	过K7833	太原	吕梁	15:29	15:35
直达特快	过Z70	乌鲁木齐	北京西	15:23	15:38
高速动车	终G611	北京西	太原南	15:38	-
动车组	终D5369	大同南	太原南	15:38	-
动车组	终D2516	西安北	太原南	15:43	-
高速动车	终G1862	杭州东	太原南	15:46	-
动车组	始D2523	太原南	西安北	-	15:53
动车组	始D5374	太原南	大同南	-	15:58
动车组	终D1904	成都东	太原南	15:59	-
动车组	始D5327	太原南	平遥古城	-	16:01
高速动车	终G692	武汉	太原南	16:04	-
动车组	终D5318	运城北	太原南	16:14	-
动车组	始D1905	太原南	成都东	-	16:20
动车组	始D2525	太原南	西安北	-	16:27
高速动车	始G694	太原南	武汉	-	16:37
