列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K1315	呼和浩特东	福州	23:58	0:01
快速	过K457	郑州	海口	0:19	0:30
特快	过T370	广州	大连	2:23	2:26
快速	过K976	哈尔滨西	襄阳	2:31	2:36
快速	过K600	广州	包头	4:56	5:08
特快	过T124	广州	长春	6:15	6:20
直达特快	过Z37	北京西	武昌	6:28	6:31
快速	过K1008	广州	周口	6:52	6:54
特快	过T308	乌鲁木齐	福州	8:12	8:20
快速	过K22	南宁	北京西	8:18	8:31
快速	过K238	深圳西	太原	8:53	8:58
直达特快	过Z53	北京西	昆明	8:58	9:01
快速	过K157	北京	湛江	8:52	9:07
直达特快	过Z294	乌鲁木齐	汉口	10:09	10:12
快速	过K226	广州	兰州	10:37	10:40
直达特快	过Z168	广州东	青岛北	11:57	12:00
特快	过T369	大连	广州	16:21	16:24
快速	过K158	湛江	北京	16:30	16:33
快速	过K1276	南昌	包头	16:45	16:48
快速	过K1196	青岛北	襄阳	16:46	16:49
快速	过K1198	襄阳	青岛北	17:10	17:12
直达特快	过Z292	汉口	乌鲁木齐	18:13	18:16
快速	过K1006	周口	广州	18:14	18:18
快速	过K974	襄阳	哈尔滨西	18:52	18:55
快速	过K237	太原	深圳西	19:31	19:34
快速	过K598	包头	广州	19:42	19:45
直达特快	过Z38	武昌	北京西	20:40	20:45
快速	过K228	兰州	广州	21:10	21:13
特快	过T122	长春	广州	21:44	21:47
直达特快	过Z208	长沙	天津	22:55	22:58
快速	过K84	西安	广州	23:08	23:11
快速	过K21	北京西	南宁	23:26	23:29
