列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	过D937	广州南	上海虹桥	4:02	4:25
动车组	过D942	珠海	上海虹桥	4:07	4:30
快速	终K846	贵阳	宁波	5:11	-
快速	终K1077	重庆北	宁波	5:45	-
快速	终K8499	阜阳	宁波	5:59	-
高速动车	始G1866	宁波	郑州东	-	6:21
快速	终K1042	兰州	宁波	6:40	-
高速动车	过G7534	奉化	上海虹桥	6:50	6:53
高速动车	过G7724	宁海	亳州南	6:54	6:58
动车组	始D3219	宁波	厦门北	-	6:59
高速动车	始G1416	宁波	长沙南	-	7:03
高速动车	始G7502	宁波	上海虹桥	-	7:08
动车组	始D656	宁波	重庆北	-	7:18
高速动车	始G2343	宁波	南宁东	-	7:28
高速动车	过G7530	宁海	上海虹桥	7:27	7:29
快速	终K8563	亳州	宁波	7:30	-
高速动车	始G1224	宁波	沈阳北	-	7:34
快速	始K422	宁波	成都	-	7:39
高速动车	过G58	台州	北京南	7:32	7:45
高速动车	过G7659	杭州东	温州南	7:45	7:47
高速动车	过G2332	宁海	贵阳北	7:39	7:50
高速动车	过G7541	上海虹桥	台州	7:50	7:52
高速动车	过G590	温州南	武汉	8:08	8:12
高速动车	始G1964	宁波	郑州东	-	8:18
高速动车	过G7504	温州南	上海虹桥	8:21	8:24
高速动车	过G7532	三门县	上海虹桥	8:30	8:35
动车组	过D3239	南京南	厦门北	8:31	8:38
直达特快	终Z31	武昌	宁波	8:38	-
快速	始K1078	宁波	重庆北	-	8:40
高速动车	过G7482	温州南	黄山北	8:40	8:48
动车组	过D3111	杭州东	深圳北	8:44	8:49
高速动车	过G7572	平阳	淮南南	8:52	8:55
高速动车	过G7501	上海虹桥	苍南	8:52	8:56
快速	终K1440	平顶山	宁波	9:04	-
动车组	过D3145	上海虹桥	赣州	8:58	9:08
高速动车	过G7674	温州南	合肥南	9:07	9:11
高速动车	过G7543	上海虹桥	温州南	9:10	9:13
高速动车	始G2363	宁波	贵阳北	-	9:21
高速动车	过G7506	温州南	上海虹桥	9:17	9:25
动车组	过D2287	上海虹桥	深圳北	9:16	9:26
高速动车	始G420	宁波	北京南	-	9:31
快速	终K335	长春	宁波	9:37	-
高速动车	过G7586	温州南	常州	9:36	9:43
高速动车	过G7796	温州南	阜阳西	9:47	9:49
动车组	过D3131	上海虹桥	龙岩	9:44	9:52
高速动车	过G7576	苍南	六安	9:52	9:54
高速动车	过G7503	苏州	台州	9:53	10:00
动车组	过D377	上海虹桥	深圳北	10:13	10:17
高速动车	过G1894	温州南	西安北	10:16	10:18
高速动车	始G274	宁波	北京南	-	10:23
高速动车	过G7549	上海虹桥	温州南	10:18	10:23
快速	终K1218	南昌	宁波	10:24	-
高速动车	过G7508	台州	上海虹桥	10:22	10:28
高速动车	过G7612	合肥南	苍南	10:29	10:31
高速动车	过G168	温州南	北京南	10:33	10:38
动车组	过D3201	上海虹桥	厦门北	10:40	10:47
高速动车	过G7568	温州南	南京南	10:48	10:51
高速动车	过G7665	徐州东	温州南	10:46	10:52
动车组	过D3295	南京南	龙岩	10:53	10:58
高速动车	终G7505	南京南	宁波	10:59	-
快速	始K848	宁波	贵阳	-	11:00
高速动车	过G7540	苍南	上海虹桥	11:04	11:06
特快	终T135	济南	宁波	11:06	-
特快	终T328	郑州	宁波	11:13	-
高速动车	过G7486	温州南	合肥南	11:12	11:18
高速动车	始G7510	宁波	上海虹桥	-	11:24
动车组	过D2281	南京	深圳北	11:18	11:25
高速动车	终G7611	徐州东	宁波	11:28	-
动车组	过D2285	上海虹桥	深圳北	11:23	11:31
动车组	过D382	福州南	上海虹桥	11:27	11:33
高速动车	过G7581	南京南	温州南	11:33	11:36
高速动车	过G7645	阜阳西	苍南	11:38	11:46
高速动车	终G7693	合肥南	宁波	11:47	-
动车组	过D3102	福州	上海虹桥	11:40	11:49
高速动车	过G56	福州	北京南	11:53	11:55
动车组	过D3205	上海虹桥	厦门北	11:52	12:00
高速动车	始G7678	宁波	合肥南	-	12:00
高速动车	始G7402	宁波	安庆	-	12:05
高速动车	过G7434	合肥南	温州南	11:59	12:05
高速动车	终G7507	南京南	宁波	12:09	-
动车组	终D2198	汉口	宁波	12:15	-
高速动车	过G7662	温州南	杭州东	12:13	12:16
动车组	过D3107	上海虹桥	深圳北	12:22	12:25
高速动车	始G7512	宁波	上海虹桥	-	12:28
动车组	过D3104	莆田	上海虹桥	12:30	12:34
动车组	过D3125	扬州	深圳北	12:32	12:35
高速动车	终G7589	徐州东	宁波	12:37	-
动车组	始D2196	宁波	宜昌东	-	12:40
动车组	过D3234	厦门	杭州东	12:42	12:46
高速动车	过G343	济南	温州南	12:48	12:51
快速	始K1040	宁波	兰州	-	12:52
高速动车	终G7509	上海虹桥	宁波	12:53	-
高速动车	始G2808	宁波	石家庄	-	12:58
高速动车	过G7681	阜阳西	温州南	12:58	13:00
高速动车	过G7542	台州	上海虹桥	13:01	13:05
高速动车	过G7599	徐州东	苍南	13:05	13:12
高速动车	始G7514	宁波	上海虹桥	-	13:14
动车组	过D3135	南京	赣州	13:18	13:25
高速动车	过G7546	温州南	上海虹桥	13:24	13:26
高速动车	终G51	天津西	宁波	13:27	-
快速	始K466	宁波	西安	-	13:31
动车组	过D2283	上海虹桥	深圳北	13:32	13:39
高速动车	终G1961	郑州东	宁波	13:42	-
动车组	过D3143	龙岩	南京	13:41	13:43
高速动车	过G7537	上海虹桥	苍南	13:37	13:44
高速动车	始G52	宁波	天津西	-	13:49
高速动车	过G7511	上海虹桥	温州南	13:47	13:53
快速	始K1220	宁波	南昌	-	13:54
动车组	过D2293	南京南	深圳北	13:52	13:58
高速动车	始G1962	宁波	郑州东	-	14:01
高速动车	终G57	北京南	宁波	14:08	-
特快	始T326	宁波	郑州	-	14:09
高速动车	过G7516	苍南	上海虹桥	14:14	14:17
动车组	过D3167	龙岩	杭州东	14:19	14:23
高速动车	过G1673	上海虹桥	厦门北	14:15	14:26
动车组	过D3218	厦门	杭州东	14:25	14:29
快速	终K468	西安	宁波	14:35	-
动车组	终D4653	南平市	宁波	14:36	-
高速动车	始G60	宁波	北京南	-	14:38
动车组	过D3291	上海虹桥	龙岩	14:27	14:40
高速动车	过G7690	温州南	南京南	14:43	14:47
动车组	终D3303	南昌西	宁波	14:48	-
高速动车	过G7669	亳州南	温州南	14:49	14:51
高速动车	过G55	北京南	福州	14:54	14:57
高速动车	终G584	武汉	宁波	15:03	-
动车组	始D4651	宁波	南平市	-	15:05
快速	始K212	宁波	广州	-	15:05
高速动车	终G7598	合肥南	宁波	15:08	-
高速动车	过G7686	温州南	阜阳西	15:05	15:11
快速	终K168	洛阳	宁波	15:14	-
动车组	始D3301	宁波	南昌西	-	15:18
动车组	过D3137	赣州	南京	15:18	15:22
高速动车	始G7518	宁波	上海虹桥	-	15:27
动车组	过D3141	南京	龙岩	15:26	15:30
直达特快	终Z288	昆明	宁波	15:31	-
动车组	过D3297	龙岩	南京南	15:29	15:32
高速动车	终G2358	南昌西	宁波	15:37	-
高速动车	始G582	宁波	武汉	-	15:37
高速动车	过G2348	长沙南	台州	15:37	15:41
快速	始K336	宁波	长春	-	15:43
动车组	过D3233	杭州东	厦门	15:43	15:46
高速动车	终G1434	长沙南	宁波	15:48	-
高速动车	过G1674	厦门北	上海虹桥	15:43	15:48
高速动车	终G7515	上海虹桥	宁波	15:54	-
高速动车	始G2357	宁波	南昌	-	15:56
高速动车	过G7792	温州南	淮安东	15:53	15:56
高速动车	过G7567	南京南	温州南	15:59	16:03
动车组	过D3293	龙岩	上海虹桥	16:03	16:09
高速动车	始G7520	宁波	南京南	-	16:15
高速动车	过G7539	上海虹桥	苍南	16:14	16:20
动车组	过D3126	深圳北	扬州	16:14	16:21
高速动车	终G2807	石家庄	宁波	16:22	-
高速动车	始G1432	宁波	长沙南	-	16:26
高速动车	过G7578	六安	温州南	16:27	16:29
高速动车	过G7646	温州南	阜阳西	16:31	16:36
高速动车	终G7583	常州	宁波	16:37	-
高速动车	始G7590	宁波	徐州东	-	16:44
快速	终K210	广州	宁波	16:45	-
高速动车	终G7517	上海虹桥	宁波	16:51	-
高速动车	始G7584	宁波	南京	-	16:53
动车组	过D2294	深圳北	南京南	16:49	16:58
高速动车	终G7676	合肥南	宁波	17:02	-
高速动车	过G344	温州南	济南西	17:01	17:04
高速动车	过G7550	苍南	上海虹桥	17:06	17:09
动车组	过D3217	杭州东	厦门北	17:07	17:11
高速动车	过G7682	温州南	阜阳西	17:11	17:14
高速动车	始G7610	宁波	徐州东	-	17:19
动车组	过D381	上海虹桥	莆田	17:17	17:22
高速动车	始G7522	宁波	上海虹桥	-	17:24
动车组	过D3169	杭州东	福州南	17:27	17:33
特快	始T136	宁波	济南	-	17:36
高速动车	过G7432	苍南	合肥南	17:32	17:42
高速动车	过G1896	西安北	温州南	17:38	17:44
动车组	过D378	深圳北	上海虹桥	17:37	17:47
动车组	过D3101	上海虹桥	福州	17:44	17:51
高速动车	过G2346	台州	长沙南	17:47	17:53
高速动车	终G7519	上海虹桥	宁波	17:55	-
动车组	过D3133	龙岩	上海虹桥	17:52	17:58
快速	始K166	宁波	洛阳	-	18:03
高速动车	过G7545	上海虹桥	温州南	17:50	18:07
高速动车	过G7596	温州南	合肥南	18:05	18:09
动车组	过D3103	上海虹桥	福州南	18:09	18:13
高速动车	始G7524	宁波	张家港	-	18:14
高速动车	过G7582	苍南	南京南	18:16	18:19
高速动车	过G592	汉口	温州南	18:16	18:21
高速动车	过G7571	淮南南	平阳	18:21	18:27
动车组	过D2284	深圳北	上海虹桥	18:22	18:29
高速动车	过G7484	黄山北	温州南	18:26	18:32
动车组	过D3206	厦门北	上海虹桥	18:29	18:35
高速动车	终G1222	沈阳北	宁波	18:38	-
高速动车	过G7488	合肥南	温州南	18:31	18:40
动车组	过D2282	深圳北	南京	18:41	18:46
快速	始K8564	宁波	亳州	-	18:52
高速动车	过G7533	上海虹桥	奉化	18:50	18:54
高速动车	终G2364	贵阳北	宁波	18:57	-
