列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K177	郑州	西宁	0:42	0:52
特快	过T269	西安	喀什	0:56	1:02
快速	过K1312	深圳东	西宁	1:13	1:33
快速	过K308	温州	兰州	1:36	1:56
快速	过K226	广州	兰州	2:20	2:26
快速	过K228	兰州	广州	4:30	4:36
快速	过K1538	乌鲁木齐	南京	4:38	4:44
快速	过K1352	乌鲁木齐	连云港东	4:38	4:44
快速	过K306	兰州	温州	4:22	4:51
快速	过K390	西宁	杭州	5:10	5:34
直达特快	过Z151	北京西	西宁	5:32	5:36
快速	过K176	乌鲁木齐	郑州	5:36	5:41
快速	过K1042	兰州	宁波	5:24	5:48
特快	过T197	郑州	乌鲁木齐	5:53	5:58
快速	过K1307	银川	西安	5:39	6:05
特快	过T282	南宁	乌鲁木齐	5:46	6:06
快速	过K175	商丘	乌鲁木齐	6:05	6:12
直达特快	过Z126	厦门北	兰州	6:25	6:30
快速	过K392	杭州	西宁	6:13	6:36
快速	过K1310	西宁	深圳东	6:35	6:54
直达特快	过Z292	汉口	乌鲁木齐	6:52	7:00
普客	始6072	宝鸡	平凉	-	7:00
特快	过T112	杭州	兰州	7:00	7:25
普客	始6063	宝鸡	广元	-	7:30
快速	始K8158	宝鸡	西安	-	7:38
特快	终T58	天津	宝鸡	7:40	-
快速	过K1028	兰州	青岛北	7:40	7:47
特快	终T7001	西安	宝鸡	7:57	-
普客	始8359	宝鸡	元龙	-	8:00
直达特快	过Z274	西宁	青岛	8:18	8:28
特快	过T7	北京西	成都	8:22	8:32
特快	始T7002	宝鸡	西安	-	8:50
快速	过K548	哈尔滨	成都	8:34	9:01
快速	过K369	敦煌	西安	8:58	9:04
直达特快	过Z272	青岛	西宁	8:58	9:06
快速	终K8165	榆林	宝鸡	9:08	-
特快	过T306	福州	乌鲁木齐	8:50	9:13
直达特快	过Z378	西宁	上海	9:11	9:16
快速	过K245	扬州	成都	9:16	9:26
直达特快	过Z138	广州	乌鲁木齐	9:24	9:29
快速	过K1026	青岛北	兰州	10:01	10:07
特快	过T116	上海	兰州	10:11	10:17
快速	始K1132	宝鸡	烟台	-	10:18
直达特快	过Z40	上海	乌鲁木齐	10:19	10:25
快速	过K246	成都	扬州	10:19	10:32
普快	终1150	连云港东	宝鸡	10:38	-
直达特快	过Z230	深圳	乌鲁木齐	10:45	11:10
直达特快	过Z216	上海	兰州	11:21	11:31
快速	始K8168	宝鸡	榆林	-	11:36
快速	终K671	大同	宝鸡	11:53	-
直达特快	过Z105	济南	乌鲁木齐	12:36	12:42
快速	过K594	杭州	乌鲁木齐	13:10	13:16
快速	过K1040	宁波	兰州	13:47	14:05
快速	过K367	西安	敦煌	14:20	14:26
快速	过K419	扬州	兰州	14:28	14:34
直达特快	过Z304	上海	伊宁	14:39	14:43
快速	过K420	兰州	扬州	15:58	16:02
普快	始1148	宝鸡	连云港东	-	16:08
特快	过T270	喀什	西安	16:25	16:30
普客	终6064	广元	宝鸡	17:50	-
直达特快	过Z106	乌鲁木齐	济南	17:43	17:55
直达特快	过Z232	乌鲁木齐	深圳	17:49	18:08
特快	始T56	宝鸡	天津	-	18:18
普客	终6074	平凉	宝鸡	18:25	-
特快	过T118	兰州	上海	18:28	18:38
快速	过K596	乌鲁木齐	杭州	18:38	18:44
直达特快	过Z42	乌鲁木齐	上海	19:02	19:12
快速	终K1130	烟台	宝鸡	19:40	-
特快	过T308	乌鲁木齐	福州	19:37	19:57
快速	始K672	宝鸡	大同	-	20:16
直达特快	过Z136	乌鲁木齐	广州	20:46	20:49
特快	过T8	成都	北京西	20:39	20:55
直达特快	过Z294	乌鲁木齐	汉口	20:57	21:02
快速	过K546	成都	哈尔滨	21:03	21:16
快速	过K1305	西安	银川	20:57	21:22
特快	过T114	兰州	杭州	21:07	21:28
快速	过K132	兰州	深圳西	21:26	21:34
直达特快	过Z218	兰州	上海	21:42	21:46
快速	终K8157	西安	宝鸡	21:50	-
直达特快	过Z128	兰州	厦门北	21:49	21:52
特快	过T198	乌鲁木齐	郑州	22:48	22:52
快速	过K178	西宁	郑州	23:00	23:10
特快	过T284	乌鲁木齐	南宁	23:15	23:35
快速	过K134	深圳西	兰州	23:53	23:59
