列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	始D6802	宝鸡南	西安北	-	7:35
动车组	始D2572	宝鸡南	太原南	-	7:46
动车组	过D2649	西安北	西宁	7:55	7:57
高速动车	始G672	宝鸡南	北京西	-	8:26
动车组	终D6801	西安北	宝鸡南	8:27	-
动车组	过D2671	西安北	嘉峪关南	8:36	8:38
动车组	过D2701	西安北	乌鲁木齐	8:49	8:51
动车组	过D2686	兰州西	西安北	8:55	8:57
动车组	过D2680	兰州西	西安北	9:06	9:08
动车组	过D2651	西安北	西宁	9:06	9:08
动车组	始D6804	宝鸡南	西安北	-	9:13
高速动车	过G2686	兰州西	威海	9:27	9:29
动车组	过D2653	西安北	兰州西	9:33	9:35
高速动车	过G1904	兰州西	福州	9:56	9:58
动车组	过D2652	兰州西	西安北	10:01	10:03
动车组	过D2690	兰州西	西安北	10:08	10:10
高速动车	过G4298	兰州西	杭州东	10:13	10:15
高速动车	过G2025	郑州东	兰州西	10:13	10:15
高速动车	过G834	兰州西	广州南	10:30	10:32
动车组	过D310	上海	兰州西	10:32	10:34
高速动车	过G1714	兰州西	天津西	10:35	10:37
高速动车	过G3166	兰州西	上海虹桥	10:41	10:43
动车组	过D2654	兰州西	西安北	10:47	10:49
动车组	过D2566	兰州西	太原南	10:52	10:54
高速动车	过G642	兰州西	南昌西	10:57	10:59
动车组	过D2687	西安北	嘉峪关南	11:05	11:07
高速动车	过G3186	兰州西	南昌西	11:13	11:15
动车组	过D2679	西安北	兰州西	11:16	11:18
高速动车	过G1840	兰州西	青岛北	11:18	11:20
动车组	过D2737	西安北	敦煌	11:21	11:23
动车组	过D2656	兰州西	西安北	11:23	11:25
动车组	过D2658	兰州西	西安北	11:33	11:35
动车组	终D6809	西安北	宝鸡南	11:38	-
动车组	过D2736	西宁	西安北	11:44	11:46
动车组	始D6812	宝鸡南	西安北	-	11:58
高速动车	过G2021	郑州东	兰州西	12:02	12:04
高速动车	过G430	兰州西	北京西	12:11	12:13
动车组	过D2688	西宁	西安北	12:22	12:24
动车组	过D2655	西安北	兰州西	12:26	12:28
动车组	过D2567	太原南	兰州西	12:32	12:34
高速动车	过G2096	兰州西	青岛北	12:37	12:39
动车组	过D2661	西安北	西宁	12:43	12:45
高速动车	过G846	兰州西	广州南	12:51	12:53
高速动车	过G1972	兰州西	上海虹桥	12:59	13:01
动车组	过D2657	西安北	兰州西	13:01	13:03
动车组	终D6815	西安北	宝鸡南	13:12	-
动车组	过D2570	西宁	太原南	13:10	13:12
高速动车	过G3182	兰州西	上海虹桥	13:21	13:23
高速动车	过G1833	济南西	兰州西	13:29	13:31
动车组	过D2659	西安北	兰州西	13:38	13:40
动车组	过D2668	兰州西	西安北	13:42	13:44
动车组	始D5094	宝鸡南	延安	-	13:49
动车组	过D2689	西安北	西宁	13:58	14:00
动车组	过D2735	西安北	西宁	14:03	14:05
动车组	终D2561	太原南	宝鸡南	14:08	-
高速动车	过G1876	兰州西	杭州东	14:17	14:19
高速动车	过G1970	上海虹桥	兰州西	14:18	14:20
动车组	终D6817	西安北	宝鸡南	14:29	-
动车组	过D2662	兰州西	西安北	14:34	14:36
动车组	过D2673	西安北	嘉峪关南	14:40	14:42
动车组	过D2682	张掖西	西安北	14:48	14:50
高速动车	终G671	北京西	宝鸡南	14:58	-
高速动车	过G1834	兰州西	济南西	15:09	15:11
高速动车	过G1874	杭州东	兰州西	15:14	15:16
动车组	始D2562	宝鸡南	太原南	-	15:16
动车组	过D2650	西宁	西安北	15:25	15:27
动车组	始D6818	宝鸡南	西安北	-	15:32
动车组	过D2672	嘉峪关南	西安北	15:41	15:43
高速动车	过G640	南昌西	兰州西	15:43	15:45
动车组	过D2692	西宁	西安北	15:51	15:53
高速动车	过G3180	上海虹桥	兰州西	15:56	15:58
动车组	过D2667	西安北	兰州西	16:06	16:08
高速动车	始G674	宝鸡南	北京西	-	16:22
动车组	过D2678	兰州西	西安北	16:36	16:38
高速动车	过G1842	青岛北	兰州西	16:38	16:40
动车组	过D2696	嘉峪关南	西安北	16:41	16:43
动车组	过D2695	西安北	西宁	16:47	16:49
动车组	过D2660	西宁	西安北	16:56	16:58
动车组	终D2563	太原南	宝鸡南	16:58	-
高速动车	过G2022	兰州西	郑州东	17:07	17:09
动车组	过D2568	兰州西	太原南	17:12	17:14
动车组	过D2664	兰州西	西安北	17:17	17:19
动车组	过D2681	西安北	兰州西	17:14	17:21
高速动车	过G1713	天津西	兰州西	17:26	17:28
高速动车	过G429	北京西	兰州西	17:31	17:33
动车组	过D2666	兰州西	西安北	17:39	17:41
动车组	始D2564	宝鸡南	太原南	-	17:46
动车组	终D6821	西安北	宝鸡南	17:51	-
动车组	过D2694	西宁	西安北	17:50	17:52
动车组	过D2697	西安北	西宁	18:05	18:07
动车组	过D2739	敦煌	西安北	18:16	18:18
动车组	过D2699	西安北	西宁	18:16	18:18
动车组	过D2569	太原南	西宁	18:21	18:23
高速动车	过G2026	兰州西	郑州东	18:26	18:28
动车组	始D6822	宝鸡南	西安北	-	18:37
动车组	过D2676	兰州西	西安北	19:02	19:04
动车组	过D2677	西安北	兰州西	19:04	19:06
高速动车	过G3164	上海虹桥	兰州西	19:09	19:11
动车组	过D2693	西安北	兰州西	19:14	19:16
高速动车	过G1902	福州	兰州西	19:19	19:21
动车组	过D312	兰州西	上海	19:27	19:29
动车组	过D2565	太原南	兰州西	19:29	19:31
动车组	过D2663	西安北	兰州西	19:34	19:36
高速动车	过G4296	杭州东	兰州西	19:39	19:41
动车组	过D2674	嘉峪关南	西安北	19:58	20:00
高速动车	过G3184	南昌西	兰州西	20:05	20:07
动车组	过D2665	西安北	兰州西	20:16	20:18
高速动车	过G2094	青岛北	兰州西	20:28	20:30
动车组	过D2691	西安北	兰州西	20:35	20:37
高速动车	过G2684	威海	兰州西	20:50	20:52
动车组	终D6825	西安北	宝鸡南	21:00	-
高速动车	终G673	北京西	宝鸡南	21:17	-
动车组	过D2670	西宁	西安北	21:15	21:17
动车组	过D2675	西安北	兰州西	21:23	21:25
动车组	过D2698	西宁	西安北	21:51	21:53
动车组	过D2708	乌鲁木齐	西安北	22:29	22:31
动车组	终D2571	太原南	宝鸡南	22:32	-
