列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K8482	上海	阜阳	23:59	0:03
快速	过K1048	上海	漯河	0:07	0:11
动车组	过D310	上海	兰州西	0:16	0:19
动车组	过D306	上海	西安北	0:22	0:25
快速	过K1092	福州	徐州	0:31	0:35
快速	过K1805	银川	杭州	0:56	1:00
特快	过T136	宁波	济南	0:59	1:03
直达特快	过Z178	哈尔滨西	杭州	1:22	1:26
快速	过K8432	上海	徐州	1:24	1:27
快速	过K8362	上海	阜阳	1:36	1:45
快速	过K1506	上海	周口	1:48	1:52
快速	过K8428	上海	淮北	1:58	2:02
快速	过K1511	聊城	金华	2:06	2:09
快速	过K1091	徐州	福州	2:12	2:15
快速	过K8354	连云港东	杭州	2:18	2:21
快速	过K335	长春	宁波	2:24	2:27
快速	过K1047	漯河	上海	2:31	2:35
特快	过T135	济南	宁波	2:39	2:43
快速	过K1558	南宁	上海	2:58	3:02
直达特快	过Z378	西宁	上海	3:06	3:10
快速	过K292	成都	上海	3:12	3:17
快速	过K50	齐齐哈尔	杭州	3:18	3:23
快速	过K359	银川	上海	3:39	3:43
快速	过K8484	阜阳	上海	3:45	3:49
快速	过K154	郑州	上海	4:13	4:17
普快	过1461	北京	上海	4:23	4:26
动车组	过D308	西安北	上海	4:35	4:37
动车组	过D312	兰州西	上海	4:41	4:43
快速	过K8361	阜阳	上海	4:50	4:59
快速	过K8358	连云港东	上海	5:05	5:17
快速	过K233	石家庄	上海	5:25	5:29
动车组	过D709	北京南	上海	6:18	6:20
高速动车	过G7029	南京	上海	6:28	6:30
高速动车	始G7211	常州	上海	-	6:35
快速	过K526	福州	南京	6:30	6:35
快速	过K528	广州	南京	6:41	6:44
快速	过K1101	安阳	上海	6:42	6:46
高速动车	过G7072	上海	安庆	6:49	6:51
快速	过K1149	新乡	昆山	6:48	6:52
高速动车	始G7033	常州	上海	-	7:00
直达特快	过Z284	包头	杭州	6:55	7:00
高速动车	过G7032	上海	南京	6:59	7:01
高速动车	过G7101	南京	上海虹桥	7:04	7:06
高速动车	过G7035	南京	上海	7:15	7:17
快速	过K462	平顶山	上海	7:18	7:22
动车组	过D352	上海虹桥	成都东	7:26	7:28
动车组	过D2281	南京	深圳北	7:27	7:29
高速动车	过G7076	上海	安庆	7:31	7:33
高速动车	过G7037	南京南	上海	7:33	7:35
高速动车	过G7001	南京	上海	7:39	7:41
