列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	过G7997	郑州东	南阳东	7:04	7:06
高速动车	过G3203	郑州东	汉口	7:59	8:01
高速动车	过G7995	郑州东	南阳东	8:19	8:21
高速动车	过G1576	南阳东	北京西	8:27	8:30
高速动车	过G6691	郑州东	南阳东	9:09	9:11
高速动车	过G3206	襄阳东	郑州东	9:10	9:12
高速动车	过G7977	郑州东	南阳东	9:41	9:43
高速动车	过G3254	南阳东	上海虹桥	10:20	10:22
高速动车	过G6692	南阳东	安阳东	10:33	10:36
高速动车	过G7971	郑州东	南阳东	10:40	10:42
高速动车	过G3213	郑州东	十堰东	11:11	11:13
高速动车	过G1590	十堰东	北京西	11:43	11:47
高速动车	过G7972	南阳东	郑州东	12:24	12:26
高速动车	过G7963	郑州东	南阳东	12:56	13:03
高速动车	过G7979	郑州东	南阳东	13:37	13:39
高速动车	过G3201	汉口	郑州东	14:54	14:56
高速动车	过G7964	南阳东	郑州东	15:00	15:02
高速动车	过G7973	郑州东	南阳东	15:05	15:07
高速动车	过G7980	南阳东	郑州东	15:14	15:27
高速动车	过G6693	安阳东	南阳东	15:36	15:38
高速动车	过G3214	十堰东	郑州东	15:39	15:44
高速动车	过G7974	南阳东	郑州东	16:34	16:36
高速动车	过G3211	郑州东	十堰东	16:48	16:52
高速动车	过G7981	郑州东	南阳东	17:36	17:38
高速动车	过G1589	北京西	十堰东	18:09	18:11
高速动车	过G1575	北京西	南阳东	18:17	18:19
高速动车	过G7975	郑州东	南阳东	19:12	19:14
高速动车	过G7966	邓州东	郑州东	19:33	19:36
高速动车	过G7976	南阳东	郑州东	20:39	20:41
高速动车	过G3252	上海虹桥	南阳东	20:53	20:55
高速动车	过G7996	南阳东	郑州东	22:17	22:20
