列车类型	车次	始发站	终到站	到站时间	发车时间
城际动车	终C7188	深圳	广州东	0:09	-
快速	终K441	南昌	广州东	5:05	-
快速	终K731	大同	广州东	5:25	-
城际动车	始C7001	广州东	深圳	-	6:00
城际动车	始C7023	广州东	深圳	-	6:10
快速	终K298	厦门北	广州东	6:10	-
城际动车	始C6701	广州东	深圳机场	-	6:15
城际动车	始C7037	广州东	深圳	-	6:20
城际动车	始C7045	广州东	深圳	-	6:30
城际动车	始C6741	广州东	深圳机场	-	6:35
城际动车	过C7055	广州	深圳	6:30	6:38
快速	始K675	广州东	徐州	-	6:41
直达特快	过Z23	武昌	深圳	6:36	6:48
城际动车	过C7065	广州	深圳	6:48	6:54
快速	终K793	上饶	广州东	7:04	-
城际动车	始C7013	广州东	深圳	-	7:05
特快	终T171	南昌	广州东	7:06	-
特快	始T8379	广州东	大埔	-	7:08
城际动车	始C7083	广州东	深圳	-	7:14
城际动车	始C6717	广州东	深圳机场	-	7:15
城际动车	过C7091	广州	深圳	7:13	7:22
快速	过K87	景德镇北	广州	7:15	7:25
城际动车	终C7180	深圳	广州东	7:29	-
动车组	始D7525	广州东	汕头	-	7:30
城际动车	始C7101	广州东	深圳	-	7:39
城际动车	过C7142	深圳	广州	7:46	7:49
城际动车	终C6726	深圳机场	广州东	7:57	-
城际动车	始C7181	广州东	深圳	-	7:57
城际动车	终C7074	深圳	广州东	8:04	-
城际动车	始C7125	广州东	深圳	-	8:05
快速	过K9203	岳阳	深圳东	7:56	8:06
快速	终K931	襄阳	广州东	8:11	-
特快	始T8376	广州东	南雄	-	8:14
城际动车	始C7133	广州东	深圳	-	8:16
往香港直通车	始Z801	广州东	红磡	-	8:19
城际动车	过C7170	深圳	广州	8:15	8:20
城际动车	始C7075	广州东	深圳	-	8:25
直达特快	终Z238	哈尔滨西	广州东	8:30	-
城际动车	过C7143	广州	深圳	8:24	8:33
城际动车	始C6727	广州东	深圳机场	-	8:36
城际动车	终C7160	深圳	广州东	8:37	-
动车组	过D7104	深圳	佛山西	8:29	8:37
特快	终T221	合肥	广州东	8:40	-
动车组	始D2385	广州东	厦门	-	8:41
城际动车	终C7002	深圳	广州东	8:49	-
城际动车	始C7161	广州东	深圳	-	8:51
城际动车	过C7171	广州	深圳	8:55	9:00
城际动车	终C6734	深圳机场	广州东	9:01	-
动车组	过D7554	深圳	怀集	8:58	9:02
往香港直通车	始Z807	广州东	红磡	-	9:04
城际动车	始C7151	广州东	深圳	-	9:05
城际动车	终C7024	深圳	广州东	9:08	-
城际动车	始C7003	广州东	深圳	-	9:13
城际动车	终C7038	深圳	广州东	9:16	-
城际动车	始C6735	广州东	深圳机场	-	9:21
