列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K1101	安阳	上海	0:04	0:14
快速	过K1149	新乡	昆山	0:13	0:20
直达特快	过Z216	上海	兰州	0:12	0:22
动车组	过D308	西安北	上海	0:30	0:38
直达特快	过Z52	南通	北京	0:29	0:42
动车组	过D312	兰州西	上海	0:41	0:46
快速	过K912	西安	青岛	0:49	1:04
快速	过K1132	宝鸡	烟台	0:58	1:16
直达特快	过Z172	上海	哈尔滨西	1:15	1:25
快速	过K174	日照	上海	1:02	1:25
特快	过T110	上海	北京	1:30	1:41
快速	过K208	青岛	成都	1:12	1:41
动车组	过D781	青岛北	杭州	1:23	1:43
特快	过T217	泰州	北京	1:36	1:58
直达特快	过Z105	济南	乌鲁木齐	1:39	2:00
直达特快	过Z51	北京	南通	1:47	2:01
快速	过K1512	金华	聊城	1:45	2:07
直达特快	过Z164	上海	拉萨	2:04	2:12
直达特快	过Z282	杭州	包头	2:10	2:17
直达特快	过Z284	包头	杭州	2:14	2:35
快速	过K736	洛阳	上海	2:27	2:41
快速	过K1624	武昌	连云港东	2:37	3:04
快速	过K48	杭州	齐齐哈尔	2:35	3:08
直达特快	过Z304	上海	伊宁	3:09	3:17
快速	过K566	太原	海门	3:07	3:20
快速	过K1598	烟台	郑州	3:18	3:30
特快	过T215	北京	泰州	3:18	3:31
特快	过T35	北京	合肥	3:24	3:39
快速	过K492	昆明	济南	3:24	3:43
普快	过1551	太原	连云港东	3:30	3:45
动车组	过D782	杭州	青岛北	3:33	3:53
快速	过K1130	烟台	宝鸡	3:36	4:01
快速	过K188	上海	沈阳北	3:57	4:04
特快	过T109	北京	上海	3:43	4:11
快速	过K1332	上海	银川	4:03	4:11
快速	过K612	南昌	连云港东	4:02	4:16
快速	过K878	烟台	昆明	4:20	4:30
直达特快	过Z158	哈尔滨西	泰州	4:26	4:41
直达特快	过Z106	乌鲁木齐	济南	4:26	4:47
快速	过K559	延安	上海	4:33	4:48
快速	过K282	上海	成都	4:45	4:53
普快	过1228	上海	阜新南	4:39	4:53
快速	过K849	保定	上海	4:46	4:54
快速	过K2665	临汾	苏州	4:51	5:00
快速	过K8356	上海	连云港东	5:00	5:07
快速	过K374	太原	上海	5:01	5:12
快速	过K102	温州	北京	4:51	5:20
动车组	过D310	上海	兰州西	5:12	5:22
动车组	过D306	上海	西安北	5:18	5:28
快速	过K1196	青岛北	襄阳	5:11	5:34
快速	过K336	宁波	长春	5:27	5:40
直达特快	过Z166	拉萨	上海	5:43	5:56
直达特快	过Z42	乌鲁木齐	上海	5:54	6:02
直达特快	过Z267	呼和浩特	上海	5:58	6:08
特快	过T131	大连	上海	6:05	6:14
快速	过K552	温州	牡丹江	6:02	6:22
快速	过K420	兰州	扬州	6:10	6:25
特快	过T136	宁波	济南	6:16	6:30
快速	过K1198	襄阳	青岛北	6:18	6:38
特快	过T118	兰州	上海	6:29	6:40
快速	始K8399	徐州	连云港东	-	6:42
直达特快	过Z254	西安	上海	6:42	6:50
普快	过1148	宝鸡	连云港东	6:50	6:56
快速	过K8352	杭州	连云港东	6:57	7:03
直达特快	过Z174	哈尔滨西	上海	7:04	7:10
直达特快	过Z368	哈尔滨西	南京	6:51	7:16
快速	过K190	沈阳北	上海	7:55	8:11
快速	过K1331	银川	上海	8:09	8:17
直达特快	过Z218	兰州	上海	8:33	8:40
快速	终K1092	福州	徐州	8:42	-
直达特快	过Z306	伊宁	上海	9:01	9:16
快速	终K675	广州东	徐州	9:20	-
特快	过T114	兰州	杭州	9:14	9:22
快速	终K8432	上海	徐州	9:22	-
快速	过K8418	连云港东	合肥	9:08	9:23
特快	过T244	齐齐哈尔	合肥	9:21	9:32
快速	过K8414	连云港东	合肥	9:23	9:32
快速	终K302	广州	徐州	9:47	-
快速	过K101	北京	温州	9:51	10:03
普快	过1230	阜新南	上海	9:57	10:09
快速	始K8599	徐州	南通	-	11:10
快速	过K16	重庆西	济南	10:54	11:11
普快	过1552	连云港东	太原	11:31	11:41
快速	终K8380	连云港东	徐州	11:42	-
快速	过K348	温州	沈阳北	11:34	11:54
快速	过K771	济南	南通	11:43	11:55
快速	过K15	济南	重庆西	11:49	12:04
快速	始K8373	徐州	连云港东	-	14:05
快速	过K1986	吉林	南通	14:12	14:27
快速	过K772	南通	济南	14:26	14:39
快速	过K304	连云港东	广州	14:33	14:58
快速	始K8379	徐州	连云港东	-	15:20
快速	过K491	济南	昆明	15:07	15:23
快速	过K554	牡丹江	温州	15:20	15:31
快速	过K8412	芜湖	连云港东	15:14	15:38
快速	过K346	沈阳北	温州	15:27	15:38
快速	过K1805	银川	杭州	15:50	16:20
直达特快	过Z376	上海	西宁	16:55	17:03
快速	过K290	上海	成都	17:17	17:26
快速	始K8395	徐州	连云港东	-	17:31
快速	过K1142	启东	洛阳	17:23	17:38
快速	过K360	上海	银川	17:45	17:53
快速	过K1984	南通	吉林	17:39	17:57
快速	过K1150	昆山	新乡	17:52	18:00
快速	始K677	徐州	广州东	-	18:21
快速	终K8600	南通	徐州	18:29	-
快速	始K1091	徐州	福州	-	18:42
快速	过K245	扬州	成都	18:35	18:50
快速	过K646	福州	北京	18:58	19:15
特快	过T112	杭州	兰州	19:14	19:26
快速	过K564	海门	太原	19:18	19:40
快速	过K1538	乌鲁木齐	南京	19:14	19:40
快速	过K1352	乌鲁木齐	连云港东	19:14	19:40
快速	过K8354	连云港东	杭州	19:34	19:46
普快	过1150	连云港东	宝鸡	19:40	19:52
快速	过K1626	连云港东	武昌	19:47	20:00
快速	过K1511	聊城	金华	19:44	20:04
