列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	始G452	徐州东	青岛	-	6:35
高速动车	始G1741	徐州东	长沙南	-	6:38
高速动车	始G7665	徐州东	温州南	-	6:43
高速动车	始G7589	徐州东	宁波	-	6:53
高速动车	始G1669	徐州东	厦门北	-	6:58
动车组	始D5681	徐州东	连云港	-	7:00
高速动车	始G7611	徐州东	宁波	-	7:05
高速动车	始G7627	徐州东	苍南	-	7:15
高速动车	始G1665	徐州东	南昌西	-	7:20
高速动车	始G7289	徐州东	上海	-	7:28
高速动车	过G7412	淮北	六安	7:35	7:38
高速动车	始G7599	徐州东	苍南	-	7:43
动车组	始D5667	徐州东	盐城	-	7:50
高速动车	过G7294	淮北	上海	7:50	7:53
高速动车	始G2207	徐州东	重庆西	-	8:00
高速动车	过G7794	淮安东	黄山北	7:41	8:00
高速动车	过G1568	商丘	北京南	7:44	8:04
高速动车	过G2661	济南西	上海虹桥	7:53	8:12
高速动车	始G7605	徐州东	杭州东	-	8:17
高速动车	过G202	淮北	北京南	8:00	8:20
高速动车	过G345	济南西	福州	8:21	8:23
高速动车	过G246	合肥南	青岛	8:24	8:26
高速动车	过G1833	济南西	兰州西	8:04	8:30
高速动车	过G61	济南西	南昌西	8:32	8:34
高速动车	始G7619	徐州东	温州南	-	8:39
高速动车	过G1831	济南西	重庆西	8:25	8:45
高速动车	过G300	济南东	上海虹桥	8:43	8:45
高速动车	过G262	合肥南	北京南	8:47	8:49
高速动车	过G7698	淮北	江山	8:48	8:51
高速动车	过G204	宜兴	北京南	8:51	8:53
高速动车	过G343	济南	温州南	8:55	8:57
高速动车	过G2688	盐城	贵阳北	8:56	9:02
高速动车	过G456	上海虹桥	荣成	8:56	9:02
高速动车	过G1970	上海虹桥	兰州西	9:01	9:07
高速动车	始G7299	徐州东	上海	-	9:07
高速动车	过G279	济南西	深圳北	9:00	9:20
高速动车	过G1570	盐城	北京南	9:17	9:22
高速动车	过G1802	上海虹桥	郑州东	9:12	9:25
高速动车	过G102	上海虹桥	北京南	9:26	9:28
高速动车	过G1734	济南东	温州南	9:22	9:29
高速动车	过G104	上海虹桥	北京南	9:31	9:33
高速动车	过G370	郑州	上海虹桥	9:30	9:34
高速动车	过G468	济南东	贵阳北	9:16	9:37
高速动车	过G1886	南京南	重庆西	9:37	9:42
高速动车	过G222	上海	青岛北	9:41	9:46
高速动车	过G51	天津西	宁波	9:48	9:50
高速动车	过G1892	郑州东	杭州	9:56	9:58
高速动车	过G2068	济南东	南宁东	9:44	10:03
高速动车	过G261	北京南	六安	10:06	10:08
高速动车	过G34	杭州东	北京南	9:53	10:09
高速动车	过G106	上海虹桥	北京南	9:57	10:16
动车组	终D5691	连云港	徐州东	10:17	-
高速动车	过G1808	许昌东	上海虹桥	10:11	10:21
高速动车	过G1862	杭州东	太原南	10:14	10:21
高速动车	过G1974	上海虹桥	重庆西	10:18	10:25
高速动车	过G57	北京南	宁波	10:16	10:25
高速动车	过G108	上海虹桥	北京南	10:27	10:29
高速动车	过G105	北京南	上海虹桥	10:27	10:30
高速动车	过G1914	西安北	上海虹桥	10:29	10:34
高速动车	过G1852	郑州东	青岛北	10:33	10:37
高速动车	过G120	上海虹桥	北京南	10:37	10:40
高速动车	过G110	嘉兴南	北京南	10:41	10:44
动车组	始D5669	徐州东	盐城	-	10:45
高速动车	过G1812	洛阳龙门	上海虹桥	10:39	10:46
高速动车	过G266	六安	北京南	10:46	10:48
高速动车	过G265	北京南	黄山北	10:48	10:50
高速动车	过G2668	杭州东	烟台	10:51	10:53
高速动车	过G278	青岛	广州南	10:38	10:53
高速动车	过G284	青岛	杭州	10:53	10:55
高速动车	过G107	北京南	上海虹桥	10:58	11:00
高速动车	过G360	上海虹桥	西安北	11:01	11:06
高速动车	过G112	上海虹桥	北京南	10:56	11:07
高速动车	过G224	青岛	上海虹桥	11:02	11:07
高速动车	过G258	武汉	青岛	10:44	11:11
动车组	终D5668	盐城	徐州东	11:14	-
高速动车	过G1232	上海虹桥	丹东	11:14	11:16
高速动车	过G114	上海虹桥	北京南	11:18	11:20
高速动车	过G55	北京南	福州	11:12	11:21
高速动车	过G352	黄山北	北京南	11:26	11:29
高速动车	过G1224	宁波	沈阳北	11:30	11:33
高速动车	过G58	台州	北京南	11:34	11:37
动车组	始D5671	徐州东	盐城	-	11:40
高速动车	过G263	北京南	合肥南	11:41	11:43
高速动车	过G1900	西安北	义乌	11:44	11:47
高速动车	过G113	北京南	上海虹桥	11:51	11:53
高速动车	过G36	诸暨	北京南	11:52	11:54
高速动车	过G1866	宁波	郑州东	11:56	11:59
高速动车	过G355	北京南	厦门北	11:55	12:00
高速动车	过G318	青岛	重庆北	11:45	12:05
高速动车	过G230	上海虹桥	青岛	12:01	12:07
高速动车	过G2678	西安北	连云港	12:03	12:08
动车组	终D5670	盐城	徐州东	12:13	-
高速动车	过G1236	上海虹桥	吉林	12:14	12:19
高速动车	过G1806	上海虹桥	郑州东	12:18	12:20
高速动车	过G362	西安北	上海虹桥	12:13	12:20
高速动车	过G1920	上海虹桥	西安北	12:22	12:25
动车组	终D5683	连云港	徐州东	12:26	-
高速动车	过G1813	安阳东	上海虹桥	12:25	12:27
高速动车	过G54	上海虹桥	石家庄	12:26	12:28
动车组	始D5673	徐州东	盐城	-	12:31
高速动车	过G116	上海虹桥	北京南	12:30	12:32
高速动车	过G244	青岛	厦门	12:27	12:36
高速动车	过G46	江山	北京南	12:34	12:36
高速动车	过G1274	福州	沈阳南	12:38	12:40
高速动车	过G1204	上海虹桥	哈尔滨西	12:42	12:44
高速动车	过G2815	石家庄	杭州东	12:41	12:48
动车组	始D5685	徐州东	连云港	-	12:49
高速动车	过G1844	西安北	荣成	12:32	12:51
高速动车	过G1872	郑州东	杭州	12:47	12:52
高速动车	过G33	北京南	南昌西	12:53	12:56
高速动车	过G2641	济南西	盐城	12:57	13:01
高速动车	过G1838	青岛	重庆西	12:59	13:03
高速动车	过G119	北京南	上海虹桥	13:05	13:07
高速动车	过G302	福州	北京南	12:57	13:11
高速动车	过G329	天津西	福州	13:09	13:11
高速动车	过G42	杭州东	北京南	13:13	13:15
高速动车	过G323	北京南	厦门北	13:15	13:17
高速动车	过G2682	盐城	重庆西	13:12	13:18
高速动车	过G2082	武汉	威海	13:01	13:20
高速动车	过G31	北京南	千岛湖	13:21	13:23
高速动车	过G1214	上海虹桥	长春西	13:17	13:24
高速动车	过G124	上海虹桥	北京南	13:25	13:28
高速动车	过G1258	上海虹桥	长春西	13:30	13:32
高速动车	过G232	青岛	上海虹桥	13:33	13:35
高速动车	过G122	上海虹桥	北京南	13:35	13:38
高速动车	过G121	北京南	上海虹桥	13:39	13:41
高速动车	过G162	安庆	北京南	13:40	13:42
高速动车	过G1918	西安北	上海虹桥	13:38	13:46
高速动车	过G7428	芜湖	淮北	13:44	13:49
高速动车	过G274	宁波	北京南	13:48	13:50
高速动车	过G301	北京南	福州南	13:50	13:52
高速动车	过G420	宁波	北京南	13:53	13:55
高速动车	过G445	天津西	杭州东	13:54	13:57
高速动车	过G163	北京南	苍南	14:12	14:14
高速动车	过G2686	兰州西	威海	14:17	14:21
高速动车	过G1252	上海虹桥	大连北	14:10	14:22
高速动车	过G130	上海	北京南	14:23	14:26
高速动车	过G462	烟台	上海虹桥	14:21	14:28
高速动车	过G1228	苍南	沈阳北	14:31	14:33
