列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K956	青岛北	白城	0:10	0:13
快速	过K258	成都	天津	0:10	0:33
快速	过K646	福州	北京	0:35	0:39
快速	过K702	青岛北	哈尔滨西	0:50	0:52
直达特快	过Z366	南京	哈尔滨西	0:56	0:58
直达特快	过Z160	日照	北京	1:02	1:04
特快	过T131	大连	上海	1:03	1:05
快速	过K1054	青岛北	吉林	1:09	1:17
快速	过K882	青岛北	太原	1:20	1:23
快速	过K520	太原	秦皇岛	0:58	1:26
直达特快	过Z267	呼和浩特	上海	1:27	1:29
快速	过K1392	烟台	佳木斯	1:27	1:43
快速	过K868	唐山	临汾	1:20	1:49
直达特快	过Z268	上海	呼和浩特	1:57	1:59
直达特快	过Z176	杭州	哈尔滨西	2:03	2:05
快速	过K1331	银川	上海	2:06	2:15
快速	过K190	沈阳北	上海	2:27	2:30
快速	过K866	运城	唐山	2:00	2:43
直达特快	过Z358	伊宁	济南	3:07	3:16
快速	过K214	西安	天津	3:01	3:28
快速	过K884	太原	青岛北	2:55	3:30
快速	过K101	北京	温州	3:47	3:49
普快	过1230	阜新南	上海	4:19	4:21
快速	过K411	北京	威海	4:33	4:35
直达特快	过Z172	上海	哈尔滨西	5:09	5:12
特快	过T110	上海	北京	5:49	5:51
快速	过K1806	杭州	银川	6:01	6:19
特快	过T217	泰州	北京	6:14	6:51
直达特快	过Z282	杭州	包头	6:53	6:57
快速	过K372	上海	太原	7:03	7:12
快速	过K412	威海	北京	7:40	7:43
快速	过K1986	吉林	南通	7:50	7:55
快速	过K1056	吉林	青岛北	8:12	8:14
快速	过K704	哈尔滨西	青岛北	8:22	8:24
快速	过K958	白城	青岛北	8:33	8:35
快速	过K286	烟台	北京	8:38	8:41
快速	过K346	沈阳北	温州	8:48	8:51
快速	过K1285	银川	青岛北	9:01	9:03
快速	过K1805	银川	杭州	9:09	9:12
快速	过K554	牡丹江	温州	9:21	9:23
快速	过K188	上海	沈阳北	9:22	9:24
快速	过K972	通化	青岛北	9:42	9:45
快速	过K7709	天津	石家庄北	9:29	9:52
快速	过K48	杭州	齐齐哈尔	9:58	10:01
快速	过K1332	上海	银川	10:25	10:28
快速	过K5203	天津	潞城	10:08	10:34
直达特快	过Z356	济南	伊宁	10:32	10:40
快速	过K1786	东营南	北京	11:01	11:03
快速	过K102	温州	北京	11:09	11:12
普快	过1228	上海	阜新南	11:18	11:39
快速	过K552	温州	牡丹江	11:45	11:49
快速	过K336	宁波	长春	11:52	11:57
直达特快	过Z178	哈尔滨西	杭州	14:41	14:43
快速	过K335	长春	宁波	14:59	15:02
快速	过K50	齐齐哈尔	杭州	15:12	15:14
快速	终K7729	北京	德州	15:28	-
快速	过K645	北京	福州	15:50	15:53
快速	过K296	齐齐哈尔	济南	16:13	16:16
快速	始K7730	德州	北京	-	16:22
普快	过1461	北京	上海	16:46	16:49
快速	过K970	青岛北	通化	16:48	16:53
快速	过K7710	石家庄北	天津	16:40	17:07
快速	过K213	天津	西安	17:32	17:55
快速	过K348	温州	沈阳北	18:20	18:23
快速	过K5204	潞城	天津	18:35	19:05
快速	过K1785	北京	东营南	19:02	19:05
快速	过K1286	青岛北	银川	19:04	19:08
快速	过K257	天津	成都	19:17	19:40
快速	过K294	济南	齐齐哈尔	21:18	21:22
快速	过K285	北京	烟台	21:34	21:37
快速	过K1450	日照	牡丹江	22:09	22:16
动车组	过D717	北京	杭州	22:19	22:21
快速	过K374	太原	上海	22:48	22:52
快速	过K1984	南通	吉林	22:50	22:52
快速	过K1452	牡丹江	日照	22:56	22:58
特快	过T215	北京	泰州	23:16	23:19
特快	过T109	北京	上海	23:37	23:40
