列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	始G8936	德州东	北京南	-	7:15
高速动车	过G51	天津西	宁波	7:51	7:53
高速动车	过G334	济南	北京南	7:57	7:59
高速动车	过G101	北京南	上海虹桥	7:56	8:02
高速动车	过G471	北京南	烟台	8:24	8:26
高速动车	过G261	北京南	六安	8:28	8:30
高速动车	过G1244	济南	沈阳北	8:30	8:32
高速动车	过G57	北京南	宁波	8:36	8:38
高速动车	过G2059	石家庄	盐城	8:34	8:38
高速动车	过G105	北京南	上海虹桥	8:40	8:43
高速动车	过G391	临沂北	大连北	8:44	8:46
高速动车	过G481	北京南	盐城	8:45	8:47
高速动车	过G338	泰安	北京南	8:48	8:51
动车组	过D1621	石家庄	荣成	8:51	8:53
高速动车	过G1587	临沂北	北京南	8:53	8:56
高速动车	过G177	北京南	青岛北	8:57	8:59
动车组	过D1611	石家庄	青岛北	9:16	9:19
高速动车	过G1268	青岛北	延吉西	9:16	9:22
高速动车	过G107	北京南	上海虹桥	9:20	9:22
高速动车	过G55	北京南	福州	9:24	9:26
高速动车	过G1208	青岛北	哈尔滨西	9:26	9:29
高速动车	过G469	北京南	威海	9:33	9:35
高速动车	过G176	潍坊	北京南	9:33	9:38
动车组	过D1623	石家庄	威海	9:51	9:53
高速动车	过G1568	商丘	北京南	9:47	9:57
动车组	过D1644	济南西	运城北	9:57	9:59
高速动车	过G263	北京南	合肥南	9:59	10:04
高速动车	过G202	淮北	北京南	10:04	10:06
高速动车	过G1842	青岛北	兰州西	10:04	10:06
高速动车	过G355	北京南	厦门北	10:12	10:14
动车组	过D1601	石家庄	济南西	10:23	10:30
高速动车	过G178	青岛	北京南	10:35	10:37
高速动车	过G115	北京南	上海虹桥	10:41	10:43
高速动车	过G180	青岛北	北京南	10:44	10:48
高速动车	过G179	北京南	青岛	10:48	10:50
高速动车	过G204	宜兴	北京南	10:51	10:53
高速动车	过G27	北京南	福州	10:59	11:05
高速动车	过G2058	济南西	广州南	11:03	11:06
高速动车	过G33	北京南	南昌西	11:14	11:16
高速动车	过G119	北京南	上海虹桥	11:18	11:20
高速动车	过G472	烟台	北京南	11:20	11:24
高速动车	过G329	天津西	福州	11:23	11:25
高速动车	过G1570	盐城	北京南	11:12	11:28
高速动车	过G323	北京南	厦门北	11:30	11:32
高速动车	过G2070	郑州东	青岛北	11:26	11:32
高速动车	过G1248	青岛北	沈阳北	11:32	11:34
动车组	过D1636	青岛	运城北	11:36	11:38
高速动车	过G121	北京南	上海虹桥	11:47	11:49
动车组	过D1634	太原南	青岛北	11:51	11:53
高速动车	过G2090	烟台	成都东	11:51	11:55
高速动车	过G171	天津西	青岛	11:51	11:57
高速动车	过G301	北京南	福州南	11:57	12:05
高速动车	过G181	北京南	青岛	12:12	12:14
高速动车	过G163	北京南	苍南	12:16	12:18
动车组	过D1626	烟台	石家庄	12:17	12:19
高速动车	过G445	天津西	杭州东	12:20	12:23
高速动车	过G266	六安	北京南	12:18	12:23
高速动车	过G172	青岛	天津西	12:24	12:28
高速动车	过G125	北京南	上海虹桥	12:30	12:32
高速动车	过G1862	杭州东	太原南	12:32	12:35
高速动车	过G2652	沈阳北	荣成	12:36	12:38
高速动车	过G112	上海虹桥	北京南	12:38	12:40
动车组	过D1604	济南西	石家庄	12:41	12:43
高速动车	过G411	北京南	上海虹桥	12:47	12:49
高速动车	过G2080	运城北	威海	12:50	12:53
高速动车	过G127	北京南	上海虹桥	12:51	12:53
高速动车	过G1272	沈阳南	福州	12:56	12:59
高速动车	过G352	黄山北	北京南	13:07	13:09
高速动车	过G183	北京南	青岛	13:07	13:12
高速动车	过G1222	沈阳北	宁波	13:01	13:16
高速动车	过G473	北京南	烟台	13:21	13:23
高速动车	过G1224	宁波	沈阳北	13:16	13:23
高速动车	过G58	台州	北京南	13:29	13:31
高速动车	过G129	北京南	上海	13:30	13:32
高速动车	过G2094	青岛北	兰州西	13:32	13:34
高速动车	过G36	诸暨	北京南	13:37	13:40
高速动车	过G2632	盐城	沈阳	13:49	13:54
高速动车	过G2622	青岛北	运城北	13:57	13:59
高速动车	过G187	北京南	青岛北	14:02	14:04
高速动车	过G167	北京南	温州南	14:07	14:14
高速动车	过G2052	西安北	威海	14:21	14:23
高速动车	过G133	北京南	上海虹桥	14:21	14:23
高速动车	过G1274	福州	沈阳南	14:18	14:23
高速动车	过G135	北京南	上海虹桥	14:26	14:28
高速动车	过G2654	荣成	沈阳北	14:27	14:31
高速动车	过G189	北京南	青岛	14:31	14:33
高速动车	过G1251	大连北	上海虹桥	14:35	14:37
高速动车	过G173	天津西	青岛	14:40	14:42
动车组	过D1616	威海	石家庄	14:40	14:42
高速动车	过G419	北京南	宁波	14:45	14:47
高速动车	过G137	北京南	上海虹桥	14:49	14:51
高速动车	过G59	北京南	台州	14:54	15:04
高速动车	过G188	青岛	北京南	14:57	15:07
高速动车	过G2078	威海	运城北	15:09	15:12
高速动车	过G2064	太原南	荣成	15:11	15:13
高速动车	过G43	北京南	杭州东	15:18	15:20
高速动车	过G141	北京南	上海虹桥	15:23	15:25
高速动车	过G1212	长春西	上海虹桥	15:28	15:30
高速动车	过G162	安庆	北京南	15:26	15:32
高速动车	过G191	北京南	青岛	15:33	15:35
高速动车	过G190	青岛	北京南	15:38	15:40
高速动车	过G215	天津西	上海虹桥	15:38	15:41
高速动车	过G274	宁波	北京南	15:43	15:45
高速动车	过G2630	沈阳	盐城	15:43	15:45
动车组	过D1603	石家庄	济南西	15:48	15:52
高速动车	过G192	青岛北	北京南	15:50	15:54
高速动车	过G2054	威海	西安北	15:58	16:01
高速动车	过G1864	太原南	杭州东	15:56	16:01
高速动车	过G420	宁波	北京南	15:58	16:03
高速动车	过G130	上海	北京南	16:08	16:10
动车组	过D1615	石家庄	威海	16:11	16:15
高速动车	过G1228	苍南	沈阳北	16:14	16:16
高速动车	过G2624	运城北	青岛北	16:24	16:26
高速动车	过G264	合肥南	北京南	16:29	16:34
高速动车	过G38	南昌西	北京南	16:40	16:42
高速动车	过G168	温州南	北京南	16:44	16:46
高速动车	过G45	北京南	江山	16:45	16:47
高速动车	过G351	北京南	黄山北	16:50	16:52
高速动车	过G132	上海虹桥	北京南	16:56	16:58
高速动车	过G475	北京南	荣成	16:55	17:05
高速动车	过G322	厦门北	北京南	17:06	17:09
高速动车	过G1266	延吉西	青岛北	16:59	17:09
动车组	过D1638	运城北	青岛	17:12	17:14
高速动车	过G155	北京南	嘉兴南	17:12	17:15
高速动车	过G147	北京南	上海虹桥	17:21	17:23
高速动车	过G195	北京南	青岛	17:31	17:33
高速动车	过G56	福州	北京南	17:35	17:37
高速动车	过G37	北京南	杭州东	17:35	17:37
高速动车	过G1234	吉林	上海虹桥	17:42	17:44
高速动车	过G2056	广州南	济南西	17:42	17:45
高速动车	过G478	荣成	北京南	17:39	17:46
高速动车	过G273	北京南	宁波	17:48	17:50
动车组	过D1612	青岛北	石家庄	17:47	17:50
高速动车	过G1230	丹东	上海虹桥	17:52	17:54
高速动车	过G2072	青岛北	郑州东	17:57	17:59
动车组	过D1625	石家庄	烟台	17:58	18:01
高速动车	过G416	上海	北京南	17:50	18:02
高速动车	过G169	北京南	上海虹桥	17:57	18:06
动车组	过D1606	济南西	石家庄	18:06	18:08
高速动车	过G140	上海虹桥	北京南	18:07	18:09
高速动车	过G1840	兰州西	青岛北	18:06	18:12
高速动车	过G197	北京南	青岛	18:14	18:16
高速动车	过G151	北京南	上海虹桥	18:18	18:20
高速动车	过G330	福州	天津西	18:13	18:25
高速动车	过G2062	荣成	太原南	18:22	18:26
高速动车	过G164	苍南	北京南	18:29	18:33
高速动车	过G470	威海	北京南	18:41	18:43
高速动车	过G199	北京南	青岛	18:41	18:45
高速动车	过G2096	兰州西	青岛北	18:45	18:47
高速动车	过G267	北京南	合肥南	18:51	18:53
高速动车	过G142	上海虹桥	北京南	18:46	18:56
高速动车	过G157	北京南	上海虹桥	18:56	19:02
高速动车	过G52	宁波	天津西	19:13	19:15
高速动车	过G174	青岛	天津西	19:31	19:41
动车组	过D1632	青岛北	太原南	19:39	19:42
高速动车	过G2088	成都东	烟台	19:48	19:50
高速动车	过G331	北京南	济南西	19:50	19:52
高速动车	过G170	上海虹桥	北京南	20:01	20:03
高速动车	过G203	北京南	南京南	19:55	20:12
高速动车	过G482	盐城	北京南	20:23	20:32
高速动车	过G269	北京南	合肥南	20:35	20:37
高速动车	过G2060	盐城	石家庄	20:44	20:47
高速动车	过G152	上海虹桥	北京南	20:49	20:51
高速动车	过G356	厦门北	北京南	20:53	20:56
高速动车	过G207	北京南	徐州东	20:55	20:57
高速动车	过G389	大连北	临沂北	21:05	21:09
动车组	过D1622	荣成	石家庄	21:17	21:19
高速动车	过G1585	北京南	临沂北	21:30	21:32
高速动车	过G333	北京南	济南西	21:34	21:36
高速动车	过G341	北京南	济南西	21:41	21:43
动车组	过D1624	威海	石家庄	21:41	21:43
动车组	过D1646	运城北	济南西	22:01	22:03
高速动车	过G337	北京南	济南西	22:28	22:30
高速动车	终G8935	北京南	德州东	23:00	-
