列车类型	车次	始发站	终到站	到站时间	发车时间
快速	终K1363	北京西	成都	5:01	-
快速	终K257	天津	成都	5:10	-
快速	终K208	青岛	成都	5:20	-
快速	终K195	呼和浩特东	成都	5:39	-
快速	终K351	上海南	成都	5:55	-
城际动车	始C6103	成都	都江堰	-	6:00
城际动车	始C5551	成都	离堆公园	-	6:15
直达特快	终Z324	拉萨	成都	6:26	-
城际动车	始C6051	成都	彭州	-	6:39
快速	终K9421	巴中	成都	7:00	-
城际动车	始C6105	成都	青城山	-	7:03
快速	始K196	成都	呼和浩特东	-	7:10
快速	始K546	成都	哈尔滨	-	7:37
快速	终K388	沈阳北	成都	8:03	-
快速	始K1158	成都	上海	-	8:29
快速	终K282	上海	成都	8:35	-
快速	始K194	成都	广州	-	8:37
特快	始T8	成都	北京西	-	8:40
城际动车	终C6110	青城山	成都	8:49	-
直达特快	终Z49	北京西	成都	8:56	-
快速	终K2060	乌鲁木齐	成都	9:00	-
城际动车	始C6113	成都	青城山	-	9:16
快速	终K192	广州	成都	9:31	-
快速	终K2634	西宁	成都	10:28	-
快速	终K454	喀什	成都	10:59	-
快速	终K858	兰州西	成都	11:10	-
快速	始K424	成都	宁波	-	11:15
直达特快	始Z50	成都	北京西	-	11:37
快速	始K856	成都	兰州	-	12:10
快速	终K1060	格尔木	成都	12:25	-
快速	终K817	北京西	成都	12:32	-
直达特快	终Z392	福州	成都	12:38	-
快速	终K142	南宁	成都	12:42	-
快速	始K386	成都	沈阳北	-	12:53
快速	终K1615	银川	成都	13:51	-
快速	始K144	成都	南宁	-	14:00
直达特快	始Z390	成都	福州	-	14:05
快速	始K258	成都	天津	-	14:35
快速	始K1616	成都	银川	-	15:03
快速	始K452	成都	喀什	-	15:55
快速	终K996	海拉尔	成都	16:10	-
快速	终K117	北京西	成都	16:21	-
直达特快	始Z124	成都	广州	-	16:23
快速	终K422	宁波	成都	16:48	-
快速	终K1156	上海	成都	17:01	-
快速	始K206	成都	青岛	-	17:10
特快	终T128	东莞东	成都	17:23	-
快速	始K292	成都	上海	-	17:50
快速	始K2632	成都	西宁	-	18:26
快速	终K290	上海	成都	18:58	-
城际动车	终C6090	彭州	成都	18:59	-
快速	始K284	成都	上海	-	19:03
快速	始K818	成都	北京西	-	19:06
城际动车	终C5564	离堆公园	成都	19:09	-
快速	终K2618	兰州	成都	19:15	-
城际动车	始C5565	成都	离堆公园	-	19:35
城际动车	终C6168	青城山	成都	19:43	-
快速	始K2058	成都	乌鲁木齐	-	20:08
快速	始K2616	成都	兰州	-	20:26
特快	终T7	北京西	成都	20:36	-
快速	始K352	成都	上海南	-	21:00
快速	始K246	成都	扬州	-	21:28
直达特快	始Z322	成都	拉萨	-	21:37
快速	始K1058	成都	格尔木	-	21:47
城际动车	终C6180	青城山	成都	21:48	-
快速	终K548	哈尔滨	成都	21:55	-
城际动车	终C5566	离堆公园	成都	22:00	-
快速	始K998	成都	海拉尔	-	22:05
快速	始K1364	成都	北京西	-	22:30
特快	始T126	成都	东莞东	-	22:50
快速	始K9422	成都	巴中	-	22:59
快速	终K245	扬州	成都	23:15	-
城际动车	终C6186	青城山	成都	23:27	-
快速	始K118	成都	北京西	-	23:30
直达特快	终Z122	广州	成都	23:59	-
