列车类型	车次	始发站	终到站	到站时间	发车时间
城际动车	始C6204	成都东	江油	-	6:00
城际动车	始C6224	成都东	绵阳	-	6:05
高速动车	始G2195	成都东	上海虹桥	-	6:13
城际动车	始C6273	成都东	峨眉山	-	6:20
动车组	始D2244	成都东	福州	-	6:20
城际动车	始C5804	成都东	阆中	-	6:30
城际动车	始C6206	成都东	江油	-	6:30
城际动车	始C5971	成都东	贵阳北	-	6:35
城际动车	始C5742	成都东	达州	-	6:40
城际动车	始C5651	成都东	宜宾西	-	6:43
动车组	始D1781	成都东	南宁东	-	6:56
动车组	始D620	成都东	武汉	-	7:00
高速动车	始G350	成都东	北京西	-	7:00
动车组	始D1841	成都东	珠海	-	7:03
高速动车	始G2371	成都东	厦门北	-	7:06
动车组	始D638	成都东	上海虹桥	-	7:10
动车组	始D1902	成都东	太原南	-	7:12
城际动车	始C6208	成都东	德阳	-	7:17
城际动车	始C5782	成都东	巴中	-	7:20
城际动车	始C6269	成都东	峨眉山	-	7:25
高速动车	始G8543	成都东	沙坪坝	-	7:25
城际动车	终C6277	江油	成都东	7:29	-
高速动车	始G1755	成都东	福州南	-	7:30
快速	终K1256	温州	成都东	7:33	-
动车组	始D2224	成都东	杭州东	-	7:35
高速动车	始G2837	成都东	大理	-	7:35
高速动车	终G8588	重庆西	成都东	7:38	-
高速动车	始G8541	成都东	沙坪坝	-	7:40
动车组	始D1812	成都东	广州南	-	7:41
动车组	始D954	成都东	上海	-	7:47
动车组	过D1779	绵阳	北海	7:39	7:48
高速动车	始G2277	成都东	厦门北	-	7:49
动车组	始D1904	成都东	太原南	-	7:52
动车组	始D5182	成都东	达州	-	7:52
城际动车	始C6251	成都东	峨眉山	-	7:55
动车组	始D354	成都东	上海虹桥	-	7:57
城际动车	终C6227	绵阳	成都东	8:00	-
高速动车	始G2803	成都东	昆明南	-	8:00
高速动车	始G2204	成都东	郑州东	-	8:02
城际动车	终C5771	南充	成都东	8:05	-
动车组	始D2208	成都东	上海虹桥	-	8:07
动车组	过D1912	峨眉山	西安北	8:04	8:09
城际动车	始C6017	成都东	成都东	-	8:10
动车组	始D2256	成都东	宜兴	-	8:13
动车组	始D1801	成都东	广州南	-	8:15
高速动车	始G1983	成都东	苍南	-	8:21
城际动车	始C5744	成都东	达州	-	8:23
高速动车	过G2232	重庆西	西安北	8:23	8:27
动车组	过D1859	德阳	广州	8:17	8:28
城际动车	终C6252	眉山东	成都东	8:29	-
城际动车	始C5768	成都东	广安南	-	8:30
高速动车	终G8594	重庆西	成都东	8:30	-
城际动车	始C6226	成都东	绵阳	-	8:36
高速动车	始G8781	成都东	万州北	-	8:40
城际动车	过C6301	江油	宜宾西	8:40	8:45
高速动车	始G2883	成都东	昆明南	-	8:50
城际动车	终C6272	眉山东	成都东	8:52	-
城际动车	始C6253	成都东	峨眉山	-	8:57
动车组	始D1918	成都东	西安北	-	9:00
高速动车	始G8613	成都东	资中北	-	9:01
城际动车	终C6256	乐山	成都东	9:06	-
高速动车	过G8653	江油	贵阳北	8:57	9:07
高速动车	始G1282	成都东	沈阳北	-	9:08
动车组	始D2264	成都东	杭州东	-	9:09
高速动车	始G2801	成都东	昆明南	-	9:13
动车组	始D1920	成都东	西安北	-	9:17
动车组	始D2238	成都东	南昌	-	9:18
城际动车	过C6322	峨眉山	德阳	9:13	9:22
动车组	始D2374	成都东	南京南	-	9:24
高速动车	始G2191	成都东	上海虹桥	-	9:24
城际动车	过C6316	峨眉山	绵阳	9:22	9:27
高速动车	终G8542	沙坪坝	成都东	9:28	-
高速动车	过G8751	德阳	重庆北	9:19	9:28
快速	始K1258	成都东	温州	-	9:30
高速动车	始G2187	成都东	杭州东	-	9:36
城际动车	终C5759	营山	成都东	9:38	-
高速动车	过G1836	重庆西	青岛	9:34	9:40
城际动车	过C6303	江油	峨眉山	9:34	9:44
高速动车	始G2885	成都东	昆明南	-	9:46
高速动车	始G4511	成都东	福田	-	9:50
城际动车	始C5770	成都东	广安南	-	9:56
城际动车	过C6305	广元	眉山东	9:41	9:58
高速动车	始G8501	成都东	重庆北	-	10:00
城际动车	终C5761	广安南	成都东	10:04	-
高速动车	终G8783	万州北	成都东	10:08	-
动车组	过D1855	绵阳	广州	9:58	10:10
动车组	终D5101	重庆北	成都东	10:10	-
高速动车	始G8615	成都东	隆昌北	-	10:10
高速动车	始G2088	成都东	烟台	-	10:11
动车组	始D1820	成都东	广州南	-	10:12
城际动车	终C5741	达州	成都东	10:20	-
城际动车	终C6270	峨眉山	成都东	10:21	-
动车组	始D2260	成都东	汉口	-	10:22
城际动车	始C6275	成都东	乐山	-	10:23
高速动车	过G574	重庆西	北京西	10:15	10:23
城际动车	始C5746	成都东	达州	-	10:27
动车组	始D1922	成都东	西安北	-	10:30
高速动车	终G8544	沙坪坝	成都东	10:32	-
城际动车	终C5791	重庆北	成都东	10:35	-
城际动车	始C5748	成都东	达州	-	10:38
高速动车	始G8545	成都东	沙坪坝	-	10:38
高速动车	始G1702	成都东	秦皇岛	-	10:43
城际动车	终C6229	绵阳	成都东	10:48	-
城际动车	终C5654	宜宾西	成都东	10:49	-
高速动车	始G308	成都东	北京西	-	10:49
高速动车	始G8705	成都东	万州北	-	10:50
快速	终K502	长沙	成都东	10:50	-
动车组	始D368	成都东	武汉	-	10:52
高速动车	终G8548	沙坪坝	成都东	10:52	-
高速动车	过G1976	重庆西	上海虹桥	10:46	10:56
城际动车	过C6307	苍溪	峨眉山	10:55	11:00
城际动车	始C5750	成都东	达州	-	11:02
高速动车	过G2680	重庆西	盐城	10:58	11:02
高速动车	终G8502	重庆北	成都东	11:04	-
城际动车	始C5655	成都东	宜宾西	-	11:07
城际动车	始C6228	成都东	德阳	-	11:09
城际动车	过C6325	德阳	双流机场	11:01	11:12
高速动车	终G8614	资中北	成都东	11:15	-
城际动车	终C5974	贵阳北	成都东	11:16	-
城际动车	过C6319	绵阳	乐山	11:09	11:18
动车组	终D1911	西安北	成都东	11:18	-
高速动车	过G1888	重庆西	南京南	11:09	11:20
城际动车	终C5806	阆中	成都东	11:22	-
高速动车	始G8509	成都东	重庆北	-	11:26
城际动车	过C6302	眉山东	江油	11:26	11:31
特快	终T246	武昌	成都东	11:34	-
城际动车	始C5772	成都东	广安南	-	11:36
高速动车	终G8546	沙坪坝	成都东	11:37	-
城际动车	终C5976	贵阳北	成都东	11:38	-
高速动车	始G8565	成都东	沙坪坝	-	11:39
动车组	始D1761	成都东	广州南	-	11:40
高速动车	终G8723	长寿北	成都东	11:43	-
动车组	终D1913	西安北	成都东	11:47	-
动车组	终D5181	达州	成都东	11:53	-
高速动车	始G8567	成都东	沙坪坝	-	11:53
动车组	始D768	成都东	西宁	-	11:56
城际动车	终C6260	峨眉山	成都东	11:58	-
高速动车	始G8529	成都东	重庆北	-	11:59
动车组	始D1785	成都东	南宁东	-	12:00
高速动车	过G1832	重庆西	济南西	11:58	12:02
快速	始K504	成都东	长沙	-	12:05
高速动车	过G2855	西安北	南宁东	11:57	12:06
动车组	始D1926	成都东	西安北	-	12:08
城际动车	终C5978	贵阳北	成都东	12:12	-
城际动车	过C6324	双流机场	德阳	12:06	12:14
高速动车	始G8507	成都东	重庆北	-	12:15
动车组	终D1917	西安北	成都东	12:17	-
城际动车	终C5980	贵阳北	成都东	12:18	-
城际动车	始C6255	成都东	峨眉山	-	12:21
高速动车	过G1710	重庆西	天津西	12:23	12:28
动车组	始D5184	成都东	达州	-	12:30
动车组	终D1915	西安北	成都东	12:36	-
动车组	始D1763	成都东	广州南	-	12:37
高速动车	终G8616	隆昌北	成都东	12:37	-
动车组	始D1928	成都东	西安北	-	12:40
城际动车	过C6328	乐山	德阳	12:31	12:45
特快	始T248	成都东	武昌	-	12:45
城际动车	始C5975	成都东	贵阳北	-	12:47
城际动车	过C6333	德阳	乐山	12:49	12:54
高速动车	过G2216	重庆西	郑州东	12:48	12:55
快速	终K872	湛江	成都东	12:55	-
动车组	始D1930	成都东	西安北	-	13:00
高速动车	始G8785	成都东	万州北	-	13:00
城际动车	终C5984	贵阳北	成都东	13:02	-
城际动车	过C6304	峨眉山	江油	12:57	13:05
快速	终K787	南昌	成都东	13:05	-
高速动车	过G2206	重庆西	徐州东	13:03	13:11
高速动车	终G8656	贵阳北	成都东	13:17	-
动车组	终D5183	达州	成都东	13:19	-
高速动车	终G2201	郑州东	成都东	13:19	-
高速动车	终G2822	昆明南	成都东	13:19	-
