列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K473	北京	昆明	0:30	0:43
快速	过K234	上海	石家庄	2:17	2:22
快速	过K184	南阳	北京	2:37	2:48
快速	过K257	天津	成都	2:57	3:00
快速	过K268	怀化	北京西	3:39	4:08
快速	过K1102	上海	安阳	4:20	4:26
普快	过2152	日照	郑州	4:13	4:45
快速	过K1363	北京西	成都	4:46	5:05
直达特快	过Z336	南宁	包头	5:04	5:07
快速	终K2276	杭州	新乡	5:50	-
快速	过K179	北京西	郑州	5:42	5:50
快速	过K474	昆明	北京	6:15	6:39
直达特快	过Z90	广州	石家庄	6:44	6:55
快速	过K2286	昆明	长春	6:59	7:19
特快	过T50	宜昌东	北京西	7:26	7:30
快速	过K262	汉中	北京西	7:41	7:47
特快	过T370	广州	大连	8:19	8:21
直达特快	过Z152	西宁	北京西	8:50	8:54
快速	过K386	成都	沈阳北	9:26	9:31
快速	过K7959	安阳	郑州	10:03	10:09
特快	过T369	大连	广州	10:30	10:33
普客	始6905	新乡	长治北	-	10:52
快速	过K7968	郑州	濮阳	11:04	11:10
快速	过K388	沈阳北	成都	11:41	11:44
直达特快	过Z54	昆明	北京西	11:59	12:03
特快	过T124	广州	长春	12:19	12:22
快速	过K598	包头	广州	12:35	12:39
快速	始K7993	新乡	郑州	-	12:45
快速	过K600	广州	包头	12:53	12:57
快速	过K7960	郑州	安阳	13:19	13:29
直达特快	过Z236	广州东	哈尔滨西	13:41	13:44
快速	过K269	北京西	洛阳	14:20	14:33
快速	过K1163	北京西	长治北	14:35	14:46
直达特快	过Z238	哈尔滨西	广州东	14:49	14:53
快速	终K7994	郑州	新乡	15:08	-
快速	过K22	南宁	北京西	15:17	15:20
普客	终6907	长治北	新乡	15:29	-
特快	过T122	长春	广州	15:52	15:54
快速	过K817	北京西	成都	15:43	16:15
快速	过K21	北京西	南宁	16:26	16:30
快速	过K258	成都	天津	16:50	17:02
直达特快	过Z161	北京西	昆明	17:14	17:17
快速	过K233	石家庄	上海	17:08	17:34
快速	过K2288	长春	昆明	17:39	17:55
快速	始K1149	新乡	昆山	-	18:02
普快	过1552	连云港东	太原	17:37	18:08
快速	过K1101	安阳	上海	17:55	18:13
快速	过K589	北京西	重庆	18:07	18:25
快速	过K1278	包头	南昌	18:28	18:46
快速	过K7966	濮阳	郑州	18:49	18:55
快速	过K117	北京西	成都	19:36	19:47
特快	过T167	北京西	南昌	20:31	20:33
特快	过T252	天津	广州	20:51	21:24
特快	过T9	北京西	重庆西	21:46	21:49
快速	始K2275	新乡	杭州	-	21:55
特快	过T49	北京西	宜昌东	22:09	22:14
快速	过K590	重庆	北京西	21:49	22:18
普快	过1551	太原	连云港东	22:01	22:20
快速	过K118	成都	北京西	22:22	22:26
特快	过T58	天津	宝鸡	22:32	22:35
快速	过K1165	长治北	北京西	22:28	22:40
快速	过K1364	成都	北京西	22:38	22:46
普快	过2150	郑州	日照	22:13	22:49
快速	过K270	洛阳	北京西	22:49	22:57
快速	过K158	湛江	北京	23:03	23:07
快速	过K180	郑州	北京西	23:09	23:18
快速	过K183	北京	南阳	22:55	23:22
快速	终K1150	昆山	新乡	23:27	-
快速	过K1276	南昌	包头	23:33	23:37
