列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	终D8420	北海	柳州	0:12	-
快速	过K157	北京	湛江	0:26	0:46
快速	过K1558	南宁	上海	0:58	1:07
快速	过K836	深圳西	重庆西	0:44	1:10
快速	过K158	湛江	北京	0:52	1:21
快速	过K841	广州	贵阳	1:17	1:31
快速	过K458	海口	郑州	1:26	1:43
快速	过K2386	南宁	长春	1:51	2:05
快速	过K144	成都	南宁	5:17	5:38
快速	过K1473	襄阳	湛江	5:35	5:55
快速	过K874	成都东	湛江	5:52	6:02
特快	过T77	上海南	南宁	5:58	6:08
动车组	始D3937	柳州	大理	-	6:34
快速	过K1136	青岛	南宁	6:25	6:41
特快	过T284	乌鲁木齐	南宁	6:30	6:58
高速动车	始G436	柳州	武汉	-	7:00
动车组	始D2938	柳州	广州南	-	7:05
动车组	始D8251	柳州	北海	-	7:13
快速	过K952	深圳	金城江	6:56	7:19
高速动车	过G2340	南宁	福州	7:30	7:33
高速动车	始G4114	柳州	太原南	-	7:44
动车组	始D8253	柳州	北海	-	7:59
高速动车	始G2910	柳州	深圳北	-	8:00
动车组	始D3751	柳州	广州南	-	8:05
动车组	过D3941	桂林北	丽江	8:12	8:16
动车组	过D1782	南宁东	成都东	8:23	8:26
动车组	过D8451	桂林北	防城港北	8:31	8:35
高速动车	过G2066	南宁东	济南东	8:37	8:41
高速动车	过G1546	南宁东	南京南	8:49	8:52
动车组	始D3753	柳州	广州南	-	8:54
动车组	过D8202	南宁	桂林	8:54	8:57
动车组	过D8481	桂林北	玉林	8:56	9:00
动车组	过D8401	桂林北	北海	9:02	9:06
动车组	过D8461	桂林北	百色	9:12	9:16
动车组	过D8492	南宁东	三江南	9:29	9:32
动车组	过D8403	桂林北	北海	9:30	9:35
高速动车	过G422	南宁东	北京西	9:34	9:37
动车组	过D8201	桂林北	南宁东	9:39	9:43
高速动车	过G2344	南宁东	宁波	9:47	9:51
动车组	过D3949	桂林北	大理	9:50	9:54
高速动车	过G2856	南宁东	西安北	9:58	10:01
动车组	过D8204	南宁	桂林	10:09	10:12
高速动车	过G424	南宁东	石家庄	10:15	10:18
高速动车	过G1502	南宁东	上海虹桥	10:24	10:27
动车组	过D1786	南宁东	成都东	10:36	10:40
普快	过5540	金城江	湛江	10:36	10:43
动车组	过D8491	三江南	北海	10:45	10:49
动车组	过D8268	南宁东	贺州	10:46	10:50
动车组	过D8262	贺州	南宁东	10:57	11:01
高速动车	过G1504	南宁东	南京南	11:07	11:12
动车组	过D3961	衡阳东	大理	11:03	11:12
动车组	过D3564	梧州南	贵阳北	11:15	11:18
动车组	过D3561	贵阳北	北海	11:21	11:24
高速动车	过G539	长沙南	南宁东	11:26	11:29
动车组	终D2992	广州南	柳州	11:38	-
动车组	终D9698	玉林	柳州	11:40	-
动车组	过D1780	北海	绵阳	11:46	11:49
动车组	过D9699	桂林	南宁东	11:48	11:51
动车组	始D2994	柳州	广州南	-	11:56
动车组	终D3752	广州南	柳州	11:58	-
动车组	过D8402	北海	桂林	12:03	12:06
动车组	终D8462	百色	柳州	12:08	-
直达特快	过Z336	南宁	包头	11:52	12:12
高速动车	过G1506	南宁东	南京南	12:13	12:17
动车组	始D3905	柳州	昆明南	-	12:23
