列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K848	宁波	贵阳	0:41	0:51
直达特快	过Z100	广州东	上海	1:04	1:24
特快	过T172	广州东	南昌	2:19	2:42
直达特快	过Z99	上海	广州东	2:55	3:13
特快	过T180	广州	济南	3:28	3:33
快速	过K1192	南宁	南京	3:23	3:43
特快	过T152	广州	南京	3:43	4:05
快速	过K575	上海南	永州	4:01	4:12
快速	过K111	上海南	贵阳	4:20	4:28
快速	过K491	济南	昆明	5:34	5:41
快速	过K437	惠州	武昌	5:47	5:53
快速	过K1373	上海南	怀化	6:01	6:09
直达特快	过Z168	广州东	青岛北	6:12	6:16
直达特快	过Z247	上海南	长沙	6:16	6:22
特快	过T145	北京	南昌	6:17	6:23
快速	过K457	郑州	海口	6:36	6:42
直达特快	过Z290	宁波	昆明	6:44	6:57
快速	过K538	洛阳	深圳	7:38	7:44
特快	过T252	天津	广州	8:18	8:24
快速	过K79	上海南	昆明	8:28	8:36
快速	过K495	上海南	贵阳	8:36	8:44
快速	过K1174	达州	惠州	8:54	9:00
快速	过K807	无锡	怀化	9:12	9:20
快速	过K511	上海南	海口	9:05	9:25
快速	过K9233	长沙	炎陵	10:06	10:12
快速	过K834	贵阳	上海南	10:00	10:18
快速	过K1558	南宁	上海	10:11	10:31
快速	过K9201	长沙	永州	10:59	11:05
快速	过K136	南通	昆明	11:11	11:22
快速	过K846	贵阳	宁波	11:22	11:28
快速	过K9162	郴州	岳阳	13:02	13:08
快速	过K788	成都东	南昌	13:39	13:49
直达特快	过Z136	乌鲁木齐	广州	13:58	14:02
快速	过K728	哈尔滨西	昆明	14:56	15:02
快速	过K157	北京	湛江	15:09	15:16
直达特快	过Z138	广州	乌鲁木齐	15:35	15:44
快速	过K1562	南宁	合肥	16:06	16:14
快速	过K1096	广州	巴中	16:16	16:22
特快	过T147	南昌	北京	16:22	16:28
快速	过K138	昆明	南通	16:48	16:56
快速	过K512	海口	上海南	16:44	17:04
快速	过K787	南昌	成都东	17:00	17:08
快速	过K1348	深圳	西安	17:36	17:42
快速	过K9235	炎陵	长沙	17:40	17:48
快速	过K770	广州	汉中	17:48	17:54
快速	过K9161	岳阳	衡阳	18:43	18:49
快速	过K192	广州	成都	18:38	18:50
快速	过K1561	合肥	南宁	19:39	19:53
快速	过K878	烟台	昆明	20:08	20:16
快速	过K9211	长沙	汕头	20:15	20:21
特快	过T370	广州	大连	20:31	20:40
直达特快	过Z245	长沙	上海南	20:39	20:47
快速	过K944	温州	贵阳	20:41	20:55
快速	过K576	永州	上海南	20:56	21:09
快速	过K358	重庆西	广州	21:16	21:21
快速	过K760	衡阳	上海南	21:02	21:26
快速	过K833	上海南	贵阳	21:18	21:28
快速	过K1078	宁波	重庆北	22:24	22:32
快速	过K808	怀化	无锡	22:38	22:46
快速	过K600	广州	包头	22:38	22:57
快速	过K9217	长沙	深圳	23:47	23:53
