列车类型	车次	始发站	终到站	到站时间	发车时间
直达特快	过Z166	拉萨	上海	2:01	2:26
直达特快	过Z264	广州	拉萨	2:20	2:45
直达特快	过Z266	拉萨	广州	3:30	3:55
直达特快	过Z164	上海	拉萨	4:15	4:40
直达特快	过Z22	拉萨	北京西	6:16	6:41
快速	终K9805	西宁	格尔木	7:10	-
普客	始7582	格尔木	西宁	-	8:00
快速	始K9903	格尔木	花土沟	-	8:10
快速	始K9901	格尔木	花土沟	-	8:10
直达特快	过Z324	拉萨	成都	8:45	9:10
直达特快	过Z224	拉萨	重庆西	8:45	9:10
快速	始K1060	格尔木	成都	-	13:45
普客	终7581	西宁	格尔木	17:34	-
直达特快	过Z322	成都	拉萨	19:17	19:42
直达特快	过Z223	重庆西	拉萨	19:17	19:42
快速	终K1058	成都	格尔木	20:27	-
快速	终K9904	花土沟	格尔木	20:45	-
快速	终K9902	花土沟	格尔木	20:45	-
快速	始K9806	格尔木	西宁	-	21:50
直达特快	过Z21	北京西	拉萨	22:10	22:35
