列车类型	车次	始发站	终到站	到站时间	发车时间
动车组	过D3561	贵阳北	北海	9:34	9:36
动车组	过D1862	广州南	重庆西	9:33	9:37
动车组	过D2804	广州南	贵阳北	9:44	9:48
动车组	过D1849	广州	广元	10:21	10:26
动车组	过D2803	贵阳北	广州南	10:34	10:38
动车组	过D1864	广州南	重庆西	10:46	10:52
高速动车	过G2929	贵阳北	深圳北	10:56	11:00
动车组	过D2807	贵阳北	广州南	11:15	11:20
动车组	过D2809	贵阳北	广州南	11:30	11:34
动车组	过D2806	广州南	贵阳北	11:27	11:37
动车组	过D1842	珠海	成都东	11:39	11:43
动车组	过D1882	广州南	万州北	11:48	11:52
动车组	过D1861	重庆西	广州南	11:56	12:00
动车组	过D1810	广州南	成都东	12:09	12:13
动车组	过D1853	广州	绵阳	12:14	12:18
动车组	过D1762	广州南	成都东	12:26	12:33
高速动车	过G319	重庆西	深圳北	12:34	12:38
动车组	过D2812	广州南	贵阳北	12:47	12:51
动车组	过D1764	广州南	成都东	12:52	13:03
动车组	过D2815	宜宾西	广州南	13:10	13:14
动车组	过D1818	广州南	成都东	13:15	13:24
动车组	过D1841	成都东	珠海	13:23	13:27
动车组	过D1756	广州南	成都东	13:25	13:29
高速动车	过G4512	福田	成都东	13:34	13:38
动车组	过D1822	广州南	成都东	13:49	13:53
动车组	过D1754	广州南	成都东	13:55	13:59
动车组	过D1781	成都东	南宁东	13:58	14:00
动车组	过D2818	广州南	贵阳北	14:00	14:04
动车组	过D1801	成都东	广州南	14:03	14:07
动车组	过D1779	绵阳	北海	14:16	14:19
动车组	过D2877	广州	贵阳北	14:18	14:22
动车组	过D1859	德阳	广州	14:32	14:36
动车组	过D1867	重庆西	广州南	14:44	14:48
动车组	过D1812	成都东	广州南	14:55	15:02
高速动车	过G4511	成都东	福田	15:07	15:11
动车组	过D1826	广州南	成都东	15:16	15:20
动车组	过D1857	广州	德阳	15:41	15:45
动车组	过D2879	贵阳北	广州	15:48	15:55
动车组	过D1834	广州南	成都东	15:53	15:57
动车组	过D1855	绵阳	广州	16:13	16:17
动车组	过D2972	广州南	三江南	16:35	16:39
动车组	过D1820	成都东	广州南	16:38	16:42
动车组	过D2825	贵阳北	广州南	16:51	16:55
动车组	过D1872	广州南	重庆西	17:11	17:18
动车组	过D2830	广州南	宜宾西	17:20	17:24
动车组	过D1761	成都东	广州南	17:43	17:49
动车组	过D1874	广州南	重庆西	17:48	17:52
高速动车	过G2930	深圳北	贵阳北	17:56	18:00
高速动车	过G320	深圳北	重庆西	18:02	18:07
动车组	过D2975	三江南	广州南	18:03	18:10
动车组	过D2834	广州南	贵阳北	18:15	18:23
动车组	过D2831	贵阳北	广州南	18:32	18:36
动车组	过D1763	成都东	广州南	18:42	18:48
动车组	过D2844	广州南	毕节	18:45	18:49
动车组	过D1878	广州南	重庆西	18:54	18:59
动车组	过D1881	万州北	广州南	19:15	19:19
动车组	过D2838	广州南	贵阳北	19:21	19:25
动车组	过D1875	重庆西	广州南	19:25	19:29
动车组	过D2840	广州南	贵阳北	19:34	19:38
动车组	过D1825	成都东	广州南	19:51	19:55
动车组	过D2837	贵阳北	广州南	19:59	20:03
动车组	过D1851	广元	广州	20:14	20:18
动车组	过D2841	贵阳北	广州南	20:26	20:30
动车组	过D1877	重庆西	广州南	20:48	20:52
动车组	过D2842	广州南	贵阳北	20:52	20:56
动车组	过D1833	成都东	广州南	20:58	21:02
