列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K350	佳木斯	北京	23:41	0:02
普快	过2052	牡丹江	大连	23:53	0:05
快速	过K570	东莞东	齐齐哈尔	23:49	0:15
快速	过K1230	齐齐哈尔	大连	0:01	0:16
快速	过K336	宁波	长春	0:07	0:28
快速	过K7305	大连	乌兰浩特	0:30	0:40
快速	过K7527	大连	通辽	0:40	0:55
特快	过T129	大连	齐齐哈尔	0:51	1:01
快速	过K215	北京	延吉	0:53	1:15
快速	过K216	延吉	北京	1:03	1:21
快速	过K7306	乌兰浩特	大连	1:03	1:23
快速	过K1565	大连	包头	1:40	2:03
快速	过K550	齐齐哈尔	大连	1:43	2:08
快速	过K2286	昆明	长春	1:50	2:08
快速	过K335	长春	宁波	2:16	2:43
特快	过T130	齐齐哈尔	大连	2:41	2:49
特快	过T262	鸡西	大连	2:55	3:12
快速	过K27	北京	丹东	3:20	3:40
快速	过K930	佳木斯	大连	3:34	3:48
快速	过K2210	黑河	大连	4:13	4:27
快速	过K970	青岛北	通化	4:20	4:38
快速	始K7507	沈阳	五女山	-	5:30
快速	过K7334	延吉	大连	5:17	5:38
快速	过K890	佳木斯	盘锦	5:35	5:46
快速	终K7566	阿尔山	沈阳	5:50	-
快速	过K386	成都	沈阳北	5:49	5:58
普快	终2668	加格达奇	沈阳	5:58	-
动车组	始D7641	沈阳	丹东	-	6:10
普快	始4325	沈阳	凤凰城	-	6:13
动车组	始D7603	沈阳	丹东	-	6:28
高速动车	过G9952	沈阳南	赤峰	6:30	6:35
高速动车	过G3702	沈阳南	承德南	6:30	6:35
高速动车	过G8070	沈阳北	大连北	6:43	6:45
普快	过2062	加格达奇	大连	6:52	7:00
动车组	过D12	沈阳南	北京	6:54	7:02
高速动车	始G8068	沈阳	大连北	-	7:07
高速动车	过G8162	沈阳南	辽宁朝阳	7:04	7:08
快速	过K7322	沈阳北	大连	6:59	7:09
高速动车	过G8104	长春	丹东	7:15	7:18
城际动车	过C1102	沈阳南	通辽	7:16	7:21
动车组	始D7607	沈阳	丹东	-	7:24
高速动车	过G1272	沈阳南	福州	7:23	7:28
高速动车	终G8071	鞍山西	沈阳	7:29	-
普快	终4322	本溪	沈阳	7:32	-
动车组	终D7672	本溪	沈阳	7:34	-
快速	过K7512	白河	大连	7:03	7:35
高速动车	过G8002	长春	大连北	7:39	7:42
动车组	过D4	沈阳南	北京	7:40	7:45
高速动车	终G8195	辽宁朝阳	沈阳	7:46	-
高速动车	始G8082	沈阳	盘锦	-	7:49
高速动车	过G701	大连北	哈尔滨西	7:48	7:53
动车组	终D7634	丹东	沈阳	7:53	-
动车组	始D7731	沈阳	大连	-	7:55
高速动车	终G8041	大连	沈阳	7:58	-
快速	过K348	温州	沈阳北	7:55	8:03
动车组	过D50	通辽	北京	8:06	8:10
快速	过K938	石家庄	牡丹江	8:04	8:12
高速动车	过G1226	沈阳北	苍南	8:12	8:15
快速	过K2048	沈阳北	西安	8:07	8:17
动车组	终D7604	丹东	沈阳	8:17	-
高速动车	始G8046	沈阳	大连	-	8:21
高速动车	始G8164	沈阳	辽宁朝阳	-	8:22
高速动车	过G8001	大连北	长春	8:23	8:26
高速动车	过G398	丹东	北京南	8:28	8:32
普快	终4229	营口	沈阳	8:35	-
动车组	始D7605	沈阳	丹东	-	8:36
高速动车	过G703	大连北	大庆东	8:39	8:41
动车组	始D7611	沈阳	丹东	-	8:46
动车组	过D10	沈阳南	北京	8:45	8:52
高速动车	过G8189	辽宁朝阳	大连北	8:54	8:57
高速动车	过G8006	长春	大连北	9:03	9:06
