列车类型	车次	始发站	终到站	到站时间	发车时间
特快	过T122	长春	广州	0:12	0:19
快速	过K974	襄阳	哈尔滨西	23:56	0:26
快速	过K340	佳木斯	北京	0:36	0:48
快速	过K2386	南宁	长春	0:48	0:56
快速	过K430	通化	北京	0:43	1:02
特快	过T17	北京	牡丹江	1:01	1:07
特快	过T129	大连	齐齐哈尔	1:09	1:15
特快	过T47	北京	齐齐哈尔	1:16	1:24
快速	过K349	北京	佳木斯	1:23	1:31
快速	过K552	温州	牡丹江	1:30	1:39
快速	过K383	北京	齐齐哈尔	1:39	1:47
快速	过K546	成都	哈尔滨	1:49	1:57
直达特快	过Z238	哈尔滨西	广州东	1:59	2:05
快速	过K1526	邯郸	哈尔滨	1:58	2:06
直达特快	过Z118	吉林	北京	2:13	2:20
直达特快	过Z236	广州东	哈尔滨西	2:26	2:33
快速	过K126	咸阳	长春	2:35	2:43
直达特快	过Z117	北京	吉林	2:45	2:52
特快	过T298	牡丹江	北京	2:45	2:55
特快	过T48	齐齐哈尔	北京	2:57	3:03
特快	过T18	牡丹江	北京	3:04	3:15
快速	过K930	佳木斯	大连	3:16	3:26
快速	过K548	哈尔滨	成都	3:27	3:35
快速	过K381	齐齐哈尔	北京	3:35	3:43
快速	过K296	齐齐哈尔	济南	3:51	3:58
特快	过T124	广州	长春	3:27	4:00
快速	过K728	哈尔滨西	昆明	4:14	4:21
直达特快	过Z178	哈尔滨西	杭州	4:21	4:47
快速	过K568	齐齐哈尔	东莞东	4:30	4:54
快速	过K890	佳木斯	盘锦	5:20	5:28
直达特快	终Z186	深圳	沈阳北	5:30	-
快速	终K386	成都	沈阳北	6:05	-
高速动车	始G8070	沈阳北	大连北	-	6:35
直达特快	始Z12	沈阳北	广州东	-	6:38
普快	过2062	加格达奇	大连	6:14	6:44
快速	始K7322	沈阳北	大连	-	6:51
高速动车	始G1284	沈阳北	成都东	-	7:00
高速动车	始G8033	沈阳北	吉林	-	7:06
快速	过K978	西宁	齐齐哈尔	6:57	7:17
高速动车	始G2652	沈阳北	荣成	-	7:20
快速	过K489	天津	佳木斯	7:11	7:25
快速	终K53	北京	沈阳北	7:25	-
高速动车	始G8216	沈阳北	赤峰	-	7:45
高速动车	始G1222	沈阳北	宁波	-	7:59
快速	始K2048	沈阳北	西安	-	8:00
快速	过K1574	重庆西	吉林	7:44	8:02
高速动车	始G1226	沈阳北	苍南	-	8:04
快速	过K726	昆明	哈尔滨西	7:55	8:09
快速	终K348	温州	沈阳北	8:10	-
高速动车	始G218	沈阳北	北京南	-	8:11
动车组	始D14	沈阳北	北京	-	8:19
高速动车	过G8004	吉林	大连	8:22	8:25
快速	过K1452	牡丹江	日照	8:25	8:33
高速动车	终G8197	阜新	沈阳北	8:39	-
高速动车	过G703	大连北	大庆东	8:49	8:52
高速动车	过G771	大连北	佳木斯	8:55	8:58
高速动车	始G8152	沈阳北	牛河梁	-	9:00
高速动车	始G9976	沈阳北	建平	-	9:00
动车组	始D7613	沈阳北	丹东	-	9:07
高速动车	过G8103	东港北	吉林	9:05	9:08
直达特快	过Z386	三亚	长春	9:05	9:13
高速动车	过G8003	大连北	吉林	9:16	9:19
动车组	过D24	长春西	北京	9:22	9:25
快速	过K1302	满洲里	北京	9:10	9:27
动车组	始D52	沈阳北	北京	-	9:30
高速动车	过G705	大连北	哈尔滨西	9:27	9:31
快速	过K1394	佳木斯	烟台	9:27	9:35
高速动车	过G372	哈尔滨西	北京南	9:27	9:37
直达特快	过Z366	南京	哈尔滨西	9:32	9:38
高速动车	过G704	哈尔滨西	大连北	9:38	9:41
直达特快	过Z104	厦门北	长春	9:39	9:45
动车组	过D28	哈尔滨西	北京	9:46	9:49
高速动车	过G238	吉林	北京南	9:57	10:00
快速	过K294	济南	齐齐哈尔	9:54	10:02
高速动车	过G47	大连北	哈尔滨西	10:03	10:06
快速	过K1303	北京	海拉尔	10:03	10:11
直达特快	终Z192	太原	沈阳北	10:12	-
高速动车	过G400	长春西	北京南	10:15	10:18
高速动车	过G1292	长春西	长沙南	10:20	10:24
快速	过K1984	南通	吉林	10:19	10:29
高速动车	过G1212	长春西	上海虹桥	10:25	10:30
高速动车	过G8005	大连北	长春西	10:27	10:30
高速动车	过G48	哈尔滨西	大连北	10:30	10:33
高速动车	过G763	盘锦	哈尔滨西	10:33	10:36
高速动车	过G1206	哈尔滨西	青岛北	10:38	10:41
高速动车	过G788	丹东	齐齐哈尔南	10:39	10:42
高速动车	终G8045	大连	沈阳北	10:50	-
直达特快	过Z176	杭州	哈尔滨西	10:48	10:54
高速动车	过G1202	哈尔滨西	上海虹桥	10:53	10:56
特快	过T242	合肥	齐齐哈尔	10:56	11:02
动车组	终D7610	丹东	沈阳北	11:09	-
高速动车	始G8050	沈阳北	大连	-	11:22
动车组	始D7619	沈阳北	丹东	-	11:27
快速	过K1450	日照	牡丹江	11:07	11:27
高速动车	过G8007	大连	吉林	11:28	11:31
高速动车	过G1276	哈尔滨西	武汉	11:29	11:32
快速	过K926	郑州	海拉尔	11:37	11:43
动车组	过D29	北京	齐齐哈尔南	11:46	11:49
高速动车	过G373	天津西	哈尔滨西	11:53	11:56
高速动车	过G1266	延吉西	青岛北	11:55	11:58
高速动车	过G1234	吉林	上海虹桥	12:04	12:07
动车组	过D21	北京	珲春	12:05	12:08
高速动车	过G8010	长春	大连	12:10	12:13
动车组	始D6	沈阳北	北京	-	12:16
高速动车	过G8078	延吉西	丹东	12:18	12:21
高速动车	过G381	北京南	哈尔滨西	12:23	12:25
直达特快	过Z157	泰州	哈尔滨西	12:21	12:29
动车组	过D26	佳木斯	北京	12:28	12:31
快速	始K190	沈阳北	上海	-	12:34
特快	过T182	汉口	哈尔滨	12:28	12:36
高速动车	过G240	吉林	北京南	12:39	12:42
动车组	过D74	吉林	北京	12:48	12:52
高速动车	过G383	北京南	吉林	12:51	12:54
动车组	过D20	长春	北京	13:04	13:07
高速动车	过G1256	长春西	上海虹桥	13:11	13:14
高速动车	终G8153	牛河梁	沈阳北	13:24	-
高速动车	终G9978	建平	沈阳北	13:24	-
高速动车	过G8012	长春西	大连北	13:24	13:27
高速动车	终G1244	济南	沈阳北	13:33	-
动车组	过D102	哈尔滨西	北京	13:32	13:35
直达特快	过Z112	海口	哈尔滨西	13:30	13:38
高速动车	过G1262	哈尔滨西	郑州东	13:40	13:43
高速动车	始G1246	沈阳北	青岛北	-	13:53
高速动车	过G8013	大连北	吉林	13:53	13:56
特快	过T302	长春	乌鲁木齐	13:47	14:08
直达特快	过Z172	上海	哈尔滨西	14:04	14:11
高速动车	过G712	哈尔滨西	大连北	14:10	14:13
特快	过T304	乌鲁木齐	长春	13:55	14:18
高速动车	终G1286	郑州东	沈阳北	14:19	-
高速动车	过G717	大连北	绥芬河	14:21	14:24
快速	过K2083	大连	海拉尔	14:17	14:24
高速动车	过G1238	佳木斯	石家庄	14:29	14:32
高速动车	过G1268	青岛北	延吉西	14:29	14:32
快速	过K702	青岛北	哈尔滨西	14:27	14:37
高速动车	过G714	绥芬河	大连北	14:35	14:38
高速动车	过G1208	青岛北	哈尔滨西	14:36	14:39
高速动车	始G3704	沈阳北	承德南	-	14:39
高速动车	始G9956	沈阳北	赤峰	-	14:39
快速	过K2084	海拉尔	大连	14:33	14:45
高速动车	始G1288	沈阳北	郑州东	-	14:46
快速	终K962	临汾	沈阳北	14:46	-
快速	过K1064	重庆	哈尔滨西	14:56	15:04
高速动车	过G394	牡丹江	北京南	15:01	15:05
高速动车	过G49	大连北	哈尔滨西	15:03	15:06
高速动车	终G752	佳木斯	沈阳北	15:06	-
高速动车	过G1240	石家庄	佳木斯	15:07	15:11
高速动车	终G2602	太原南	沈阳北	15:14	-
快速	过K2388	长春	南宁	15:00	15:20
直达特快	过Z158	哈尔滨西	泰州	15:12	15:20
高速动车	过G50	哈尔滨西	大连北	15:23	15:26
城际动车	终C1116	通辽	沈阳北	15:28	-
高速动车	始G2604	沈阳北	太原南	-	15:34
高速动车	过G770	大庆东	大连北	15:34	15:37
高速动车	始G753	沈阳北	佳木斯	-	15:39
城际动车	始C1118	沈阳北	通辽	-	15:49
动车组	过D25	北京	佳木斯	15:49	15:52
快速	过K1572	吉林	重庆西	15:44	15:52
快速	过K7541	沈阳	西丰	15:49	15:55
高速动车	过G8076	丹东	延吉西	15:55	15:58
直达特快	过Z114	哈尔滨西	海口	15:51	15:59
高速动车	过G393	北京南	牡丹江	16:07	16:10
动车组	终D7624	丹东	沈阳北	16:15	-
快速	始K388	沈阳北	成都	-	16:18
高速动车	过G8016	吉林	大连北	16:17	16:20
高速动车	终G754	佳木斯	沈阳北	16:30	-
快速	过K1528	哈尔滨	邯郸	16:26	16:35
动车组	始D7633	沈阳北	丹东	-	16:36
高速动车	终G1248	青岛北	沈阳北	16:37	-
快速	过K980	齐齐哈尔	西宁	16:37	16:45
高速动车	过G720	哈尔滨西	大连北	16:49	16:55
高速动车	过G1264	郑州东	哈尔滨西	16:55	16:58
高速动车	始G1242	沈阳北	济南西	-	17:00
高速动车	过G8017	大连	吉林	17:01	17:04
特快	过T244	齐齐哈尔	合肥	16:54	17:07
快速	过K128	长春	咸阳	17:03	17:11
高速动车	终G217	北京南	沈阳北	17:15	-
高速动车	始G755	沈阳北	哈尔滨西	-	17:16
动车组	过D30	齐齐哈尔南	北京	17:24	17:27
直达特快	过Z174	哈尔滨西	上海	17:29	17:36
动车组	过D22	珲春	北京	17:36	17:39
高速动车	过G725	大连北	哈尔滨西	17:40	17:42
直达特快	始Z188	沈阳北	深圳	-	17:46
