列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	始G9952	沈阳南	赤峰	-	6:19
高速动车	始G3702	沈阳南	承德南	-	6:19
动车组	过D7641	沈阳	丹东	6:21	6:23
动车组	始D12	沈阳南	北京	-	6:42
高速动车	始G8162	沈阳南	辽宁朝阳	-	6:52
城际动车	始C1102	沈阳南	通辽	-	7:05
高速动车	始G1272	沈阳南	福州	-	7:12
高速动车	过G8068	沈阳	大连北	7:18	7:20
动车组	过D7672	本溪	沈阳	7:21	7:23
动车组	始D4	沈阳南	北京	-	7:29
高速动车	过G8104	长春	丹东	7:29	7:30
高速动车	过G701	大连北	哈尔滨西	7:34	7:36
动车组	过D7607	沈阳	丹东	7:35	7:40
动车组	过D7604	丹东	沈阳	8:04	8:06
动车组	始D10	沈阳南	北京	-	8:33
高速动车	过G8004	吉林	大连	8:40	8:41
高速动车	过G8103	东港北	吉林	8:47	8:49
动车组	始D2	沈阳南	北京	-	8:54
高速动车	过G8003	大连北	吉林	8:58	9:00
动车组	过D7613	沈阳北	丹东	9:28	9:29
动车组	过D7606	丹东	沈阳	9:57	9:59
动车组	过D7663	沈阳	丹东	10:07	10:09
高速动车	过G8005	大连北	长春西	10:09	10:11
动车组	过D7741	大连	沈阳	10:44	10:47
动车组	过D7610	丹东	沈阳北	10:51	10:53
高速动车	过G709	大连北	哈尔滨西	10:56	10:58
城际动车	终C1108	通辽	沈阳南	10:58	-
高速动车	过G8008	吉林	大连北	11:18	11:20
高速动车	终G8161	辽宁朝阳	沈阳南	11:23	-
城际动车	始C1110	沈阳南	通辽	-	11:27
高速动车	始G9986	沈阳南	建平	-	11:45
高速动车	始G8168	沈阳南	牛河梁	-	11:45
动车组	过D7619	沈阳北	丹东	11:49	11:51
动车组	过D7612	丹东	沈阳	12:03	12:05
高速动车	过G8181	辽宁朝阳	丹东	12:10	12:12
高速动车	终G219	北京南	沈阳南	12:20	-
高速动车	过G1230	丹东	上海虹桥	12:27	12:29
高速动车	过G8078	延吉西	丹东	12:36	12:37
高速动车	终G9954	赤峰	沈阳南	12:55	-
高速动车	终G3701	承德南	沈阳南	12:55	-
动车组	过D7623	沈阳	丹东	13:01	13:02
高速动车	始G220	沈阳南	北京南	-	13:07
动车组	过D7664	丹东	沈阳	13:11	13:13
高速动车	过G8054	沈阳	大连	13:22	13:23
高速动车	始G8170	沈阳南	辽宁朝阳	-	13:25
城际动车	终C1112	通辽	沈阳南	13:33	-
动车组	过D7616	丹东	沈阳	13:54	13:56
高速动车	过G717	大连北	绥芬河	14:03	14:05
城际动车	始C1130	沈阳南	通辽	-	14:11
高速动车	过G712	哈尔滨西	大连北	14:28	14:29
高速动车	过G395	北京南	丹东	14:09	14:31
动车组	终D17	北京	沈阳南	14:33	-
高速动车	过G8108	吉林	丹东	14:41	14:42
动车组	始D18	沈阳南	北京	-	14:54
高速动车	过G8182	丹东	辽宁朝阳	15:06	15:08
动车组	过D7629	沈阳	丹东	15:27	15:29
动车组	过D7624	丹东	沈阳北	15:58	16:00
高速动车	过G733	大连北	佳木斯	16:05	16:07
高速动车	终G9988	建平	沈阳南	16:40	-
高速动车	终G8165	牛河梁	沈阳南	16:40	-
高速动车	过G8017	大连	吉林	16:43	16:45
高速动车	过G8058	沈阳	大连北	16:46	16:48
动车组	过D7666	丹东	沈阳	16:49	16:50
动车组	过D7633	沈阳北	丹东	16:51	16:53
高速动车	过G8226	丹东	赤峰	16:57	16:59
高速动车	过G9968	赤峰	大连北	16:58	17:00
高速动车	过G3723	承德南	大连北	16:58	17:00
高速动车	终G8167	辽宁朝阳	沈阳南	17:16	-
高速动车	始G8210	沈阳南	赤峰	-	17:23
高速动车	过G765	大连北	齐齐哈尔南	17:26	17:28
动车组	过D7635	沈阳	丹东	17:33	17:34
高速动车	始G8172	沈阳南	辽宁朝阳	-	17:41
高速动车	过G396	丹东	北京南	17:22	17:42
动车组	终D11	北京	沈阳南	17:54	-
高速动车	过G8106	丹东	吉林	17:54	17:56
高速动车	过G8019	大连北	吉林	18:01	18:03
高速动车	过G1232	上海虹桥	丹东	18:10	18:12
高速动车	过G724	哈尔滨西	大连北	18:26	18:27
高速动车	过G767	大连北	哈尔滨西	18:30	18:32
动车组	过D7626	丹东	沈阳	18:34	18:37
动车组	终D9	北京	沈阳南	18:38	-
城际动车	过C1138	丹东	沈阳	18:58	19:00
高速动车	过G397	北京南	丹东	19:01	19:03
高速动车	过G732	哈尔滨西	大连北	19:06	19:07
高速动车	过G786	齐齐哈尔南	丹东	19:20	19:21
高速动车	终G1274	福州	沈阳南	19:25	-
高速动车	过G769	大连北	哈尔滨西	19:32	19:34
高速动车	过G729	大连北	哈尔滨西	19:46	19:48
高速动车	过G8024	吉林	大连北	19:59	20:00
城际动车	终C1124	通辽	沈阳南	20:07	-
高速动车	过G716	牡丹江	大连北	20:12	20:14
高速动车	过G730	哈尔滨西	大连北	20:27	20:29
动车组	过D7749	大连北	沈阳	20:42	20:44
高速动车	过G8187	大连北	辽宁朝阳	20:48	20:50
动车组	过D7640	丹东	沈阳	21:56	21:58
高速动车	终G8212	赤峰	沈阳南	22:13	-
动车组	终D1	北京	沈阳南	23:40	-
动车组	终D3	北京	沈阳南	23:51	-
