列车类型	车次	始发站	终到站	到站时间	发车时间
普快	过1148	宝鸡	连云港东	23:44	0:12
特快	过T112	杭州	兰州	0:32	0:35
特快	过T58	天津	宝鸡	0:40	0:45
快速	过K360	上海	银川	0:54	1:02
快速	过K245	扬州	成都	1:00	1:08
直达特快	过Z42	乌鲁木齐	上海	1:31	1:33
特快	过T56	宝鸡	天津	1:52	1:57
快速	过K1026	青岛北	兰州	2:01	2:05
普快	过1150	连云港东	宝鸡	2:18	2:22
直达特快	过Z272	青岛	西宁	2:40	2:43
快速	过K596	乌鲁木齐	杭州	2:33	2:43
特快	过T231	北京西	西安	2:56	3:00
快速	过K2908	西安	温州	2:58	3:03
直达特快	过Z138	广州	乌鲁木齐	3:02	3:08
直达特快	过Z252	上海	西安	3:09	3:14
直达特快	过Z136	乌鲁木齐	广州	3:09	3:15
特快	过T116	上海	兰州	3:33	3:36
快速	过K126	咸阳	长春	3:34	3:36
直达特快	过Z40	上海	乌鲁木齐	3:40	3:45
直达特快	过Z218	兰州	上海	3:56	4:00
快速	过K606	杭州	西安	3:46	4:00
直达特快	过Z306	伊宁	上海	4:10	4:19
快速	过K914	青岛	西安	4:15	4:20
直达特快	过Z128	兰州	厦门北	4:19	4:25
快速	过K594	杭州	乌鲁木齐	4:22	4:27
特快	过T114	兰州	杭州	4:26	4:31
快速	过K2906	温州	西安	4:28	4:43
快速	过K132	兰州	深圳西	4:54	4:57
直达特快	过Z216	上海	兰州	4:50	4:59
特快	过T198	乌鲁木齐	郑州	5:26	5:32
快速	过K386	成都	沈阳北	5:57	6:06
快速	过K560	上海	延安	6:04	6:08
直达特快	过Z105	济南	乌鲁木齐	6:16	6:19
快速	过K178	西宁	郑州	6:17	6:22
直达特快	过Z152	西宁	北京西	6:36	6:42
快速	过K419	扬州	兰州	6:32	6:43
直达特快	过Z130	兰州	北京西	6:50	6:55
快速	终K738	上海	洛阳	7:01	-
普快	始4734	洛阳	南阳	-	7:03
快速	过K1348	深圳	西安	7:33	7:39
快速	过K2666	苏州	临汾	7:27	7:45
直达特快	过Z304	上海	伊宁	8:07	8:13
快速	过K1363	北京西	成都	8:01	8:21
快速	过K62	南通	西安	8:23	8:27
快速	终K332	天津	洛阳	9:06	-
快速	过K2048	沈阳北	西安	9:17	9:21
快速	过K1130	烟台	宝鸡	10:29	10:32
普快	始4708	洛阳	南阳	-	11:02
快速	过K818	成都	北京西	11:27	11:31
快速	过K237	太原	深圳西	11:18	11:37
快速	过K508	贵阳	北京西	11:45	11:48
快速	过K1538	乌鲁木齐	南京	12:16	12:19
快速	过K1352	乌鲁木齐	连云港东	12:16	12:19
快速	过K228	兰州	广州	12:55	13:00
快速	始K32	洛阳	福州	-	13:18
快速	过K176	乌鲁木齐	郑州	13:20	13:26
快速	始K1144	洛阳	启东	-	14:35
普快	终4706	南阳	洛阳	15:02	-
快速	过K292	成都	上海	15:01	15:05
快速	始K758	洛阳	广州	-	15:12
快速	过K128	长春	咸阳	15:08	15:14
直达特快	过Z274	西宁	青岛	15:11	15:18
快速	过K388	沈阳北	成都	15:14	15:20
快速	过K84	西安	广州	15:20	15:26
快速	终K536	深圳	洛阳	15:32	-
直达特快	过Z378	西宁	上海	15:33	15:36
快速	过K134	深圳西	兰州	15:38	15:41
快速	过K82	广州	西安	15:44	15:50
普快	终4732	邓州	洛阳	15:51	-
快速	过K1315	呼和浩特东	福州	15:27	15:53
快速	过K359	银川	上海	16:02	16:10
快速	过K1028	兰州	青岛北	16:12	16:20
快速	始K538	洛阳	深圳	-	16:52
快速	始K330	洛阳	天津	-	17:00
快速	过K177	郑州	西宁	17:11	17:15
快速	始K168	洛阳	宁波	-	17:15
快速	终K30	福州	洛阳	17:35	-
快速	过K238	深圳西	太原	17:17	17:35
快速	终K166	宁波	洛阳	17:41	-
快速	终K269	北京西	洛阳	17:47	-
快速	过K912	西安	青岛	17:45	17:49
快速	过K507	北京西	贵阳	17:53	17:59
快速	过K246	成都	扬州	17:57	18:00
快速	过K1132	宝鸡	烟台	18:13	18:17
快速	过K226	广州	兰州	18:28	18:33
快速	过K608	西安	杭州	18:55	19:00
快速	过K817	北京西	成都	19:13	19:16
快速	始K270	洛阳	北京西	-	19:20
快速	终K756	广州	洛阳	19:33	-
快速	始K736	洛阳	上海	-	19:35
快速	过K1364	成都	北京西	19:13	19:42
快速	过K60	西安	南通	19:52	19:58
快速	过K1350	西安	深圳	20:05	20:09
快速	过K2046	西安	沈阳北	21:45	21:51
特快	过T232	西安	北京西	22:09	22:15
直达特快	过Z376	上海	西宁	22:12	22:17
快速	过K175	商丘	乌鲁木齐	22:02	22:23
快速	过K2665	临汾	苏州	22:02	22:27
特快	过T197	郑州	乌鲁木齐	22:27	22:36
快速	过K559	延安	上海	22:34	22:36
直达特快	过Z129	北京西	兰州	23:06	23:11
快速	过K420	兰州	扬州	23:26	23:31
快速	过K290	上海	成都	23:29	23:35
快速	终K1142	启东	洛阳	23:37	-
直达特快	过Z126	厦门北	兰州	23:52	23:58
