列车类型	车次	始发站	终到站	到站时间	发车时间
快速	过K1196	青岛北	襄阳	0:07	0:34
直达特快	过Z268	上海	呼和浩特	0:36	0:45
快速	始K8261	济南	威海	-	0:50
快速	过K1452	牡丹江	日照	0:29	0:51
直达特快	过Z274	西宁	青岛	0:25	0:59
快速	过K8276	青岛北	曹县	0:48	1:05
特快	过T132	上海	大连	0:51	1:08
直达特快	过Z168	广州东	青岛北	1:28	1:40
快速	过K1138	南宁	青岛	1:50	2:11
普快	过1462	上海	北京	2:09	2:15
快速	过K850	上海	保定	2:20	2:35
特快	过T131	大连	上海	2:21	2:36
直达特快	过Z267	呼和浩特	上海	2:39	2:45
快速	过K1394	佳木斯	烟台	2:52	3:14
快速	过K1028	兰州	青岛北	3:20	3:37
快速	过K1331	银川	上海	3:45	4:00
快速	过K206	成都	青岛	4:08	4:14
直达特快	终Z358	伊宁	济南	5:10	-
快速	过K912	西安	青岛	5:20	5:30
快速	过K101	北京	温州	5:19	5:34
快速	始K8279	济南	淄博	-	5:53
动车组	始D6001	济南	青岛	-	6:00
普快	过1230	阜新南	上海	5:50	6:04
动车组	始D6073	济南	荣成	-	6:11
特快	过T398	深圳	青岛	6:40	6:47
高速动车	终G6980	泰安	济南	6:59	-
动车组	过D6051	济南西	烟台	7:05	7:09
高速动车	始G334	济南	北京南	-	7:13
快速	始K8295	济南	陵城	-	7:23
高速动车	始G343	济南	温州南	-	7:23
快速	终K492	昆明	济南	7:33	-
快速	终K8262	威海	济南	7:34	-
快速	始K771	济南	南通	-	7:36
高速动车	始G1244	济南	沈阳北	-	7:42
高速动车	始G5557	济南	济南	-	7:48
快速	始K15	济南	重庆西	-	7:50
动车组	过D6020	青岛	济南西	7:53	7:55
快速	过K48	杭州	齐齐哈尔	7:46	8:08
高速动车	过G452	徐州东	青岛	8:05	8:08
直达特快	终Z106	乌鲁木齐	济南	8:15	-
动车组	过D6090	济南东	烟台	8:16	8:21
高速动车	过G1268	青岛北	延吉西	8:27	8:29
高速动车	过G6965	济南西	日照西	8:29	8:33
快速	过K1332	上海	银川	8:27	8:36
高速动车	过G1208	青岛北	哈尔滨西	8:37	8:39
动车组	过D6018	济南东	青岛	8:41	8:45
高速动车	过G176	潍坊	北京南	8:47	8:49
高速动车	过G1842	青岛北	兰州西	8:57	8:59
快速	始K8285	济南	日照	-	9:02
高速动车	过G6982	枣庄	荣成	9:02	9:04
普快	过1228	上海	阜新南	8:53	9:06
高速动车	过G278	青岛	广州南	9:06	9:08
高速动车	过G471	北京南	烟台	9:09	9:13
直达特快	始Z356	济南	伊宁	-	9:14
高速动车	过G6953	临沂北	青岛	9:16	9:20
高速动车	过G284	青岛	杭州	9:20	9:22
快速	过K102	温州	北京	9:12	9:31
快速	终K1074	长沙	济南	9:34	-
动车组	过D6004	青岛	济南西	9:35	9:37
高速动车	过G5525	临沂北	临沂北	9:38	9:40
高速动车	过G246	合肥南	青岛	9:49	9:51
动车组	过D8181	济南西	青岛	9:59	10:01
快速	始K8322	济南	聊城	-	10:05
快速	始K8271	济南	菏泽	-	10:05
高速动车	过G318	青岛	重庆北	10:03	10:05
动车组	过D1621	石家庄	荣成	10:08	10:11
快速	过K336	宁波	长春	9:46	10:14
特快	终T136	宁波	济南	10:15	-
特快	终T7578	菏泽	济南	10:19	-
动车组	过D1636	青岛	运城北	10:16	10:19
动车组	过D8183	济南西	青岛	10:19	10:21
快速	始K1284	济南	深圳东	-	10:24
高速动车	过G244	青岛	厦门	10:27	10:29
动车组	过D1611	石家庄	青岛北	10:28	10:30
快速	终K8324	聊城	济南	10:33	-
高速动车	过G456	上海虹桥	荣成	10:38	10:43
高速动车	过G1248	青岛北	沈阳北	10:46	10:48
高速动车	过G222	上海	青岛北	10:55	10:57
高速动车	过G182	青岛	北京南	10:56	10:58
快速	始K491	济南	昆明	-	11:06
动车组	过D1623	石家庄	威海	11:04	11:06
动车组	过D1626	烟台	石家庄	11:06	11:11
快速	过K346	沈阳北	温州	10:58	11:18
高速动车	过G6966	日照西	济南西	11:27	11:30
动车组	终D6072	荣成	济南	11:33	-
高速动车	过G179	北京南	青岛	11:32	11:35
动车组	过D6007	济南西	青岛	11:55	11:58
高速动车	过G232	青岛	上海虹桥	12:00	12:02
直达特快	终Z9258	东营	济南	12:08	-
动车组	始D6079	济南	威海	-	12:11
高速动车	过G184	青岛	北京南	12:17	12:19
动车组	过D6034	济南东	龙口市	12:20	12:22
动车组	过D6006	青岛	平原东	12:37	12:39
动车组	终D6033	龙口市	济南	12:46	-
高速动车	过G5563	济南西	曲阜东	12:46	12:48
高速动车	过G462	烟台	上海虹桥	12:53	12:56
高速动车	过G181	北京南	青岛	12:56	12:58
动车组	始D6005	济南	青岛	-	13:04
高速动车	过G186	青岛	北京南	13:08	13:10
动车组	过D1634	太原南	青岛北	13:10	13:12
动车组	过D6053	济南西	烟台	13:17	13:19
高速动车	过G476	荣成	北京南	13:19	13:21
高速动车	过G230	上海虹桥	青岛	13:23	13:26
动车组	过D1616	威海	石家庄	13:29	13:31
高速动车	过G6967	济南西	岚山西	13:33	13:40
高速动车	过G5536	临沂北	临沂北	13:39	13:41
高速动车	过G1850	烟台	长沙南	13:56	13:59
高速动车	过G183	北京南	青岛	13:58	14:00
高速动车	过G188	青岛	北京南	14:10	14:12
高速动车	过G1844	西安北	荣成	14:19	14:22
高速动车	过G1846	荣成	西安北	14:23	14:30
动车组	终D6074	荣成	济南	14:30	-
快速	终K8286	日照	济南	14:34	-
动车组	过D6062	烟台	济南东	14:38	14:40
动车组	始D6009	济南	青岛	-	14:48
高速动车	过G190	青岛	北京南	14:48	14:50
动车组	过D6061	平原东	烟台	15:04	15:06
动车组	过D8184	青岛	济南西	15:06	15:08
快速	过K8278	曹县	青岛	14:48	15:12
