列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	始G6931	济南东	威海	-	6:34
高速动车	始G6945	济南东	威海	-	6:40
高速动车	始G300	济南东	上海虹桥	-	6:50
动车组	始D6090	济南东	烟台	-	7:20
高速动车	始G468	济南东	贵阳北	-	7:25
高速动车	始G6901	济南东	青岛北	-	7:26
高速动车	始G1734	济南东	温州南	-	7:33
高速动车	始G6933	济南东	威海	-	7:35
高速动车	始G2068	济南东	南宁东	-	7:43
高速动车	始G6903	济南东	青岛北	-	7:55
动车组	始D6018	济南东	青岛	-	7:56
高速动车	始G6935	济南东	荣成	-	8:12
高速动车	过G6942	曲阜东	烟台	8:17	8:21
高速动车	始G6907	济南东	青岛北	-	8:36
高速动车	过G6986	枣庄	荣成	8:38	8:40
高速动车	始G6925	济南东	青岛北	-	8:49
高速动车	过G6909	济南西	青岛	8:58	9:00
高速动车	过G6902	青岛北	济南西	8:57	9:00
高速动车	过G224	青岛	上海虹桥	9:11	9:14
高速动车	过G2059	石家庄	盐城	9:18	9:20
高速动车	过G481	北京南	盐城	9:23	9:26
动车组	过D8182	青岛北	济南西	9:20	9:26
高速动车	过G177	北京南	青岛北	9:33	9:36
高速动车	过G6956	青岛北	青岛北	9:45	9:48
高速动车	过G178	青岛	北京南	9:51	9:53
高速动车	过G6922	泰安	青岛北	9:54	9:57
高速动车	过G180	青岛北	北京南	10:08	10:11
高速动车	过G469	北京南	威海	10:24	10:27
高速动车	过G472	烟台	北京南	10:28	10:31
高速动车	过G6932	威海	济南西	10:41	10:43
高速动车	始G9211	济南东	莱西	-	10:45
高速动车	过G2090	烟台	成都东	10:59	11:02
动车组	始D6034	济南东	龙口市	-	11:35
高速动车	过G6913	济南西	青岛北	11:36	11:38
高速动车	过G172	青岛	天津西	11:46	11:49
高速动车	终G6904	青岛北	济南东	11:56	-
高速动车	过G6915	济南西	青岛北	11:53	11:58
高速动车	过G2070	郑州东	青岛北	12:11	12:16
高速动车	过G171	天津西	青岛	12:32	12:35
高速动车	过G2668	杭州东	烟台	12:37	12:41
高速动车	过G2094	青岛北	兰州西	12:41	12:46
高速动车	过G258	武汉	青岛	12:47	12:49
高速动车	过G2666	青岛北	上海虹桥	12:47	12:53
高速动车	始G2633	济南东	连云港	-	13:00
高速动车	过G2632	盐城	沈阳	12:58	13:03
高速动车	过G6955	青岛北	青岛北	13:15	13:17
高速动车	过G2622	青岛北	运城北	13:05	13:18
高速动车	过G2652	沈阳北	荣成	13:20	13:23
高速动车	过G2080	运城北	威海	13:39	13:42
高速动车	过G2654	荣成	沈阳北	13:44	13:52
高速动车	过G473	北京南	烟台	14:07	14:09
高速动车	过G185	北京南	青岛	14:25	14:27
高速动车	过G2078	威海	运城北	14:27	14:30
高速动车	过G187	北京南	青岛北	14:38	14:40
高速动车	过G2084	威海	武汉	14:39	14:45
