列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	过G246	合肥南	青岛	7:18	7:20
高速动车	过G1741	徐州东	长沙南	7:33	7:35
高速动车	过G262	合肥南	北京南	7:43	7:45
高速动车	过G7412	淮北	六安	8:39	8:41
高速动车	过G266	六安	北京南	9:33	9:35
高速动车	过G7414	黄山北	蚌埠南	10:07	10:09
高速动车	过G7415	蚌埠南	黄山北	10:57	10:59
高速动车	过G261	北京南	六安	11:14	11:16
高速动车	过G7428	芜湖	淮北	12:25	12:27
高速动车	过G263	北京南	合肥南	12:31	12:34
高速动车	过G162	安庆	北京南	12:40	12:42
高速动车	过G355	北京南	厦门北	12:56	12:59
高速动车	过G244	青岛	厦门	13:42	13:45
高速动车	过G323	北京南	厦门北	14:15	14:17
高速动车	过G1748	广州南	蚌埠南	14:26	14:28
高速动车	过G242	厦门	青岛	14:41	14:43
高速动车	过G330	福州	天津西	15:06	15:08
高速动车	过G1747	蚌埠南	广州南	15:56	15:57
高速动车	过G1272	沈阳南	福州	16:15	16:17
高速动车	过G270	黄山北	北京南	17:01	17:03
高速动车	过G1742	长沙南	徐州东	17:31	17:33
高速动车	过G356	厦门北	北京南	17:55	17:57
高速动车	过G248	青岛	合肥南	18:31	18:33
高速动车	过G7430	淮北	芜湖	18:44	18:46
高速动车	过G161	北京南	安庆	19:14	19:16
高速动车	过G351	北京南	黄山北	19:36	19:38
高速动车	过G7410	合肥	淮北	20:53	20:55
高速动车	过G267	北京南	合肥南	21:49	21:51
高速动车	过G1670	厦门北	徐州东	21:59	22:01
高速动车	过G269	北京南	合肥南	22:58	23:00
