列车类型	车次	始发站	终到站	到站时间	发车时间
高速动车	过G7645	阜阳西	苍南	7:32	7:34
高速动车	过G7477	阜阳西	丽水	7:57	7:59
高速动车	过G1878	合肥南	西安北	8:04	8:06
高速动车	过G7787	界首南	上海虹桥	8:13	8:15
高速动车	过G7732	合肥南	界首南	8:18	8:20
高速动车	过G1619	阜阳西	南昌西	8:21	8:23
高速动车	过G7221	阜阳西	上海	8:26	8:28
高速动车	过G7702	合肥南	亳州南	8:29	8:31
高速动车	过G7681	阜阳西	温州南	8:31	8:33
高速动车	过G1763	周口东	上海虹桥	8:36	8:38
高速动车	过G1601	阜阳西	深圳北	8:41	8:43
高速动车	过G1961	郑州东	宁波	9:15	9:17
高速动车	过G7181	亳州南	上海虹桥	9:28	9:31
高速动车	过G1874	杭州东	兰州西	9:33	9:35
高速动车	过G1905	郑州东	福州	9:33	9:36
高速动车	过G3180	上海虹桥	兰州西	9:39	9:41
高速动车	过G1965	郑州东	温州南	9:39	9:41
高速动车	过G2806	杭州东	石家庄	10:06	10:08
高速动车	过G7722	安庆	界首南	10:11	10:13
动车组	过D5591	阜阳西	上海	10:18	10:20
高速动车	过G3110	杭州	郑州东	10:35	10:37
高速动车	过G2397	郑州东	杭州东	10:36	10:38
高速动车	过G7746	黄山北	亳州南	10:41	10:44
高速动车	过G7731	界首南	杭州东	10:46	10:48
高速动车	过G1882	金华南	西安北	10:56	10:58
高速动车	过G1952	嘉兴南	运城北	11:03	11:05
高速动车	过G3116	洛阳龙门	杭州东	11:04	11:11
高速动车	过G7701	亳州南	合肥南	11:28	11:30
高速动车	过G7724	宁海	亳州南	11:29	11:31
高速动车	终G7268	上海	淮南南	11:44	-
高速动车	过G3158	西安北	安庆	11:42	11:45
高速动车	过G2807	石家庄	宁波	11:55	11:57
高速动车	终G1746	长沙南	淮南南	12:31	-
高速动车	始G7571	淮南南	平阳	-	12:39
高速动车	过G3164	上海虹桥	兰州西	12:51	12:53
高速动车	过G2811	石家庄	上海虹桥	12:53	12:55
高速动车	过G7372	江山	界首南	12:57	12:59
高速动车	始G635	淮南南	广州南	-	13:07
高速动车	过G1902	福州	兰州西	13:15	13:18
高速动车	过G7723	界首南	安庆	13:19	13:21
高速动车	过G1896	西安北	温州南	13:27	13:29
高速动车	过G7706	合肥南	亳州南	13:33	13:35
高速动车	过G7751	亳州南	杭州东	13:39	13:42
高速动车	过G7796	温州南	阜阳西	13:42	13:44
高速动车	过G3154	西安北	上海虹桥	13:51	13:54
高速动车	过G4296	杭州东	兰州西	13:55	13:57
高速动车	过G3184	南昌西	兰州西	14:00	14:02
高速动车	过G3254	南阳东	上海虹桥	14:04	14:06
高速动车	过G3162	西安北	杭州东	14:24	14:28
高速动车	过G1894	温州南	西安北	14:27	14:29
高速动车	过G7463	亳州南	温州南	14:37	14:39
高速动车	过G1958	太原南	上海虹桥	14:42	14:44
高速动车	终G7572	平阳	淮南南	14:53	-
高速动车	过G3152	上海虹桥	西安北	15:01	15:03
高速动车	过G1956	上海虹桥	太原南	15:18	15:20
高速动车	始G7267	淮南南	上海	-	15:37
高速动车	过G7742	安庆	亳州南	15:44	15:46
高速动车	过G7795	阜阳西	温州南	15:50	15:52
高速动车	过G1904	兰州西	福州	15:58	16:00
高速动车	过G4298	兰州西	杭州东	16:14	16:16
高速动车	过G860	福州	西安北	16:15	16:17
高速动车	过G3166	兰州西	上海虹桥	16:38	16:40
高速动车	过G7164	上海虹桥	亳州南	16:42	16:44
高速动车	过G3160	杭州东	西安北	16:47	16:49
高速动车	过G1963	郑州东	宁波	16:47	16:49
高速动车	过G7741	亳州南	安庆	16:52	16:54
高速动车	过G7708	杭州东	亳州南	17:11	17:13
高速动车	过G3186	兰州西	南昌西	17:12	17:14
高速动车	过G3252	上海虹桥	南阳东	17:20	17:22
高速动车	过G3114	杭州东	郑州东	17:35	17:37
高速动车	过G7276	上海	阜阳西	17:40	17:45
高速动车	过G3156	安庆	西安北	17:54	17:56
高速动车	终G636	广州南	淮南南	17:59	-
高速动车	过G7707	亳州南	合肥南	18:06	18:08
高速动车	过G7478	丽水	阜阳西	18:08	18:10
